date,open,high,low,close,volume,close_t+1,close_t+3,close_t+5,close_t+7,open_close_t+1_%chg,open_close_t+3_%chg,open_close_t+5_%chg,open_close_t+7_%chg
2018-05-31,9.79,9.79,9.74,9.74,1560000,9.76,9.75,9.74,9.75,-0.0,-0.0,-0.01,-0.0
2018-06-01,9.78,9.78,9.75,9.76,1496400,9.75,9.75,9.74,9.73,-0.0,-0.0,-0.0,-0.01
2018-06-05,9.75,9.76,9.75,9.75,22600,9.75,9.74,9.75,9.75,0.0,-0.0,0.0,0.0
2018-06-06,9.75,9.75,9.72,9.75,879300,9.75,9.74,9.73,9.74,0.0,-0.0,-0.0,-0.0
2018-06-07,9.72,9.75,9.72,9.75,450100,9.74,9.75,9.75,9.77,0.0,0.0,0.0,0.01
2018-06-08,9.75,9.75,9.74,9.74,247400,9.74,9.73,9.74,9.78,-0.0,-0.0,-0.0,0.0
2018-06-11,9.74,9.75,9.74,9.74,38000,9.75,9.75,9.77,9.78,0.0,0.0,0.0,0.0
2018-06-12,9.75,9.75,9.73,9.75,766500,9.73,9.74,9.78,9.78,-0.0,-0.0,0.0,0.0
2018-06-13,9.76,9.76,9.73,9.73,25100,9.75,9.77,9.78,9.77,-0.0,0.0,0.0,0.0
2018-06-14,9.76,9.77,9.75,9.75,869050,9.74,9.78,9.78,9.77,-0.0,0.0,0.0,0.0
2018-06-18,9.75,9.75,9.74,9.74,204100,9.77,9.78,9.77,9.77,0.0,0.0,0.0,0.0
2018-06-19,9.77,9.77,9.77,9.77,1100,9.78,9.78,9.77,9.78,0.0,0.0,0.0,0.0
2018-06-20,9.78,9.78,9.76,9.78,35550,9.78,9.77,9.77,9.77,0.0,-0.0,-0.0,-0.0
2018-06-21,9.78,9.78,9.77,9.78,177225,9.78,9.77,9.78,9.77,0.0,-0.0,0.0,-0.0
2018-06-22,9.77,9.78,9.77,9.78,110000,9.77,9.77,9.77,9.77,0.0,0.0,0.0,0.0
2018-06-25,9.78,9.78,9.75,9.77,700,9.77,9.78,9.77,9.79,-0.0,0.0,-0.0,0.0
2018-06-26,9.77,9.77,9.77,9.77,1635214,9.77,9.77,9.77,9.79,0.0,0.0,0.0,0.0
2018-06-27,9.77,9.77,9.77,9.77,1400,9.78,9.77,9.79,9.79,0.0,0.0,0.0,0.0
2018-06-28,9.78,9.78,9.78,9.78,625,9.77,9.77,9.79,9.8,-0.0,-0.0,0.0,0.0
2018-06-29,9.77,9.77,9.77,9.77,143000,9.77,9.79,9.79,9.79,0.0,0.0,0.0,0.0
2018-07-02,9.75,9.77,9.75,9.77,73700,9.77,9.79,9.8,9.79,0.0,0.0,0.01,0.0
2018-07-03,9.79,9.79,9.77,9.77,42900,9.79,9.79,9.79,9.79,-0.0,-0.0,0.0,0.0
2018-07-05,9.77,9.79,9.77,9.79,5661,9.79,9.8,9.79,9.82,0.0,0.0,0.0,0.01
2018-07-06,9.79,9.79,9.79,9.79,0,9.79,9.79,9.79,9.8,0.0,0.0,0.0,0.0
2018-07-09,9.79,9.79,9.79,9.79,0,9.8,9.79,9.82,9.8,0.0,0.0,0.0,0.0
2018-07-10,9.79,9.8,9.79,9.8,414314,9.79,9.79,9.8,9.8,0.0,0.0,0.0,0.0
