date,open,high,low,close,volume,close_t+1,close_t+3,close_t+5,close_t+7,open_close_t+1_%chg,open_close_t+3_%chg,open_close_t+5_%chg,open_close_t+7_%chg
2018-07-13,9.6,9.6,9.52,9.53,1833598,9.56,9.55,9.54,9.57,-0.0,-0.01,-0.01,-0.0
2018-07-16,9.56,9.56,9.53,9.56,677799,9.54,9.54,9.54,9.56,-0.0,-0.0,-0.0,0.0
2018-07-17,9.56,9.56,9.54,9.54,142351,9.55,9.54,9.57,9.55,-0.0,-0.0,0.0,-0.0
2018-07-18,9.54,9.94,9.52,9.55,605666,9.54,9.54,9.56,9.55,0.0,0.0,0.0,0.0
2018-07-19,9.54,9.55,9.54,9.54,205200,9.54,9.57,9.55,9.57,0.0,0.0,0.0,0.0
2018-07-20,9.54,9.56,9.53,9.54,190950,9.54,9.56,9.55,9.58,0.0,0.0,0.0,0.0
2018-07-23,9.55,9.65,9.54,9.54,80900,9.57,9.55,9.57,9.57,0.0,0.0,0.0,0.0
2018-07-24,9.56,9.57,9.54,9.57,145000,9.56,9.55,9.58,9.57,0.0,-0.0,0.0,0.0
2018-07-25,9.57,9.6,9.52,9.56,5700,9.55,9.57,9.57,9.64,-0.0,-0.0,0.0,0.01
2018-07-26,9.55,9.58,9.53,9.55,430125,9.55,9.58,9.57,9.74,0.0,0.0,0.0,0.02
2018-07-27,9.55,9.55,9.55,9.55,0,9.57,9.57,9.64,9.74,0.0,0.0,0.01,0.02
2018-07-30,9.55,9.57,9.55,9.57,9275,9.58,9.57,9.74,9.6,0.0,0.0,0.02,0.01
2018-07-31,9.57,9.58,9.57,9.58,20175,9.57,9.64,9.74,9.61,0.0,0.01,0.02,0.0
2018-08-01,9.57,9.57,9.57,9.57,150000,9.57,9.74,9.6,9.61,0.0,0.02,0.0,0.0
2018-08-02,9.65,9.65,9.57,9.57,3600,9.64,9.74,9.61,9.64,-0.0,0.01,-0.0,-0.0
2018-08-03,9.57,9.64,9.57,9.64,1000,9.74,9.6,9.61,9.59,0.02,0.0,0.0,0.0
2018-08-06,9.74,9.74,9.73,9.74,1820,9.74,9.61,9.64,9.55,0.0,-0.01,-0.01,-0.02
2018-08-07,9.74,9.74,9.74,9.74,0,9.6,9.61,9.59,9.55,-0.01,-0.01,-0.02,-0.02
2018-08-08,9.64,9.64,9.6,9.6,9400,9.61,9.64,9.55,9.55,-0.0,-0.0,-0.01,-0.01
2018-08-09,9.55,9.68,9.55,9.61,27700,9.61,9.59,9.55,9.52,0.01,0.0,0.0,-0.0
2018-08-10,9.61,9.61,9.61,9.61,0,9.64,9.55,9.55,9.56,0.0,-0.01,-0.01,-0.01
2018-08-13,9.53,9.64,9.52,9.64,3300,9.59,9.55,9.52,9.57,0.01,0.0,-0.0,0.0
2018-08-14,9.64,9.64,9.55,9.59,6800,9.55,9.55,9.56,9.57,-0.01,-0.01,-0.01,-0.01
2018-08-15,9.56,9.56,9.55,9.55,1400,9.55,9.52,9.57,9.57,-0.0,-0.0,0.0,0.0
2018-08-16,9.52,9.56,9.5,9.55,9318,9.55,9.56,9.57,9.57,0.0,0.0,0.01,0.01
