date,open,high,low,close,volume,close_t+1,close_t+3,close_t+5,close_t+7,open_close_t+1_%chg,open_close_t+3_%chg,open_close_t+5_%chg,open_close_t+7_%chg
2019-04-18,9.7,9.7,9.7,9.7,800,9.7,9.7,9.7,9.7,0.0,0.0,0.0,0.0
2019-04-22,9.7,9.7,9.7,9.7,0,9.7,9.7,9.7,9.7,0.0,0.0,0.0,0.0
2019-04-23,9.7,9.7,9.7,9.7,0,9.7,9.7,9.7,9.7,0.0,0.0,0.0,0.0
2019-04-24,9.7,9.7,9.7,9.7,0,9.7,9.7,9.7,9.7,0.0,0.0,0.0,0.0
2019-04-25,9.7,9.7,9.7,9.7,100000,9.7,9.7,9.7,9.7,0.0,0.0,0.0,0.0
2019-04-26,9.7,9.7,9.7,9.7,150000,9.7,9.7,9.7,9.7,0.0,0.0,0.0,-0.0
2019-04-29,9.7,9.7,9.7,9.7,100,9.7,9.7,9.7,9.69,0.0,0.0,0.0,-0.0
2019-04-30,9.7,9.7,9.7,9.7,5000,9.7,9.7,9.7,9.69,0.0,0.0,-0.0,-0.0
2019-05-01,9.7,9.7,9.7,9.7,103050,9.7,9.7,9.69,9.69,0.0,0.0,-0.0,-0.0
2019-05-02,9.7,9.7,9.7,9.7,170000,9.7,9.7,9.69,9.7,0.0,-0.0,-0.0,-0.0
2019-05-03,9.7,9.7,9.7,9.7,10100,9.7,9.69,9.69,9.7,0.0,-0.0,-0.0,0.0
2019-05-06,9.7,9.7,9.7,9.7,141800,9.7,9.69,9.7,9.7,-0.0,-0.0,-0.0,0.0
2019-05-07,9.7,9.7,9.69,9.7,23800,9.69,9.69,9.7,9.7,-0.0,-0.0,0.0,0.0
2019-05-08,9.69,9.71,9.69,9.69,8500,9.69,9.7,9.7,9.69,0.0,0.0,0.0,0.0
2019-05-09,9.69,9.69,9.69,9.69,100,9.69,9.7,9.7,9.69,0.0,0.0,0.0,0.0
2019-05-10,9.69,9.69,9.69,9.69,0,9.7,9.7,9.69,9.7,0.0,0.0,0.0,0.0
2019-05-13,9.7,9.7,9.7,9.7,1113,9.7,9.7,9.69,9.7,0.0,0.0,-0.0,0.0
2019-05-14,9.7,9.7,9.7,9.7,0,9.7,9.69,9.7,9.7,0.0,-0.0,0.0,-0.0
2019-05-15,9.6,9.96,9.6,9.7,2078,9.7,9.69,9.7,9.7,0.01,0.01,0.01,0.01
2019-05-16,9.7,9.7,9.7,9.7,0,9.69,9.7,9.7,9.7,-0.0,0.0,-0.0,0.0
2019-05-17,9.69,9.7,9.69,9.69,205300,9.69,9.7,9.7,9.7,0.0,0.0,0.0,0.0
2019-05-20,9.69,9.69,9.69,9.69,0,9.7,9.7,9.7,9.7,0.0,0.0,0.0,0.0
2019-05-21,9.7,9.7,9.7,9.7,300,9.7,9.7,9.7,9.7,0.0,0.0,0.0,0.0
2019-05-22,9.7,9.7,9.7,9.7,3206,9.7,9.7,9.7,9.7,-0.0,0.0,0.0,0.0
2019-05-23,9.7,9.71,9.7,9.7,33400,9.7,9.7,9.7,9.7,0.0,0.0,0.0,0.0
2019-05-24,9.7,9.7,9.7,9.7,0,9.7,9.7,9.7,9.7,0.0,0.0,0.0,0.0
2019-05-28,9.68,9.71,9.67,9.7,283918,9.7,9.7,9.7,9.72,0.0,0.0,0.0,0.0
2019-05-29,9.7,9.7,9.7,9.7,0,9.7,9.7,9.7,9.7,0.0,0.0,0.0,0.0
2019-05-30,9.7,9.7,9.7,9.7,0,9.7,9.7,9.72,9.71,0.0,0.0,0.0,0.0
2019-05-31,9.7,9.7,9.7,9.7,0,9.7,9.7,9.7,9.71,0.0,0.0,0.0,0.0
2019-06-03,9.7,9.7,9.7,9.7,0,9.7,9.72,9.71,9.71,0.0,0.0,0.0,0.0
2019-06-05,9.7,9.7,9.7,9.7,0,9.7,9.7,9.71,9.77,0.0,0.0,0.0,0.01
2019-06-06,9.7,9.7,9.7,9.7,0,9.72,9.71,9.71,9.77,0.0,0.0,0.0,0.01
2019-06-07,9.72,9.72,9.72,9.72,2500,9.7,9.71,9.77,9.78,-0.0,-0.0,0.01,0.01
2019-06-10,9.7,9.7,9.7,9.7,1350800,9.71,9.71,9.77,9.78,0.0,0.0,0.01,0.01
2019-06-11,9.7,9.71,9.7,9.71,1026200,9.71,9.77,9.78,9.78,0.0,0.01,0.01,0.01
2019-06-12,9.71,9.71,9.71,9.71,214600,9.71,9.77,9.78,9.8,0.0,0.01,0.01,0.01
2019-06-13,9.72,9.72,9.71,9.71,25040,9.77,9.78,9.78,9.82,0.01,0.01,0.01,0.01
2019-06-14,9.71,9.77,9.71,9.77,375384,9.77,9.78,9.8,9.82,0.01,0.01,0.01,0.01
2019-06-17,9.77,9.77,9.77,9.77,1,9.78,9.78,9.82,9.8,0.0,0.0,0.01,0.0
2019-06-18,9.77,9.78,9.74,9.78,4918,9.78,9.8,9.82,9.83,0.0,0.0,0.01,0.01
2019-06-19,9.78,9.78,9.78,9.78,92,9.78,9.82,9.8,9.75,0.0,0.0,0.0,-0.0
2019-06-20,9.78,9.78,9.78,9.78,92,9.8,9.82,9.83,9.75,0.0,0.0,0.01,-0.0
2019-06-21,9.73,9.8,9.73,9.8,6860,9.82,9.8,9.75,9.77,0.01,0.01,0.0,0.0
2019-06-24,9.82,9.82,9.82,9.82,1220200,9.82,9.83,9.75,9.8,0.0,0.0,-0.01,-0.0
2019-06-25,9.82,9.82,9.82,9.82,63,9.8,9.75,9.77,9.8,-0.0,-0.01,-0.01,-0.0
2019-06-26,9.8,9.8,9.8,9.8,2000,9.83,9.75,9.8,9.76,0.0,-0.01,0.0,-0.0
2019-06-27,9.84,9.84,9.83,9.83,206200,9.75,9.77,9.8,9.76,-0.01,-0.01,-0.0,-0.01
2019-06-28,9.75,9.75,9.75,9.75,200040,9.75,9.8,9.76,9.8,0.0,0.01,0.0,0.01
2019-07-01,9.75,9.75,9.75,9.75,0,9.77,9.8,9.76,9.8,0.0,0.01,0.0,0.01
2019-07-02,9.78,9.78,9.77,9.77,550000,9.8,9.76,9.8,9.8,0.0,-0.0,0.0,0.0
2019-07-03,9.8,9.8,9.8,9.8,12783,9.8,9.76,9.8,9.8,0.0,-0.0,0.0,0.0
2019-07-05,9.8,9.8,9.8,9.8,3,9.76,9.8,9.8,9.78,-0.0,0.0,0.0,-0.0
2019-07-08,9.76,9.76,9.76,9.76,366100,9.76,9.8,9.8,9.78,0.0,0.0,0.0,0.0
2019-07-09,9.78,9.79,9.76,9.76,150100,9.8,9.8,9.78,9.78,0.0,0.0,0.0,0.0
2019-07-10,9.8,9.8,9.8,9.8,100,9.8,9.8,9.78,9.78,0.0,0.0,-0.0,-0.0
