date,open,high,low,close,volume,close_t+1,close_t+3,close_t+5,close_t+7,open_close_t+1_%chg,open_close_t+3_%chg,open_close_t+5_%chg,open_close_t+7_%chg
2020-06-04,9.7,9.7,9.7,9.7,50000,9.84,9.7,9.76,9.76,0.01,0.0,0.01,0.01
2020-06-05,9.7,9.84,9.7,9.84,4,9.7,9.75,9.76,9.76,0.0,0.01,0.01,0.01
2020-06-08,9.7,9.7,9.7,9.7,1,9.7,9.76,9.76,9.76,0.0,0.01,0.01,0.01
2020-06-09,9.7,9.7,9.7,9.7,40,9.75,9.76,9.76,9.98,0.01,0.01,0.01,0.03
2020-06-10,9.81,9.81,9.75,9.75,110300,9.76,9.76,9.76,9.93,-0.01,-0.01,-0.01,0.01
2020-06-11,9.76,9.76,9.76,9.76,515,9.76,9.76,9.98,9.98,0.0,0.0,0.02,0.02
2020-06-12,9.76,9.76,9.76,9.76,0,9.76,9.76,9.93,10.01,0.0,0.0,0.02,0.03
2020-06-15,9.76,9.76,9.76,9.76,0,9.76,9.98,9.98,10.17,0.0,0.02,0.02,0.04
2020-06-16,9.76,9.76,9.76,9.76,50,9.76,9.93,10.01,9.97,0.0,0.02,0.03,0.02
2020-06-17,9.76,9.76,9.76,9.76,1,9.98,9.98,10.17,9.97,0.02,0.02,0.04,0.02
2020-06-18,9.89,9.98,9.89,9.98,200,9.93,10.01,9.97,10.1,0.0,0.01,0.01,0.02
2020-06-19,9.89,9.98,9.8,9.93,2392,9.98,10.17,9.97,10.05,0.01,0.03,0.01,0.02
2020-06-22,9.98,9.98,9.9,9.98,21901,10.01,9.97,10.1,10.6,0.0,-0.0,0.01,0.06
2020-06-23,10.0,10.01,10.0,10.01,2400,10.17,9.97,10.05,10.82,0.02,-0.0,0.01,0.08
2020-06-24,10.79,10.79,10.16,10.17,435,9.97,10.1,10.6,10.8,-0.08,-0.06,-0.02,0.0
2020-06-25,9.98,9.98,9.93,9.97,1911,9.97,10.05,10.82,10.78,-0.0,0.01,0.08,0.08
2020-06-26,9.97,9.97,9.97,9.97,0,10.1,10.6,10.8,10.54,0.01,0.06,0.08,0.06
2020-06-29,10.0,10.1,10.0,10.1,48677,10.05,10.82,10.78,10.8,0.01,0.08,0.08,0.08
2020-06-30,10.03,10.05,10.03,10.05,566,10.6,10.8,10.54,10.9,0.06,0.08,0.05,0.09
2020-07-01,10.1,10.75,10.07,10.6,36490,10.82,10.78,10.8,,0.07,0.07,0.07,
2020-07-02,10.6,10.9,10.6,10.82,32790,10.8,10.54,10.9,,0.02,-0.01,0.03,
2020-07-06,10.8,10.83,10.8,10.8,1000,10.78,10.8,,,-0.0,0.0,,
2020-07-07,10.8,10.8,10.7,10.78,1200,10.54,10.9,,,-0.02,0.01,,
2020-07-08,10.75,10.76,10.5,10.54,5400,10.8,,,,0.0,,,
2020-07-09,10.68,10.8,10.68,10.8,19400,10.9,,,,0.02,,,
2020-07-10,10.72,10.9,10.72,10.9,8200,,,,,,,,
