date,open,high,low,close,volume,close_t+1,close_t+3,close_t+5,close_t+7,open_close_t+1_%chg,open_close_t+3_%chg,open_close_t+5_%chg,open_close_t+7_%chg
2018-03-12,1.5,1.5,1.5,1.5,2500,1.5,1.25,1.26,1.3,0.0,-0.17,-0.16,-0.13
2018-03-16,1.5,1.5,1.5,1.5,2000,1.25,1.25,1.33,1.42,-0.17,-0.17,-0.11,-0.05
2018-03-23,1.25,1.25,1.25,1.25,16000,1.25,1.26,1.3,1.4,0.0,0.01,0.04,0.12
2018-04-05,1.15,1.25,1.15,1.25,1893,1.25,1.33,1.42,1.23,0.09,0.16,0.23,0.07
2018-04-10,1.25,1.25,1.25,1.25,8000,1.26,1.3,1.4,1.2,0.01,0.04,0.12,-0.04
2018-04-24,1.26,1.26,1.26,1.26,330,1.33,1.42,1.23,1.47,0.06,0.13,-0.03,0.17
2018-04-26,1.3,2.13,1.3,1.33,201600,1.3,1.4,1.2,1.44,0.0,0.08,-0.08,0.11
2018-04-30,1.3,1.3,1.3,1.3,100600,1.42,1.23,1.47,1.4,0.09,-0.06,0.13,0.08
2018-05-01,1.45,1.45,1.42,1.42,200,1.4,1.2,1.44,1.4,-0.03,-0.17,-0.01,-0.03
2018-05-15,1.28,1.4,1.28,1.4,2266,1.23,1.47,1.4,1.34,-0.04,0.15,0.09,0.05
2018-06-01,1.23,1.23,1.23,1.23,22200,1.2,1.44,1.4,1.3,-0.02,0.18,0.14,0.06
2018-06-04,1.22,1.22,1.2,1.2,8000,1.47,1.4,1.34,1.5,0.2,0.15,0.1,0.23
2018-06-07,1.48,1.48,1.47,1.47,200,1.44,1.4,1.3,1.5,-0.03,-0.05,-0.12,0.01
2018-06-11,1.23,1.47,1.23,1.44,3900,1.4,1.34,1.5,1.4,0.14,0.09,0.22,0.14
2018-06-29,1.15,1.4,1.15,1.4,8700,1.4,1.3,1.5,1.4,0.22,0.13,0.3,0.22
2018-07-09,1.28,1.4,1.26,1.4,600,1.34,1.5,1.4,1.4,0.05,0.17,0.09,0.09
2018-07-26,1.13,1.4,1.13,1.34,800,1.3,1.5,1.4,1.35,0.15,0.33,0.24,0.19
2018-08-14,1.25,1.3,1.25,1.3,15000,1.5,1.4,1.4,1.35,0.2,0.12,0.12,0.08
2018-08-17,1.05,1.5,1.05,1.5,482,1.5,1.4,1.35,1.35,0.43,0.33,0.29,0.29
2018-08-23,1.5,1.5,1.5,1.5,52,1.4,1.4,1.35,1.35,-0.07,-0.07,-0.1,-0.1
2018-08-31,1.35,1.5,1.35,1.4,16000,1.4,1.35,1.35,1.3,0.04,0.0,0.0,-0.04
2018-09-04,1.3,1.4,1.3,1.4,66766,1.4,1.35,1.35,1.3,0.08,0.04,0.04,0.0
2018-09-06,1.4,1.4,1.4,1.4,5,1.35,1.35,1.3,1.35,-0.04,-0.04,-0.07,-0.04
2018-09-07,1.3,1.35,1.3,1.35,47634,1.35,1.35,1.3,1.35,0.04,0.04,0.0,0.04
2018-09-10,1.3,1.35,1.3,1.35,50105,1.35,1.3,1.35,1.35,0.04,0.0,0.04,0.04
2018-09-14,1.3,1.35,1.25,1.35,51537,1.35,1.3,1.35,1.34,0.04,0.0,0.04,0.03
2018-09-17,1.3,1.35,1.29,1.35,7300,1.3,1.35,1.35,1.35,0.0,0.04,0.04,0.04
2018-09-19,1.25,1.3,1.25,1.3,8200,1.3,1.35,1.34,1.4,0.04,0.08,0.07,0.12
2018-09-20,1.3,1.3,1.3,1.3,1000,1.35,1.35,1.35,1.4,0.04,0.04,0.04,0.08
2018-09-21,1.35,1.35,1.35,1.35,500,1.35,1.34,1.4,1.5,0.0,-0.01,0.04,0.11
2018-09-25,1.35,1.35,1.35,1.35,500,1.35,1.35,1.4,1.5,0.0,0.0,0.04,0.11
2018-09-28,1.35,1.35,1.35,1.35,3000,1.34,1.4,1.5,1.5,-0.01,0.04,0.11,0.11
2018-10-03,1.31,1.34,1.31,1.34,2100,1.35,1.4,1.5,1.5,0.03,0.07,0.15,0.15
2018-10-10,1.35,1.35,1.35,1.35,105,1.4,1.5,1.5,1.5,0.04,0.11,0.11,0.11
2018-10-11,1.35,1.4,1.3,1.4,25300,1.4,1.5,1.5,1.5,0.04,0.11,0.11,0.11
2018-10-15,1.35,1.5,1.35,1.4,27100,1.5,1.5,1.5,1.49,0.11,0.11,0.11,0.1
2018-10-16,1.5,1.5,1.5,1.5,15100,1.5,1.5,1.5,1.49,0.0,0.0,0.0,-0.01
2018-10-17,1.5,1.5,1.48,1.5,18850,1.5,1.5,1.49,1.49,0.0,0.0,-0.01,-0.01
2018-10-18,1.38,1.5,1.38,1.5,2600,1.5,1.5,1.49,1.45,0.09,0.09,0.08,0.05
2018-10-19,1.47,1.5,1.47,1.5,1100,1.5,1.49,1.49,1.45,0.02,0.01,0.01,-0.01
2018-10-22,1.5,1.5,1.49,1.5,6000,1.5,1.49,1.45,1.43,0.0,-0.01,-0.03,-0.05
2018-10-26,1.5,1.5,1.5,1.5,1000,1.49,1.49,1.45,1.49,-0.01,-0.01,-0.03,-0.0
2018-10-29,1.21,1.5,1.21,1.49,2910,1.49,1.45,1.43,1.45,0.23,0.2,0.18,0.2
2018-11-01,1.49,1.49,1.49,1.49,3333,1.49,1.45,1.49,1.45,0.0,-0.03,0.0,-0.03
2018-11-02,1.49,1.49,1.49,1.49,100,1.45,1.43,1.45,1.5,-0.03,-0.04,-0.03,0.01
2018-11-05,1.45,1.45,1.45,1.45,200,1.45,1.49,1.45,1.5,0.0,0.03,0.0,0.03
2018-11-06,1.42,1.45,1.42,1.45,1500,1.43,1.45,1.5,1.6,0.01,0.02,0.06,0.13
2018-11-07,1.41,1.45,1.4,1.43,4000,1.49,1.45,1.5,1.65,0.06,0.03,0.06,0.17
2018-11-09,1.45,1.5,1.45,1.49,11200,1.45,1.5,1.6,1.54,0.0,0.03,0.1,0.06
2018-11-12,1.45,1.45,1.45,1.45,800,1.45,1.5,1.65,1.6,0.0,0.03,0.14,0.1
2018-11-13,1.41,1.45,1.4,1.45,900,1.5,1.6,1.54,1.52,0.07,0.14,0.09,0.08
2018-11-14,1.53,1.55,1.2,1.5,1518264,1.5,1.65,1.6,1.49,-0.02,0.08,0.05,-0.03
2018-11-15,1.5,1.59,1.5,1.5,63400,1.6,1.54,1.52,1.49,0.07,0.03,0.01,-0.01
2018-11-16,1.75,1.75,1.6,1.6,4200,1.65,1.6,1.49,1.47,-0.06,-0.09,-0.15,-0.16
2018-11-19,1.6,1.75,1.55,1.65,56403,1.54,1.52,1.49,1.47,-0.04,-0.05,-0.07,-0.08
2018-11-20,1.55,1.55,1.54,1.54,50700,1.6,1.49,1.47,1.39,0.03,-0.04,-0.05,-0.1
2018-11-21,1.6,1.6,1.6,1.6,100,1.52,1.49,1.47,1.38,-0.05,-0.07,-0.08,-0.14
2018-11-30,1.42,1.52,1.4,1.52,6866,1.49,1.47,1.39,1.3,0.05,0.04,-0.02,-0.08
2018-12-03,1.49,1.49,1.49,1.49,200,1.49,1.47,1.38,1.34,0.0,-0.01,-0.07,-0.1
2018-12-04,1.47,1.49,1.4,1.49,3500,1.47,1.39,1.3,1.34,0.0,-0.05,-0.12,-0.09
2018-12-06,1.47,1.47,1.47,1.47,200,1.47,1.38,1.34,1.3,0.0,-0.06,-0.09,-0.12
2018-12-12,1.47,1.47,1.47,1.47,66,1.39,1.3,1.34,1.25,-0.05,-0.12,-0.09,-0.15
2018-12-14,1.39,1.39,1.39,1.39,5200,1.38,1.34,1.3,1.26,-0.01,-0.04,-0.06,-0.09
2018-12-17,1.38,1.38,1.38,1.38,200,1.3,1.34,1.25,1.34,-0.06,-0.03,-0.09,-0.03
2018-12-19,1.3,1.3,1.3,1.3,11800,1.34,1.3,1.26,1.3,0.03,0.0,-0.03,-0.0
2018-12-20,1.32,1.45,1.32,1.34,10002,1.34,1.25,1.34,1.28,0.02,-0.05,0.02,-0.03
2018-12-21,1.32,1.34,1.32,1.34,400,1.3,1.26,1.3,1.25,-0.02,-0.05,-0.02,-0.05
2018-12-24,1.3,1.3,1.3,1.3,5500,1.25,1.34,1.28,1.3,-0.04,0.03,-0.02,0.0
2018-12-26,1.25,1.25,1.25,1.25,11400,1.26,1.3,1.25,1.3,0.01,0.04,0.0,0.04
2018-12-27,1.26,1.26,1.26,1.26,300,1.34,1.28,1.3,1.3,0.06,0.02,0.03,0.03
2018-12-28,1.3,1.34,1.3,1.34,3200,1.3,1.25,1.3,1.29,-0.0,-0.04,0.0,-0.01
2018-12-31,1.3,1.34,1.3,1.3,15470,1.28,1.3,1.3,1.36,-0.02,0.0,0.0,0.05
2019-01-02,1.28,1.28,1.28,1.28,300,1.25,1.3,1.29,1.3,-0.02,0.02,0.01,0.02
2019-01-03,1.25,1.25,1.25,1.25,300,1.3,1.3,1.36,1.25,0.04,0.04,0.09,0.0
2019-01-07,1.38,1.38,1.3,1.3,1200,1.3,1.29,1.3,1.23,-0.06,-0.07,-0.06,-0.11
2019-01-09,1.3,1.3,1.3,1.3,100,1.3,1.36,1.25,1.24,0.0,0.05,-0.04,-0.05
2019-01-14,1.3,1.3,1.3,1.3,1000,1.29,1.3,1.23,1.25,-0.01,0.0,-0.05,-0.04
2019-01-15,1.29,1.29,1.29,1.29,1000,1.36,1.25,1.24,1.24,0.05,-0.03,-0.04,-0.04
2019-01-16,1.28,1.36,1.28,1.36,49200,1.3,1.23,1.25,1.26,0.02,-0.04,-0.02,-0.02
2019-01-17,1.3,1.3,1.3,1.3,10700,1.25,1.24,1.24,1.22,-0.04,-0.05,-0.05,-0.06
2019-01-18,1.28,1.28,1.25,1.25,2500,1.23,1.25,1.26,1.22,-0.04,-0.02,-0.02,-0.05
2019-01-22,1.23,1.23,1.23,1.23,300,1.24,1.24,1.22,1.21,0.01,0.01,-0.01,-0.02
2019-01-23,1.25,1.25,1.24,1.24,400,1.25,1.26,1.22,1.21,0.0,0.01,-0.03,-0.03
2019-01-24,1.3,1.3,1.24,1.25,6223,1.24,1.22,1.21,1.25,-0.05,-0.06,-0.07,-0.04
2019-01-29,1.26,1.26,1.2,1.24,5000,1.26,1.22,1.21,1.29,0.0,-0.04,-0.04,0.02
2019-01-30,1.25,1.3,1.25,1.26,16700,1.22,1.21,1.25,1.29,-0.02,-0.04,0.0,0.03
2019-01-31,1.25,1.25,1.22,1.22,5200,1.22,1.21,1.29,1.25,-0.03,-0.03,0.03,0.0
2019-02-01,1.21,1.22,1.2,1.22,2900,1.21,1.25,1.29,1.24,-0.0,0.03,0.07,0.02
2019-02-05,1.2,1.21,1.2,1.21,2000,1.21,1.29,1.25,1.3,0.01,0.07,0.04,0.08
2019-02-06,1.21,1.21,1.21,1.21,1400,1.25,1.29,1.24,1.33,0.03,0.07,0.02,0.1
2019-02-07,1.22,1.28,1.2,1.25,21300,1.29,1.25,1.3,1.49,0.06,0.03,0.07,0.23
2019-02-08,1.3,1.3,1.29,1.29,16150,1.29,1.24,1.33,1.5,-0.01,-0.05,0.02,0.15
2019-02-11,1.29,1.29,1.25,1.29,9833,1.25,1.3,1.49,1.5,-0.03,0.01,0.16,0.16
2019-02-12,1.27,1.27,1.2,1.25,349500,1.24,1.33,1.5,1.4,-0.02,0.05,0.18,0.1
2019-02-13,1.24,1.24,1.24,1.24,300,1.3,1.49,1.5,1.4,0.05,0.2,0.21,0.13
2019-02-14,1.25,1.3,1.24,1.3,2156,1.33,1.5,1.4,1.4,0.06,0.2,0.12,0.12
2019-02-15,1.29,1.5,1.29,1.33,180129,1.49,1.5,1.4,1.44,0.16,0.16,0.09,0.12
