date,open,high,low,close,volume,close_t+1,close_t+3,close_t+5,close_t+7,open_close_t+1_%chg,open_close_t+3_%chg,open_close_t+5_%chg,open_close_t+7_%chg
2020-03-27,0.05,0.05,0.05,0.05,29106,0.07,0.07,0.07,0.08,0.36,0.3,0.38,0.5
2020-03-31,0.06,0.07,0.06,0.07,300,0.09,0.07,0.09,0.05,0.36,0.0,0.38,-0.23
2020-04-01,0.09,0.09,0.09,0.09,100,0.07,0.07,0.08,0.05,-0.26,-0.22,-0.15,-0.43
2020-04-06,0.09,0.09,0.07,0.07,27202,0.07,0.09,0.05,0.05,-0.28,-0.0,-0.44,-0.44
2020-04-07,0.07,0.07,0.07,0.07,10000,0.07,0.08,0.05,0.05,-0.02,0.07,-0.29,-0.29
2020-04-17,0.07,0.07,0.07,0.07,2000,0.09,0.05,0.05,0.05,0.36,-0.24,-0.24,-0.24
2020-04-20,0.09,0.09,0.09,0.09,4000,0.08,0.05,0.05,0.05,-0.16,-0.44,-0.44,-0.44
2020-04-22,0.07,0.08,0.07,0.08,21100,0.05,0.05,0.05,0.04,-0.24,-0.24,-0.24,-0.39
2020-04-24,0.04,0.05,0.04,0.05,22000,0.05,0.05,0.05,0.05,0.11,0.11,0.11,0.11
2020-04-27,0.05,0.05,0.05,0.05,40300,0.05,0.05,0.04,0.04,0.0,0.0,-0.2,-0.2
2020-04-29,0.05,0.05,0.05,0.05,453898,0.05,0.05,0.05,0.04,0.0,0.0,-0.0,-0.2
2020-04-30,0.05,0.05,0.05,0.05,600,0.05,0.04,0.04,0.05,0.0,-0.2,-0.2,0.02
2020-05-04,0.04,0.05,0.04,0.05,11498,0.05,0.05,0.04,0.08,0.11,0.11,-0.11,0.78
2020-05-05,0.06,0.06,0.04,0.05,60600,0.04,0.04,0.05,0.06,-0.33,-0.33,-0.15,0.0
2020-05-08,0.04,0.04,0.04,0.04,500,0.05,0.04,0.08,0.06,0.24,-0.0,1.0,0.47
2020-05-12,0.05,0.05,0.04,0.05,119900,0.04,0.05,0.06,0.05,-0.23,-0.02,0.15,-0.13
2020-05-13,0.05,0.05,0.04,0.04,18000,0.04,0.08,0.06,0.05,-0.2,0.6,0.18,0.0
