date,open,high,low,close,volume,close_t+1,close_t+3,close_t+5,close_t+7,open_close_t+1_%chg,open_close_t+3_%chg,open_close_t+5_%chg,open_close_t+7_%chg
2020-04-27,9.95,9.95,9.86,9.9,176099,9.9,9.85,9.84,9.86,-0.01,-0.01,-0.01,-0.01
2020-04-28,9.93,9.96,9.81,9.9,1229853,9.9,9.85,9.84,9.86,-0.0,-0.01,-0.01,-0.01
2020-04-29,9.9,9.97,9.9,9.9,9164,9.85,9.84,9.86,10.0,-0.01,-0.01,-0.0,0.01
2020-04-30,9.9,9.9,9.85,9.85,83005,9.85,9.84,9.86,9.95,-0.01,-0.01,-0.0,0.01
2020-05-01,9.9,9.9,9.83,9.85,255938,9.84,9.86,10.0,10.05,-0.01,-0.0,0.01,0.02
2020-05-04,9.88,9.88,9.83,9.84,213481,9.84,9.86,9.95,10.15,-0.0,-0.0,0.01,0.03
2020-05-05,9.88,9.88,9.84,9.84,789667,9.86,10.0,10.05,10.16,-0.0,0.01,0.02,0.03
2020-05-06,10.04,10.04,9.86,9.86,1611,9.86,9.95,10.15,10.19,-0.02,-0.01,0.01,0.01
2020-05-07,9.87,9.87,9.84,9.86,156626,10.0,10.05,10.16,10.2,0.01,0.02,0.03,0.03
2020-05-08,9.85,10.0,9.85,10.0,349667,9.95,10.15,10.19,10.2,0.01,0.03,0.03,0.04
2020-05-11,10.1,10.1,9.95,9.95,721489,10.05,10.16,10.2,10.25,-0.0,0.01,0.01,0.01
2020-05-12,10.59,10.59,9.97,10.05,110740,10.15,10.19,10.2,10.25,-0.04,-0.04,-0.04,-0.03
2020-05-13,10.4,10.4,10.07,10.15,238113,10.16,10.2,10.25,10.26,-0.02,-0.02,-0.01,-0.01
2020-05-14,10.68,10.68,10.14,10.16,303741,10.19,10.2,10.25,10.2,-0.05,-0.04,-0.04,-0.05
2020-05-15,10.24,10.25,10.18,10.19,192508,10.2,10.25,10.26,10.21,-0.0,0.0,0.0,-0.0
2020-05-18,10.17,10.33,10.14,10.2,1122958,10.2,10.25,10.2,10.2,0.0,0.01,0.0,0.0
2020-05-19,10.22,10.25,10.0,10.2,170181,10.25,10.26,10.21,10.25,0.0,0.0,-0.0,0.0
2020-05-20,10.22,10.29,10.08,10.25,199387,10.25,10.2,10.2,10.25,0.0,-0.0,-0.0,0.0
2020-05-21,10.25,10.4,10.21,10.25,285436,10.26,10.21,10.25,10.25,0.0,-0.0,0.0,0.0
2020-05-22,10.25,10.29,10.2,10.26,34663,10.2,10.2,10.25,10.25,-0.01,-0.0,0.0,0.0
2020-05-26,10.27,10.27,10.18,10.2,68508,10.21,10.25,10.25,10.25,-0.01,-0.0,-0.0,-0.0
2020-05-27,10.13,10.21,10.06,10.21,56442,10.2,10.25,10.25,10.25,0.01,0.01,0.01,0.01
2020-05-28,10.18,10.3,10.15,10.2,67877,10.25,10.25,10.25,10.24,0.01,0.01,0.01,0.01
2020-05-29,10.15,10.49,10.15,10.25,307100,10.25,10.25,10.25,10.29,0.01,0.01,0.01,0.01
2020-06-01,10.37,10.37,10.15,10.25,82050,10.25,10.25,10.24,10.5,-0.01,-0.01,-0.01,0.01
2020-06-02,10.2,10.27,10.2,10.25,101423,10.25,10.25,10.29,10.4,0.0,0.0,0.01,0.02
2020-06-03,10.27,10.3,10.21,10.25,70648,10.25,10.24,10.5,10.45,-0.0,-0.0,0.02,0.02
2020-06-04,10.29,10.3,10.22,10.25,72515,10.25,10.29,10.4,10.5,-0.0,0.0,0.01,0.02
2020-06-05,10.33,10.43,10.05,10.25,310217,10.24,10.5,10.45,10.49,-0.01,0.02,0.01,0.02
2020-06-08,10.24,10.45,10.06,10.24,386696,10.29,10.4,10.5,10.56,0.0,0.02,0.03,0.03
2020-06-09,10.4,10.42,10.17,10.29,1057976,10.5,10.45,10.49,10.51,0.01,0.0,0.01,0.01
2020-06-10,10.53,10.9,10.11,10.5,1065787,10.4,10.5,10.56,10.53,-0.01,-0.0,0.0,0.0
2020-06-11,10.5,10.58,10.3,10.4,397196,10.45,10.49,10.51,10.47,-0.0,-0.0,0.0,-0.0
2020-06-12,10.57,10.59,10.3,10.45,74964,10.5,10.56,10.53,10.57,-0.01,-0.0,-0.0,0.0
2020-06-15,10.51,10.6,10.38,10.5,71288,10.49,10.51,10.47,10.5,-0.0,0.0,-0.0,-0.0
2020-06-16,10.59,10.59,10.3,10.49,464504,10.56,10.53,10.57,10.75,-0.0,-0.01,-0.0,0.02
2020-06-17,10.59,10.61,10.4,10.56,373367,10.51,10.47,10.5,10.65,-0.01,-0.01,-0.01,0.01
2020-06-18,10.6,10.72,10.48,10.51,266317,10.53,10.57,10.75,10.76,-0.01,-0.0,0.01,0.02
2020-06-19,10.55,10.6,10.43,10.53,570558,10.47,10.5,10.65,10.98,-0.01,-0.0,0.01,0.04
2020-06-22,10.69,10.69,10.4,10.47,636435,10.57,10.75,10.76,10.96,-0.01,0.01,0.01,0.03
2020-06-23,10.55,10.6,10.35,10.57,359813,10.5,10.65,10.98,10.9,-0.0,0.01,0.04,0.03
2020-06-24,10.57,10.6,10.37,10.5,400048,10.75,10.76,10.96,11.26,0.02,0.02,0.04,0.07
2020-06-25,10.5,10.85,10.44,10.75,559750,10.65,10.98,10.9,11.15,0.01,0.05,0.04,0.06
2020-06-26,10.73,10.86,10.5,10.65,596959,10.76,10.96,11.26,11.18,0.0,0.02,0.05,0.04
2020-06-29,10.78,10.84,10.62,10.76,628791,10.98,10.9,11.15,11.22,0.02,0.01,0.03,0.04
2020-06-30,10.8,10.98,10.75,10.98,517386,10.96,11.26,11.18,11.21,0.01,0.04,0.04,0.04
2020-07-01,11.0,11.25,10.93,10.96,452540,10.9,11.15,11.22,,-0.01,0.01,0.02,
2020-07-02,10.96,11.0,10.87,10.9,283475,11.26,11.18,11.21,,0.03,0.02,0.02,
2020-07-06,11.0,11.36,11.0,11.26,2559400,11.15,11.22,,,0.01,0.02,,
2020-07-07,11.5,11.6,10.92,11.15,545300,11.18,11.21,,,-0.03,-0.03,,
2020-07-08,11.15,11.32,11.02,11.18,371700,11.22,,,,0.01,,,
2020-07-09,11.38,11.39,10.95,11.22,292800,11.21,,,,-0.01,,,
2020-07-10,11.24,11.24,11.03,11.21,118100,,,,,,,,
