date,open,high,low,close,volume,close_t+1,close_t+3,close_t+5,close_t+7,open_close_t+1_%chg,open_close_t+3_%chg,open_close_t+5_%chg,open_close_t+7_%chg
2018-09-12,9.58,9.62,9.55,9.57,2597025,9.58,9.57,9.57,9.57,0.0,-0.0,-0.0,-0.0
2018-09-13,9.58,9.58,9.57,9.58,166800,9.58,9.57,9.57,9.55,0.0,-0.0,-0.0,-0.0
2018-09-14,9.58,9.58,9.58,9.58,0,9.57,9.57,9.57,9.55,-0.0,-0.0,-0.0,-0.0
2018-09-17,9.57,9.57,9.52,9.57,1500,9.57,9.57,9.55,9.55,0.0,0.0,-0.0,-0.0
2018-09-18,9.57,9.57,9.55,9.57,6002,9.57,9.57,9.55,9.54,0.0,0.0,-0.0,-0.0
2018-09-19,9.57,9.58,9.53,9.57,16923,9.57,9.55,9.55,9.55,0.0,-0.0,-0.0,-0.0
2018-09-20,9.57,9.57,9.57,9.57,4000,9.57,9.55,9.54,9.54,0.0,-0.0,-0.0,-0.0
2018-09-21,9.57,9.57,9.53,9.57,50302,9.55,9.55,9.55,9.54,-0.0,-0.0,-0.0,-0.0
2018-09-24,9.57,9.57,9.53,9.55,426473,9.55,9.54,9.54,9.52,-0.0,-0.0,-0.0,-0.01
2018-09-25,9.53,9.57,9.53,9.55,144304,9.55,9.55,9.54,9.56,0.0,0.0,0.0,0.0
2018-09-26,9.83,9.83,9.53,9.55,624781,9.54,9.54,9.52,9.56,-0.03,-0.03,-0.03,-0.03
2018-09-27,9.54,9.55,9.53,9.54,8339,9.55,9.54,9.56,9.55,0.0,0.0,0.0,0.0
2018-09-28,9.54,9.55,9.54,9.55,590133,9.54,9.52,9.56,9.55,0.0,-0.0,0.0,0.0
2018-10-01,9.54,9.54,9.53,9.54,56380,9.54,9.56,9.55,9.55,0.0,0.0,0.0,0.0
2018-10-02,9.52,9.54,9.52,9.54,1500,9.52,9.56,9.55,9.55,0.0,0.0,0.0,0.0
2018-10-03,9.54,9.54,9.52,9.52,7825,9.56,9.55,9.55,9.55,0.0,0.0,0.0,0.0
2018-10-04,9.54,9.57,9.53,9.56,57945,9.56,9.55,9.55,9.55,0.0,0.0,0.0,0.0
2018-10-05,9.53,9.57,9.53,9.56,169407,9.55,9.55,9.55,9.55,0.0,0.0,0.0,0.0
2018-10-08,9.55,9.56,9.55,9.55,1200,9.55,9.55,9.55,9.53,0.0,0.0,0.0,-0.0
2018-10-09,9.55,9.55,9.53,9.55,150300,9.55,9.55,9.55,9.55,0.0,0.0,0.0,-0.0
2018-10-10,9.55,9.55,9.55,9.55,0,9.55,9.55,9.53,9.55,0.0,0.0,-0.0,-0.0
2018-10-11,9.54,9.55,9.54,9.55,75976,9.55,9.55,9.55,9.55,0.0,0.0,0.0,0.0
2018-10-12,9.55,9.55,9.55,9.55,0,9.55,9.53,9.55,9.6,0.0,-0.0,-0.0,0.01
2018-10-15,9.55,9.55,9.55,9.55,10300,9.55,9.55,9.55,9.65,0.0,-0.0,-0.0,0.01
2018-10-16,9.55,9.55,9.55,9.55,0,9.53,9.55,9.6,9.63,-0.0,-0.0,0.01,0.01
2018-10-17,9.53,9.53,9.53,9.53,10258,9.55,9.55,9.65,9.73,0.0,0.0,0.01,0.02
2018-10-18,9.55,9.55,9.53,9.55,6500,9.55,9.6,9.63,9.63,-0.0,0.01,0.01,0.01
2018-10-19,9.55,9.55,9.55,9.55,0,9.55,9.65,9.73,9.63,0.0,0.01,0.02,0.01
2018-10-22,9.55,9.55,9.55,9.55,0,9.6,9.63,9.63,9.63,0.01,0.01,0.01,0.01
2018-10-23,9.54,9.68,9.54,9.6,75661,9.65,9.73,9.63,9.63,0.01,0.02,0.01,0.01
2018-10-24,9.6,9.65,9.6,9.65,17152,9.63,9.63,9.63,9.63,0.0,0.0,0.0,0.0
2018-10-25,9.55,9.71,9.55,9.63,207000,9.73,9.63,9.63,9.63,0.02,0.01,0.01,0.01
