date,open,high,low,close,volume,close_t+1,close_t+3,close_t+5,close_t+7,open_close_t+1_%chg,open_close_t+3_%chg,open_close_t+5_%chg,open_close_t+7_%chg
2020-06-22,9.9,10.0,9.9,10.0,1558,9.91,9.9,9.97,9.97,0.0,0.0,0.01,0.01
2020-06-23,10.0,10.07,9.91,9.91,1097,9.78,9.94,9.97,10.0,-0.02,-0.01,-0.0,0.0
2020-06-24,9.8,9.8,9.78,9.78,400100,9.9,9.97,9.97,9.9,0.01,0.02,0.02,0.01
2020-06-25,9.8,9.9,9.8,9.9,143927,9.94,9.97,10.0,10.05,0.01,0.02,0.02,0.03
2020-06-26,10.0,10.06,9.94,9.94,405,9.97,9.97,9.9,9.98,-0.0,-0.0,-0.01,-0.0
2020-06-29,9.99,10.03,9.95,9.97,11361,9.97,10.0,10.05,10.0,-0.0,0.0,0.01,0.0
2020-06-30,9.94,9.98,9.94,9.97,25221,9.97,9.9,9.98,10.02,0.0,-0.0,0.0,0.01
2020-07-01,9.83,9.97,9.81,9.97,754979,10.0,10.05,10.0,,0.02,0.02,0.02,
2020-07-02,10.17,10.17,9.97,10.0,151842,9.9,9.98,10.02,,-0.03,-0.02,-0.01,
2020-07-06,10.0,10.0,9.89,9.9,2900,10.05,10.0,,,0.01,0.0,,
2020-07-07,9.97,10.05,9.97,10.05,4400,9.98,10.02,,,0.0,0.01,,
2020-07-08,10.3,10.3,9.89,9.98,31800,10.0,,,,-0.03,,,
2020-07-09,10.0,10.0,10.0,10.0,610,10.02,,,,0.0,,,
2020-07-10,10.0,10.21,10.0,10.02,13800,,,,,,,,
