date,open,high,low,close,volume,close_t+1,close_t+3,close_t+5,close_t+7,open_close_t+1_%chg,open_close_t+3_%chg,open_close_t+5_%chg,open_close_t+7_%chg
2020-05-21,9.61,9.61,9.61,9.61,100,9.61,9.7,9.7,9.7,0.0,0.01,0.01,0.01
2020-05-22,9.61,9.61,9.61,9.61,1,9.61,9.7,9.7,9.7,0.0,0.01,0.01,0.01
2020-05-26,9.61,9.61,9.61,9.61,0,9.7,9.7,9.7,9.7,0.01,0.01,0.01,0.01
2020-05-27,9.7,9.71,9.7,9.7,226900,9.7,9.7,9.7,9.7,0.0,0.0,0.0,0.0
2020-05-28,9.7,9.7,9.7,9.7,100,9.7,9.7,9.7,9.7,0.0,0.0,0.0,0.0
2020-05-29,9.7,9.7,9.7,9.7,0,9.7,9.7,9.7,9.7,0.0,0.0,0.0,0.0
2020-06-01,9.7,9.7,9.7,9.7,50000,9.7,9.7,9.7,9.75,0.0,0.0,0.0,0.01
2020-06-02,9.7,9.73,9.65,9.7,241900,9.7,9.7,9.7,9.75,0.0,0.0,0.0,0.01
2020-06-03,9.71,9.71,9.68,9.7,35200,9.7,9.7,9.75,9.75,-0.0,-0.0,0.0,0.0
2020-06-04,9.7,9.7,9.7,9.7,592616,9.7,9.7,9.75,9.7,0.0,0.0,0.01,0.0
2020-06-05,9.7,9.7,9.7,9.7,0,9.7,9.75,9.75,9.82,0.0,0.01,0.01,0.01
2020-06-08,10.0,10.0,9.7,9.7,800,9.7,9.75,9.7,9.75,-0.03,-0.02,-0.03,-0.02
2020-06-09,9.7,9.7,9.7,9.7,200,9.75,9.75,9.82,9.75,0.01,0.01,0.01,0.01
2020-06-10,9.8,9.9,9.75,9.75,6221,9.75,9.7,9.75,9.79,-0.01,-0.01,-0.01,-0.0
2020-06-11,9.75,9.75,9.75,9.75,0,9.75,9.82,9.75,9.79,0.0,0.01,-0.0,0.0
2020-06-12,9.75,9.75,9.75,9.75,0,9.7,9.75,9.79,9.85,-0.01,0.0,0.0,0.01
2020-06-15,9.7,9.7,9.7,9.7,214,9.82,9.75,9.79,9.81,0.01,0.01,0.01,0.01
2020-06-16,9.7,9.82,9.7,9.82,370,9.75,9.79,9.85,9.79,0.01,0.01,0.02,0.01
2020-06-17,9.79,9.9,9.75,9.75,3055,9.75,9.79,9.81,9.8,-0.0,0.0,0.0,0.0
2020-06-18,9.79,9.8,9.7,9.75,2022,9.79,9.85,9.79,9.85,0.0,0.01,-0.0,0.01
2020-06-19,9.79,9.79,9.79,9.79,225,9.79,9.81,9.8,9.82,0.0,0.0,0.0,0.0
2020-06-22,9.79,9.79,9.79,9.79,23,9.85,9.79,9.85,9.86,0.01,-0.0,0.01,0.01
2020-06-23,9.79,9.86,9.79,9.85,112127,9.81,9.8,9.82,9.87,0.0,0.0,0.0,0.01
2020-06-24,9.81,9.81,9.81,9.81,301,9.79,9.85,9.86,9.87,-0.0,0.0,0.01,0.01
2020-06-25,9.8,9.8,9.77,9.79,9876,9.8,9.82,9.87,9.85,0.0,0.0,0.01,0.01
2020-06-26,9.81,9.82,9.8,9.8,25600,9.85,9.86,9.87,9.88,0.0,0.01,0.01,0.01
2020-06-29,9.83,9.85,9.83,9.85,275,9.82,9.87,9.85,9.87,-0.0,0.0,0.0,0.0
2020-06-30,9.82,9.82,9.82,9.82,6932,9.86,9.87,9.88,9.95,0.0,0.01,0.01,0.01
2020-07-01,9.82,9.86,9.82,9.86,2006,9.87,9.85,9.87,,0.01,0.0,0.01,
2020-07-02,9.8,9.87,9.8,9.87,554000,9.87,9.88,9.95,,0.01,0.01,0.02,
2020-07-06,9.87,9.87,9.87,9.87,200,9.85,9.87,,,-0.0,0.0,,
2020-07-07,9.82,9.85,9.82,9.85,5900,9.88,9.95,,,0.01,0.01,,
2020-07-08,9.88,9.88,9.88,9.88,120,9.87,,,,-0.0,,,
2020-07-09,9.88,9.88,9.87,9.87,1600,9.95,,,,0.01,,,
2020-07-10,9.88,10.0,9.88,9.95,10200,,,,,,,,
