date,open,high,low,close,volume,close_t+1,close_t+3,close_t+5,close_t+7,open_close_t+1_%chg,open_close_t+3_%chg,open_close_t+5_%chg,open_close_t+7_%chg
2020-01-28,1.21,1.35,1.21,1.3,885500,1.3,1.58,1.5,1.34,0.07,0.31,0.24,0.11
2020-01-29,1.31,1.31,1.3,1.3,1500,1.28,1.58,1.44,1.35,-0.02,0.21,0.1,0.03
2020-01-30,1.28,1.28,1.28,1.28,3000,1.58,1.5,1.34,1.35,0.23,0.17,0.05,0.05
2020-02-03,1.44,1.59,1.44,1.58,8330,1.58,1.44,1.35,1.29,0.1,0.0,-0.06,-0.1
2020-02-04,1.58,1.58,1.58,1.58,400,1.5,1.34,1.35,1.25,-0.05,-0.15,-0.15,-0.21
2020-02-11,1.5,1.5,1.5,1.5,1000,1.44,1.35,1.29,1.22,-0.04,-0.1,-0.14,-0.19
2020-02-21,1.3,1.44,1.3,1.44,13500,1.34,1.35,1.25,1.25,0.03,0.04,-0.04,-0.04
2020-02-24,1.34,1.34,1.34,1.34,450,1.35,1.29,1.22,1.25,0.01,-0.04,-0.09,-0.07
2020-02-25,1.35,1.35,1.35,1.35,500,1.35,1.25,1.25,1.3,0.0,-0.07,-0.07,-0.04
2020-02-26,1.35,1.35,1.35,1.35,30,1.29,1.22,1.25,1.3,-0.04,-0.1,-0.07,-0.04
2020-02-27,1.25,1.29,1.2,1.29,26100,1.25,1.25,1.3,1.05,0.0,0.0,0.04,-0.16
2020-02-28,1.25,1.29,1.25,1.25,114500,1.22,1.25,1.3,0.99,-0.02,0.0,0.04,-0.21
2020-03-02,1.25,1.26,1.2,1.22,110793,1.25,1.3,1.05,1.15,0.0,0.04,-0.16,-0.08
2020-03-03,1.25,1.25,1.25,1.25,0,1.25,1.3,0.99,1.3,0.0,0.04,-0.21,0.04
2020-03-04,1.25,1.25,1.25,1.25,16000,1.3,1.05,1.15,1.3,0.04,-0.16,-0.08,0.04
2020-03-06,1.3,1.3,1.25,1.3,2100,1.3,0.99,1.3,1.3,0.0,-0.24,0.0,0.0
2020-03-09,1.3,1.3,1.3,1.3,8,1.05,1.15,1.3,1.25,-0.19,-0.12,0.0,-0.04
2020-03-12,1.01,1.05,1.0,1.05,30400,0.99,1.3,1.3,0.9,-0.02,0.29,0.29,-0.11
2020-03-16,0.99,0.99,0.99,0.99,100,1.15,1.3,1.25,1.05,0.16,0.31,0.26,0.06
2020-03-17,1.15,1.15,1.15,1.15,1000,1.3,1.3,0.9,1.05,0.13,0.13,-0.22,-0.09
2020-03-18,1.3,1.3,1.3,1.3,515,1.3,1.25,1.05,0.94,0.0,-0.04,-0.19,-0.28
2020-03-20,1.3,1.3,1.3,1.3,2,1.3,0.9,1.05,0.89,0.0,-0.31,-0.19,-0.32
2020-03-23,1.3,1.3,1.3,1.3,1500,1.25,1.05,0.94,0.84,-0.04,-0.19,-0.28,-0.35
2020-03-24,1.25,1.25,1.25,1.25,125,0.9,1.05,0.89,0.85,-0.28,-0.16,-0.29,-0.32
2020-03-25,1.04,1.04,0.7,0.9,11918,1.05,0.94,0.84,0.85,0.01,-0.1,-0.19,-0.18
2020-03-26,1.05,1.05,1.05,1.05,100,1.05,0.89,0.85,0.85,0.0,-0.15,-0.19,-0.19
2020-03-27,1.05,1.05,1.05,1.05,72,0.94,0.84,0.85,0.85,-0.11,-0.2,-0.19,-0.19
2020-03-31,0.95,0.95,0.61,0.94,5616,0.89,0.85,0.85,0.85,-0.06,-0.1,-0.11,-0.11
2020-04-01,0.67,0.89,0.6,0.89,200100,0.84,0.85,0.85,0.85,0.26,0.28,0.27,0.27
2020-04-06,0.85,0.85,0.65,0.84,252006,0.85,0.85,0.85,0.82,0.0,-0.0,-0.0,-0.04
2020-04-08,0.81,0.85,0.7,0.85,19994,0.85,0.85,0.85,0.82,0.05,0.05,0.05,0.01
2020-04-13,0.85,0.85,0.85,0.85,1,0.85,0.85,0.82,0.8,-0.01,-0.0,-0.04,-0.06
2020-04-14,0.85,0.85,0.85,0.85,2040,0.85,0.85,0.82,0.8,-0.0,0.0,-0.04,-0.06
2020-04-15,0.85,0.85,0.85,0.85,101,0.85,0.82,0.8,0.8,0.0,-0.04,-0.06,-0.06
2020-04-16,0.85,0.85,0.85,0.85,40,0.85,0.82,0.8,0.8,0.0,-0.04,-0.06,-0.06
