date,open,high,low,close,volume,close_t+1,close_t+3,close_t+5,close_t+7,open_close_t+1_%chg,open_close_t+3_%chg,open_close_t+5_%chg,open_close_t+7_%chg
2020-06-09,10.19,10.26,10.18,10.25,8056595,10.32,10.15,10.15,10.16,0.01,-0.0,-0.0,-0.0
2020-06-10,10.25,10.4,10.25,10.32,1008808,10.12,10.17,10.2,10.16,-0.01,-0.01,-0.0,-0.01
2020-06-11,10.3,10.3,10.08,10.12,2835167,10.15,10.15,10.16,10.16,-0.01,-0.01,-0.01,-0.01
2020-06-12,10.1,10.2,10.1,10.15,124882,10.17,10.2,10.16,10.19,0.01,0.01,0.01,0.01
2020-06-15,10.11,10.18,10.11,10.17,212544,10.15,10.16,10.16,10.19,0.0,0.0,0.0,0.01
2020-06-16,10.19,10.19,10.13,10.15,28445,10.2,10.16,10.19,10.17,0.0,-0.0,0.0,-0.0
2020-06-17,10.18,10.2,10.15,10.2,97483,10.16,10.16,10.19,10.16,-0.0,-0.0,0.0,-0.0
2020-06-18,10.2,10.2,10.15,10.16,179531,10.16,10.19,10.17,10.25,-0.0,-0.0,-0.0,0.0
2020-06-19,10.16,10.2,10.15,10.16,69667,10.16,10.19,10.16,10.25,0.0,0.0,0.0,0.01
2020-06-22,10.18,10.25,10.16,10.16,92419,10.19,10.17,10.25,10.24,0.0,-0.0,0.01,0.01
2020-06-23,10.18,10.22,10.18,10.19,45309,10.19,10.16,10.25,10.22,0.0,-0.0,0.01,0.0
2020-06-24,10.21,10.24,10.17,10.19,38015,10.17,10.25,10.24,10.21,-0.0,0.0,0.0,0.0
2020-06-25,10.18,10.19,10.17,10.17,35889,10.16,10.25,10.22,10.24,-0.0,0.01,0.0,0.01
2020-06-26,10.16,10.19,10.1,10.16,160065,10.25,10.24,10.21,10.22,0.01,0.01,0.0,0.01
2020-06-29,10.17,10.25,10.09,10.25,285061,10.25,10.22,10.24,10.26,0.01,0.0,0.01,0.01
2020-06-30,10.24,10.3,10.11,10.25,821742,10.24,10.21,10.22,10.3,0.0,-0.0,-0.0,0.01
2020-07-01,10.2,10.25,10.2,10.24,232713,10.22,10.24,10.26,,0.0,0.0,0.01,
2020-07-02,10.24,10.24,10.2,10.22,225092,10.21,10.22,10.3,,-0.0,-0.0,0.01,
2020-07-06,10.2,10.25,10.2,10.21,22500,10.24,10.26,,,0.0,0.01,,
2020-07-07,10.25,10.25,10.18,10.24,56400,10.22,10.3,,,-0.0,0.0,,
2020-07-08,10.24,10.25,10.18,10.22,15000,10.26,,,,0.0,,,
2020-07-09,10.22,10.3,10.22,10.26,37200,10.3,,,,0.01,,,
2020-07-10,10.25,10.3,10.21,10.3,103500,,,,,,,,
