date,open,high,low,close,volume,close_t+1,close_t+3,close_t+5,close_t+7,open_close_t+1_%chg,open_close_t+3_%chg,open_close_t+5_%chg,open_close_t+7_%chg
2019-12-19,14.25,16.5,13.7,15.98,208971,15.96,15.85,16.24,15.87,0.12,0.11,0.14,0.11
2019-12-20,15.53,16.13,14.43,15.96,119006,15.79,16.4,15.81,15.6,0.02,0.06,0.02,0.0
2019-12-23,15.86,16.2,15.04,15.79,62728,15.85,16.24,15.87,15.62,-0.0,0.02,0.0,-0.02
2019-12-24,15.25,16.64,15.0,15.85,149867,16.4,15.81,15.6,15.57,0.08,0.04,0.02,0.02
2019-12-26,15.75,16.4,15.75,16.4,46522,16.24,15.87,15.62,15.56,0.03,0.01,-0.01,-0.01
2019-12-27,16.45,16.5,14.61,16.24,10830,15.81,15.6,15.57,15.27,-0.04,-0.05,-0.05,-0.07
2019-12-30,16.32,16.4,15.6,15.81,34555,15.87,15.62,15.56,16.32,-0.03,-0.04,-0.05,0.0
2019-12-31,15.33,15.98,14.85,15.87,50543,15.6,15.57,15.27,16.94,0.02,0.02,-0.0,0.11
2020-01-02,15.85,16.0,15.12,15.6,26727,15.62,15.56,16.32,17.0,-0.01,-0.02,0.03,0.07
2020-01-03,15.63,17.41,15.31,15.62,72411,15.57,15.27,16.94,17.1,-0.0,-0.02,0.08,0.09
2020-01-06,15.41,15.75,15.41,15.57,79992,15.56,16.32,17.0,16.89,0.01,0.06,0.1,0.1
2020-01-07,15.19,15.6,15.19,15.56,116987,15.27,16.94,17.1,17.13,0.01,0.12,0.13,0.13
2020-01-08,16.1,16.1,15.24,15.27,97443,16.32,17.0,16.89,17.0,0.01,0.06,0.05,0.06
2020-01-09,15.88,16.73,15.28,16.32,234130,16.94,17.1,17.13,16.07,0.07,0.08,0.08,0.01
2020-01-10,17.49,18.36,16.85,16.94,133888,17.0,16.89,17.0,15.96,-0.03,-0.03,-0.03,-0.09
2020-01-13,16.95,17.13,16.75,17.0,169456,17.1,17.13,16.07,15.96,0.01,0.01,-0.05,-0.06
2020-01-14,17.1,17.21,16.46,17.1,86816,16.89,17.0,15.96,16.07,-0.01,-0.01,-0.07,-0.06
2020-01-15,17.25,17.25,16.12,16.89,260067,17.13,16.07,15.96,15.7,-0.01,-0.07,-0.07,-0.09
2020-01-16,16.99,18.69,16.8,17.13,50573,17.0,15.96,16.07,15.82,0.0,-0.06,-0.05,-0.07
2020-01-17,16.87,17.51,16.87,17.0,52168,16.07,15.96,15.7,15.96,-0.05,-0.05,-0.07,-0.05
2020-01-21,16.8,17.0,15.35,16.07,100710,15.96,16.07,15.82,15.6,-0.05,-0.04,-0.06,-0.07
2020-01-22,16.0,16.23,15.87,15.96,76466,15.96,15.7,15.96,15.79,-0.0,-0.02,-0.0,-0.01
2020-01-23,15.92,16.64,15.76,15.96,68943,16.07,15.82,15.6,15.97,0.01,-0.01,-0.02,0.0
2020-01-24,15.96,16.11,15.76,16.07,62785,15.7,15.96,15.79,16.2,-0.02,0.0,-0.01,0.02
2020-01-27,15.9,15.9,15.52,15.7,58955,15.82,15.6,15.97,15.75,-0.01,-0.02,0.0,-0.01
2020-01-28,15.36,16.12,15.36,15.82,56808,15.96,15.79,16.2,16.04,0.04,0.03,0.05,0.04
2020-01-29,15.72,16.08,15.72,15.96,102394,15.6,15.97,15.75,16.07,-0.01,0.02,0.0,0.02
2020-01-30,15.65,16.26,15.23,15.6,110683,15.79,16.2,16.04,15.75,0.01,0.04,0.02,0.01
2020-01-31,15.61,16.2,15.42,15.79,123006,15.97,15.75,16.07,15.7,0.02,0.01,0.03,0.01
2020-02-03,15.74,16.4,15.02,15.97,68001,16.2,16.04,15.75,15.65,0.03,0.02,0.0,-0.01
2020-02-04,16.34,16.34,15.67,16.2,128294,15.75,16.07,15.7,14.51,-0.04,-0.02,-0.04,-0.11
2020-02-05,16.76,16.76,15.51,15.75,110718,16.04,15.75,15.65,15.44,-0.04,-0.06,-0.07,-0.08
2020-02-06,15.99,16.52,15.81,16.04,94386,16.07,15.7,14.51,16.33,0.01,-0.02,-0.09,0.02
2020-02-07,16.01,16.4,15.65,16.07,124717,15.75,15.65,15.44,16.43,-0.02,-0.02,-0.04,0.03
2020-02-10,16.1,16.11,15.59,15.75,107309,15.7,14.51,16.33,15.8,-0.02,-0.1,0.01,-0.02
2020-02-11,15.87,16.29,15.6,15.7,344303,15.65,15.44,16.43,15.35,-0.01,-0.03,0.04,-0.03
2020-02-12,15.7,15.96,15.56,15.65,191565,14.51,16.33,15.8,14.83,-0.08,0.04,0.01,-0.06
2020-02-13,15.7,15.95,14.45,14.51,99773,15.44,16.43,15.35,14.79,-0.02,0.05,-0.02,-0.06
2020-02-14,14.62,15.7,14.62,15.44,40735,16.33,15.8,14.83,14.83,0.12,0.08,0.01,0.01
2020-02-18,15.4,16.53,15.4,16.33,162803,16.43,15.35,14.79,15.24,0.07,-0.0,-0.04,-0.01
2020-02-19,16.27,16.73,16.09,16.43,70299,15.8,14.83,14.83,15.73,-0.03,-0.09,-0.09,-0.03
2020-02-20,16.25,16.3,15.66,15.8,104124,15.35,14.79,15.24,16.17,-0.06,-0.09,-0.06,-0.0
2020-02-21,15.84,15.93,15.3,15.35,71903,14.83,14.83,15.73,16.36,-0.06,-0.06,-0.01,0.03
2020-02-24,16.31,16.49,14.78,14.83,67793,14.79,15.24,16.17,17.04,-0.09,-0.07,-0.01,0.04
2020-02-25,14.89,15.34,14.27,14.79,136804,14.83,15.73,16.36,16.96,-0.0,0.06,0.1,0.14
2020-02-26,14.77,15.86,14.65,14.83,112797,15.24,16.17,17.04,16.16,0.03,0.09,0.15,0.09
2020-02-27,14.53,15.93,14.43,15.24,78261,15.73,16.36,16.96,16.04,0.08,0.13,0.17,0.1
2020-02-28,14.98,16.23,14.45,15.73,113157,16.17,17.04,16.16,15.06,0.08,0.14,0.08,0.01
2020-03-02,16.0,16.3,15.35,16.17,80571,16.36,16.96,16.04,14.14,0.02,0.06,0.0,-0.12
2020-03-03,16.25,16.75,15.61,16.36,73026,17.04,16.16,15.06,13.4,0.05,-0.01,-0.07,-0.18
2020-03-04,16.55,17.8,16.14,17.04,82321,16.96,16.04,14.14,14.7,0.02,-0.03,-0.15,-0.11
2020-03-05,16.43,17.03,16.43,16.96,142331,16.16,15.06,13.4,11.04,-0.02,-0.08,-0.18,-0.33
2020-03-06,17.0,17.1,15.78,16.16,209181,16.04,14.14,14.7,10.69,-0.06,-0.17,-0.14,-0.37
2020-03-09,15.13,17.0,14.3,16.04,55718,15.06,13.4,11.04,8.36,-0.0,-0.11,-0.27,-0.45
2020-03-10,17.33,17.33,14.97,15.06,169631,14.14,14.7,10.69,9.19,-0.18,-0.15,-0.38,-0.47
2020-03-11,14.98,15.26,13.97,14.14,171608,13.4,11.04,8.36,9.28,-0.11,-0.26,-0.44,-0.38
2020-03-12,13.4,13.4,12.26,13.4,129301,14.7,10.69,9.19,11.01,0.1,-0.2,-0.31,-0.18
2020-03-13,13.91,14.7,12.25,14.7,142981,11.04,8.36,9.28,11.46,-0.21,-0.4,-0.33,-0.18
2020-03-16,12.51,12.64,10.86,11.04,215351,10.69,9.19,11.01,11.86,-0.15,-0.27,-0.12,-0.05
2020-03-17,11.49,11.5,10.38,10.69,147010,8.36,9.28,11.46,12.87,-0.27,-0.19,-0.0,0.12
2020-03-18,9.05,11.0,8.34,8.36,315875,9.19,11.01,11.86,13.44,0.02,0.22,0.31,0.49
2020-03-19,8.44,9.2,8.36,9.19,253953,9.28,11.46,12.87,16.55,0.1,0.36,0.52,0.96
2020-03-20,9.29,9.99,9.04,9.28,103353,11.01,11.86,13.44,15.56,0.19,0.28,0.45,0.68
2020-03-23,9.3,11.75,9.3,11.01,120778,11.46,12.87,16.55,14.39,0.23,0.38,0.78,0.55
2020-03-24,11.62,11.99,11.46,11.46,141892,11.86,13.44,15.56,15.21,0.02,0.16,0.34,0.31
2020-03-25,12.0,12.57,11.57,11.86,111987,12.87,16.55,14.39,14.2,0.07,0.38,0.2,0.18
2020-03-26,11.49,13.75,11.49,12.87,163215,13.44,15.56,15.21,13.87,0.17,0.35,0.32,0.21
2020-03-27,12.63,13.74,12.04,13.44,115149,16.55,14.39,14.2,14.52,0.31,0.14,0.12,0.15
2020-03-30,15.0,16.97,13.08,16.55,712008,15.56,15.21,13.87,14.84,0.04,0.01,-0.08,-0.01
2020-03-31,15.89,16.56,15.0,15.56,179546,14.39,14.2,14.52,15.54,-0.09,-0.11,-0.09,-0.02
2020-04-01,15.33,15.33,13.3,14.39,218783,15.21,13.87,14.84,15.55,-0.01,-0.1,-0.03,0.01
2020-04-02,14.03,15.98,14.03,15.21,191245,14.2,14.52,15.54,17.15,0.01,0.03,0.11,0.22
2020-04-03,15.25,15.63,13.86,14.2,137660,13.87,14.84,15.55,18.01,-0.09,-0.03,0.02,0.18
2020-04-06,14.51,15.34,13.87,13.87,90787,14.52,15.54,17.15,18.89,0.0,0.07,0.18,0.3
2020-04-07,14.0,14.94,13.65,14.52,131460,14.84,15.55,18.01,18.49,0.06,0.11,0.29,0.32
2020-04-08,14.5,15.74,14.5,14.84,83479,15.54,17.15,18.89,18.86,0.07,0.18,0.3,0.3
2020-04-09,14.82,16.62,14.7,15.54,131491,15.55,18.01,18.49,18.67,0.05,0.22,0.25,0.26
2020-04-13,15.11,15.93,14.33,15.55,171897,17.15,18.89,18.86,18.22,0.14,0.25,0.25,0.21
2020-04-14,15.25,17.21,15.25,17.15,1501823,18.01,18.49,18.67,18.61,0.18,0.21,0.22,0.22
2020-04-15,16.94,18.15,16.71,18.01,436683,18.89,18.86,18.22,19.01,0.12,0.11,0.08,0.12
2020-04-16,18.01,18.94,17.74,18.89,169616,18.49,18.67,18.61,18.41,0.03,0.04,0.03,0.02
2020-04-17,19.44,19.44,18.11,18.49,76576,18.86,18.22,19.01,18.61,-0.03,-0.06,-0.02,-0.04
2020-04-20,18.75,19.21,18.36,18.86,114990,18.67,18.61,18.41,18.99,-0.0,-0.01,-0.02,0.01
2020-04-21,18.79,18.96,17.62,18.67,96071,18.22,19.01,18.61,18.56,-0.03,0.01,-0.01,-0.01
2020-04-22,18.92,19.61,17.88,18.22,76246,18.61,18.41,18.99,18.59,-0.02,-0.03,0.0,-0.02
2020-04-23,18.39,18.69,18.14,18.61,86437,19.01,18.61,18.56,19.01,0.03,0.01,0.01,0.03
2020-04-24,17.69,19.3,17.69,19.01,352756,18.41,18.99,18.59,19.55,0.04,0.07,0.05,0.11
