date,open,high,low,close,volume,close_t+1,close_t+3,close_t+5,close_t+7,open_close_t+1_%chg,open_close_t+3_%chg,open_close_t+5_%chg,open_close_t+7_%chg
2020-06-12,10.07,10.33,10.07,10.2,1441855,10.33,10.5,10.6,11.08,0.03,0.04,0.05,0.1
2020-06-15,10.25,10.5,10.19,10.33,212273,10.4,10.6,11.02,10.95,0.01,0.03,0.08,0.07
2020-06-16,11.36,11.36,10.25,10.4,410310,10.5,10.6,11.08,10.99,-0.08,-0.07,-0.02,-0.03
2020-06-17,10.5,10.6,10.39,10.5,403643,10.6,11.02,10.95,10.94,0.01,0.05,0.04,0.04
2020-06-18,10.4,10.77,10.35,10.6,130440,10.6,11.08,10.99,11.03,0.02,0.07,0.06,0.06
2020-06-19,10.88,10.88,10.44,10.6,1283764,11.02,10.95,10.94,11.18,0.01,0.01,0.01,0.03
2020-06-22,10.94,12.52,10.55,11.02,2313140,11.08,10.99,11.03,10.96,0.01,0.0,0.01,0.0
2020-06-23,11.2,11.5,10.98,11.08,447656,10.95,10.94,11.18,10.85,-0.02,-0.02,-0.0,-0.03
2020-06-24,11.21,11.25,10.6,10.95,365466,10.99,11.03,10.96,10.94,-0.02,-0.02,-0.02,-0.02
2020-06-25,11.22,11.22,10.73,10.99,238812,10.94,11.18,10.85,10.84,-0.02,-0.0,-0.03,-0.03
2020-06-26,11.27,11.27,10.56,10.94,271797,11.03,10.96,10.94,10.82,-0.02,-0.03,-0.03,-0.04
2020-06-29,11.04,11.24,10.78,11.03,193095,11.18,10.85,10.84,10.99,0.01,-0.02,-0.02,-0.0
2020-06-30,11.3,11.35,10.9,11.18,739643,10.96,10.94,10.82,11.23,-0.03,-0.03,-0.04,-0.01
2020-07-01,11.25,11.25,10.89,10.96,348294,10.85,10.84,10.99,,-0.04,-0.04,-0.02,
2020-07-02,11.25,11.25,10.79,10.85,275369,10.94,10.82,11.23,,-0.03,-0.04,-0.0,
2020-07-06,11.23,11.23,10.8,10.94,365800,10.84,10.99,,,-0.03,-0.02,,
2020-07-07,11.23,11.23,10.7,10.84,286500,10.82,11.23,,,-0.04,0.0,,
2020-07-08,10.87,10.99,10.66,10.82,285700,10.99,,,,0.01,,,
2020-07-09,10.98,10.99,10.73,10.99,171900,11.23,,,,0.02,,,
2020-07-10,11.25,11.4,11.03,11.23,985700,,,,,,,,
