date,open,high,low,close,volume,close_t+1,close_t+3,close_t+5,close_t+7,open_close_t+1_%chg,open_close_t+3_%chg,open_close_t+5_%chg,open_close_t+7_%chg
2018-04-06,1.0,1.8,1.0,1.45,2800,1.2,1.65,1.7,1.65,0.2,0.65,0.7,0.65
2018-04-09,1.76,1.76,1.13,1.2,12400,1.6,1.68,1.7,1.78,-0.09,-0.04,-0.03,0.01
2018-04-10,1.39,1.8,1.39,1.6,40300,1.65,1.7,1.65,1.65,0.19,0.22,0.19,0.19
2018-04-11,1.75,1.75,1.5,1.65,5300,1.68,1.7,1.78,1.41,-0.04,-0.03,0.02,-0.19
2018-04-12,1.75,1.79,1.5,1.68,5600,1.7,1.65,1.65,1.42,-0.03,-0.06,-0.06,-0.19
2018-04-13,1.6,1.78,1.6,1.7,6100,1.7,1.78,1.41,1.46,0.06,0.11,-0.12,-0.09
2018-04-16,1.7,1.81,1.6,1.7,22650,1.65,1.65,1.42,1.58,-0.03,-0.03,-0.16,-0.07
2018-04-17,1.7,1.7,1.65,1.65,200,1.78,1.41,1.46,1.75,0.05,-0.17,-0.14,0.03
2018-04-18,1.72,1.82,1.65,1.78,7600,1.65,1.42,1.58,1.73,-0.04,-0.17,-0.08,0.01
2018-04-19,1.65,1.74,1.64,1.65,8645,1.41,1.46,1.75,1.84,-0.15,-0.12,0.06,0.12
2018-04-20,1.55,1.7,1.41,1.41,47796,1.42,1.58,1.73,1.52,-0.08,0.02,0.12,-0.02
2018-04-23,1.41,1.65,1.4,1.42,9218,1.46,1.75,1.84,1.75,0.04,0.24,0.3,0.24
2018-04-24,1.56,1.56,1.42,1.46,3500,1.58,1.73,1.52,1.75,0.01,0.11,-0.02,0.12
2018-04-25,1.58,1.58,1.47,1.58,30800,1.75,1.84,1.75,1.27,0.11,0.16,0.11,-0.2
2018-04-26,1.58,1.8,1.51,1.75,77139,1.73,1.52,1.75,1.65,0.1,-0.04,0.11,0.04
2018-04-27,1.72,1.75,1.54,1.73,26276,1.84,1.75,1.27,1.47,0.07,0.02,-0.26,-0.15
2018-04-30,1.52,1.84,1.52,1.84,42695,1.52,1.75,1.65,1.46,0.0,0.15,0.09,-0.04
2018-05-01,1.55,1.8,1.52,1.52,8200,1.75,1.27,1.47,1.49,0.13,-0.18,-0.05,-0.04
2018-05-02,1.8,1.8,1.52,1.75,3400,1.75,1.65,1.46,1.4,-0.03,-0.08,-0.19,-0.22
2018-05-03,1.52,1.8,1.52,1.75,14500,1.27,1.47,1.49,1.26,-0.16,-0.03,-0.02,-0.17
2018-05-04,1.53,1.8,1.22,1.27,7580,1.65,1.46,1.4,1.42,0.08,-0.05,-0.08,-0.07
2018-05-07,1.31,1.65,1.31,1.65,26500,1.47,1.49,1.26,1.43,0.12,0.14,-0.04,0.09
2018-05-08,1.65,1.65,1.25,1.47,58100,1.46,1.4,1.42,1.37,-0.12,-0.15,-0.14,-0.17
2018-05-09,1.65,1.65,1.25,1.46,1800,1.49,1.26,1.43,1.48,-0.1,-0.24,-0.13,-0.1
2018-05-10,1.6,1.64,1.26,1.49,2600,1.4,1.42,1.37,1.48,-0.13,-0.11,-0.14,-0.08
2018-05-11,1.4,1.4,1.24,1.4,7400,1.26,1.43,1.48,1.62,-0.1,0.02,0.06,0.16
2018-05-14,1.38,1.38,1.26,1.26,1700,1.42,1.37,1.48,1.5,0.03,-0.01,0.07,0.08
2018-05-15,1.27,1.52,1.26,1.42,3500,1.43,1.48,1.62,1.4,0.13,0.17,0.28,0.1
2018-05-16,1.49,1.52,1.22,1.43,31600,1.37,1.48,1.5,1.58,-0.08,-0.01,0.01,0.06
2018-05-17,1.49,1.64,1.22,1.37,7200,1.48,1.62,1.4,1.61,-0.01,0.09,-0.06,0.08
2018-05-18,1.49,1.6,1.3,1.48,62000,1.48,1.5,1.58,1.6,-0.01,0.01,0.06,0.07
2018-05-21,1.48,1.48,1.4,1.48,6200,1.62,1.4,1.61,1.7,0.09,-0.05,0.09,0.15
2018-05-22,1.49,1.65,1.43,1.62,5093,1.5,1.58,1.6,1.65,0.0,0.05,0.07,0.11
2018-05-23,1.57,1.57,1.3,1.5,1600,1.4,1.61,1.7,1.4,-0.11,0.02,0.08,-0.11
2018-05-24,1.41,1.6,1.35,1.4,3119,1.58,1.6,1.65,1.3,0.12,0.13,0.17,-0.08
2018-05-25,1.38,1.58,1.38,1.58,400,1.61,1.7,1.4,1.31,0.16,0.23,0.01,-0.05
2018-05-29,1.44,1.65,1.44,1.61,29457,1.6,1.65,1.3,1.43,0.11,0.14,-0.1,-0.01
2018-05-30,1.65,1.65,1.3,1.6,4400,1.7,1.4,1.31,1.45,0.03,-0.15,-0.21,-0.12
2018-05-31,1.56,1.79,1.56,1.7,64807,1.65,1.3,1.43,1.42,0.06,-0.17,-0.08,-0.09
2018-06-01,1.61,1.65,1.61,1.65,10300,1.4,1.31,1.45,1.42,-0.13,-0.19,-0.1,-0.12
2018-06-04,1.62,1.64,1.01,1.4,19700,1.3,1.43,1.42,1.39,-0.2,-0.12,-0.12,-0.14
2018-06-05,1.21,1.35,1.21,1.3,35600,1.31,1.45,1.42,1.25,0.08,0.2,0.17,0.03
2018-06-06,1.31,1.31,1.31,1.31,163,1.43,1.42,1.39,1.17,0.09,0.08,0.06,-0.11
2018-06-07,1.32,1.45,1.31,1.43,1900,1.45,1.42,1.25,1.29,0.1,0.08,-0.05,-0.02
2018-06-08,1.45,1.45,1.18,1.45,7900,1.42,1.39,1.17,1.15,-0.02,-0.04,-0.19,-0.21
2018-06-11,1.43,1.43,1.1,1.42,10321,1.42,1.25,1.29,1.37,-0.01,-0.13,-0.1,-0.04
2018-06-12,1.33,1.42,1.33,1.42,1100,1.39,1.17,1.15,1.43,0.05,-0.12,-0.14,0.08
2018-06-13,1.42,1.42,1.25,1.39,3500,1.25,1.29,1.37,1.31,-0.12,-0.09,-0.04,-0.08
2018-06-14,1.35,1.39,1.2,1.25,9200,1.17,1.15,1.43,1.55,-0.13,-0.15,0.06,0.15
2018-06-15,1.26,1.37,1.04,1.17,5100,1.29,1.37,1.31,1.55,0.02,0.09,0.04,0.23
2018-06-18,1.16,1.33,1.03,1.29,1721,1.15,1.43,1.55,1.6,-0.01,0.23,0.34,0.38
2018-06-19,1.03,1.33,1.03,1.15,6924,1.37,1.31,1.55,1.65,0.33,0.27,0.5,0.6
2018-06-20,1.18,1.44,1.18,1.37,16486,1.43,1.55,1.6,1.76,0.22,0.32,0.36,0.5
2018-06-21,1.44,1.45,1.24,1.43,3600,1.31,1.55,1.65,1.76,-0.09,0.08,0.15,0.22
2018-06-22,1.25,1.44,1.15,1.31,23537,1.55,1.6,1.76,1.77,0.24,0.28,0.41,0.42
2018-06-25,1.31,1.55,1.2,1.55,66139,1.55,1.65,1.76,1.76,0.18,0.26,0.34,0.34
2018-06-26,1.54,1.55,1.29,1.55,6060,1.6,1.76,1.77,1.73,0.04,0.14,0.15,0.12
2018-06-27,1.55,1.65,1.55,1.6,3600,1.65,1.76,1.76,1.73,0.06,0.14,0.14,0.12
2018-06-28,1.29,1.69,1.29,1.65,14440,1.76,1.77,1.73,1.76,0.36,0.37,0.34,0.36
2018-06-29,1.69,1.78,1.64,1.76,20891,1.76,1.76,1.73,1.7,0.04,0.04,0.02,0.01
2018-07-02,1.56,1.76,1.56,1.76,2100,1.77,1.73,1.76,1.8,0.13,0.11,0.13,0.15
2018-07-03,1.75,1.77,1.75,1.77,1100,1.76,1.73,1.7,1.65,0.01,-0.01,-0.03,-0.06
2018-07-05,1.79,1.79,1.35,1.76,9200,1.73,1.76,1.8,1.8,-0.03,-0.02,0.01,0.01
2018-07-06,1.25,1.73,1.25,1.73,5619,1.73,1.7,1.65,1.85,0.38,0.36,0.32,0.48
2018-07-09,1.66,1.73,1.65,1.73,1600,1.76,1.8,1.8,1.85,0.06,0.08,0.08,0.11
2018-07-11,1.5,1.76,1.5,1.76,2800,1.7,1.65,1.85,1.65,0.13,0.1,0.23,0.1
2018-07-12,1.77,1.8,1.65,1.7,2800,1.8,1.8,1.85,1.81,0.02,0.02,0.05,0.02
2018-07-13,1.8,1.8,1.8,1.8,1900,1.65,1.85,1.65,1.6,-0.08,0.03,-0.08,-0.11
2018-07-16,1.7,1.8,1.65,1.65,2700,1.8,1.85,1.81,1.55,0.06,0.09,0.06,-0.09
2018-07-17,1.7,1.85,1.68,1.8,4050,1.85,1.65,1.6,1.82,0.09,-0.03,-0.06,0.07
2018-07-18,1.72,1.85,1.7,1.85,11600,1.85,1.81,1.55,1.51,0.08,0.05,-0.1,-0.12
2018-07-19,1.97,1.97,1.65,1.85,15547,1.65,1.6,1.82,1.55,-0.16,-0.19,-0.08,-0.21
