date,open,high,low,close,volume,close_t+1,close_t+3,close_t+5,close_t+7,open_close_t+1_%chg,open_close_t+3_%chg,open_close_t+5_%chg,open_close_t+7_%chg
2018-06-29,0.47,0.52,0.45,0.49,2780600,0.52,0.54,0.55,0.59,0.1,0.15,0.17,0.26
2018-07-02,0.49,0.52,0.49,0.52,521200,0.52,0.55,0.6,0.59,0.06,0.11,0.22,0.2
2018-07-03,0.52,0.52,0.52,0.52,218300,0.54,0.55,0.59,0.57,0.04,0.06,0.13,0.1
2018-07-05,0.52,0.54,0.52,0.54,42100,0.55,0.6,0.59,0.58,0.05,0.15,0.13,0.12
2018-07-06,0.54,0.55,0.54,0.55,205200,0.55,0.59,0.57,0.62,0.02,0.09,0.06,0.15
2018-07-09,0.55,0.55,0.54,0.55,405600,0.6,0.59,0.58,0.58,0.09,0.07,0.05,0.05
2018-07-10,0.58,0.6,0.58,0.6,11710,0.59,0.57,0.62,0.55,0.02,-0.02,0.07,-0.05
2018-07-11,0.6,0.6,0.57,0.59,23356,0.59,0.58,0.58,0.56,-0.02,-0.03,-0.03,-0.07
2018-07-16,0.59,0.59,0.59,0.59,29,0.57,0.62,0.55,0.56,-0.03,0.05,-0.07,-0.05
2018-07-18,0.58,0.58,0.57,0.57,13070,0.58,0.58,0.56,0.56,0.0,0.0,-0.03,-0.03
2018-07-19,0.58,0.58,0.58,0.58,10000,0.62,0.55,0.56,0.5,0.07,-0.05,-0.03,-0.14
2018-07-20,0.6,0.62,0.6,0.62,10100,0.58,0.56,0.56,0.55,-0.03,-0.07,-0.07,-0.08
2018-07-24,0.6,0.6,0.58,0.58,800,0.55,0.56,0.5,0.57,-0.08,-0.07,-0.17,-0.05
2018-07-26,0.55,0.55,0.55,0.55,215000,0.56,0.56,0.55,0.54,0.02,0.02,0.0,-0.02
2018-07-27,0.56,0.56,0.56,0.56,100000,0.56,0.5,0.57,0.53,0.0,-0.11,0.02,-0.05
2018-07-31,0.56,0.56,0.56,0.56,24,0.56,0.55,0.54,0.59,0.0,-0.02,-0.04,0.05
2018-08-07,0.56,0.56,0.56,0.56,5,0.5,0.57,0.53,0.6,-0.11,0.02,-0.05,0.07
2018-08-08,0.55,0.55,0.5,0.5,100500,0.55,0.54,0.59,0.54,0.0,-0.02,0.07,-0.02
2018-08-13,0.55,0.55,0.55,0.55,500,0.57,0.53,0.6,0.55,0.04,-0.04,0.09,0.0
2018-08-14,0.57,0.57,0.57,0.57,20000,0.54,0.59,0.54,0.55,-0.05,0.04,-0.05,-0.04
2018-08-16,0.54,0.54,0.54,0.54,1800,0.53,0.6,0.55,0.6,-0.02,0.11,0.02,0.11
2018-08-22,0.55,0.57,0.53,0.53,258100,0.59,0.54,0.55,0.58,0.07,-0.02,0.0,0.05
2018-08-28,0.6,0.6,0.58,0.59,2645,0.6,0.55,0.6,0.55,0.0,-0.08,0.0,-0.08
2018-08-31,0.6,0.6,0.6,0.6,1800,0.54,0.55,0.58,0.55,-0.1,-0.08,-0.03,-0.08
2018-09-05,0.55,0.55,0.53,0.54,11400,0.55,0.6,0.55,0.54,0.0,0.09,0.0,-0.02
2018-09-06,0.55,0.55,0.55,0.55,20200,0.55,0.58,0.55,0.55,0.0,0.05,0.0,0.0
2018-09-07,0.55,0.55,0.55,0.55,21800,0.6,0.55,0.54,0.6,0.09,0.0,-0.02,0.09
2018-09-12,0.65,0.65,0.57,0.6,5600,0.58,0.55,0.55,0.55,-0.11,-0.15,-0.15,-0.15
2018-09-13,0.65,0.65,0.56,0.58,2800,0.55,0.54,0.6,0.54,-0.15,-0.17,-0.08,-0.17
2018-09-20,0.55,0.55,0.55,0.55,1000,0.55,0.55,0.55,0.55,0.0,0.0,0.0,-0.0
2018-09-24,0.55,0.55,0.55,0.55,100000,0.54,0.6,0.54,0.49,-0.02,0.09,-0.02,-0.11
2018-09-25,0.54,0.54,0.54,0.54,100,0.55,0.55,0.55,0.47,0.02,0.02,0.02,-0.13
2018-09-26,0.57,0.58,0.55,0.55,51100,0.6,0.54,0.49,0.46,0.06,-0.05,-0.14,-0.19
2018-10-02,0.55,0.6,0.55,0.6,200,0.55,0.55,0.47,0.53,0.0,-0.0,-0.15,-0.04
2018-10-03,0.55,0.55,0.55,0.55,11300,0.54,0.49,0.46,0.5,-0.02,-0.11,-0.16,-0.09
2018-10-04,0.54,0.54,0.54,0.54,200,0.55,0.47,0.53,0.48,0.02,-0.13,-0.02,-0.11
