date,open,high,low,close,volume,close_t+1,close_t+3,close_t+5,close_t+7,open_close_t+1_%chg,open_close_t+3_%chg,open_close_t+5_%chg,open_close_t+7_%chg
2018-10-15,0.25,0.25,0.2,0.2,55000,0.21,0.2,0.19,0.18,-0.16,-0.2,-0.24,-0.28
2018-10-16,0.21,0.21,0.21,0.21,3600,0.19,0.19,0.19,0.17,-0.1,-0.1,-0.1,-0.2
2018-10-17,0.2,0.2,0.19,0.19,225200,0.2,0.19,0.18,0.17,-0.02,-0.07,-0.12,-0.17
2018-10-24,0.2,0.2,0.2,0.2,50000,0.19,0.19,0.17,0.17,-0.05,-0.05,-0.15,-0.15
2018-10-30,0.18,0.19,0.18,0.19,3300,0.19,0.18,0.17,0.17,0.05,0.0,-0.06,-0.06
2018-10-31,0.18,0.19,0.18,0.19,80000,0.19,0.17,0.17,0.17,0.05,-0.06,-0.06,-0.06
2018-11-01,0.19,0.19,0.19,0.19,5000,0.18,0.17,0.17,0.17,-0.05,-0.11,-0.11,-0.11
2018-11-05,0.18,0.18,0.18,0.18,30000,0.17,0.17,0.17,0.15,-0.06,-0.06,-0.06,-0.17
2018-11-07,0.17,0.17,0.17,0.17,50000,0.17,0.17,0.17,0.14,-0.0,-0.0,-0.0,-0.18
2018-11-16,0.15,0.17,0.15,0.17,45400,0.17,0.17,0.15,0.15,0.13,0.13,-0.0,-0.0
2018-11-19,0.15,0.17,0.15,0.17,200,0.17,0.17,0.14,0.15,0.13,0.13,-0.07,0.0
2018-11-20,0.15,0.17,0.15,0.17,200,0.17,0.15,0.15,0.15,0.13,0.0,0.0,0.0
2018-11-21,0.15,0.17,0.15,0.17,200,0.17,0.14,0.15,0.15,0.13,-0.07,0.0,0.0
2018-11-23,0.15,0.17,0.12,0.17,242526,0.15,0.15,0.15,0.15,0.0,0.0,0.0,0.0
2018-11-26,0.14,0.15,0.14,0.15,27200,0.14,0.15,0.15,0.15,0.0,0.07,0.07,0.07
2018-11-27,0.14,0.14,0.14,0.14,5000,0.15,0.15,0.15,0.15,0.07,0.07,0.07,0.07
2018-11-28,0.12,0.15,0.11,0.15,70700,0.15,0.15,0.15,0.15,0.25,0.25,0.25,0.25
2018-12-04,0.13,0.15,0.13,0.15,7900,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15
2018-12-10,0.14,0.15,0.14,0.15,2600,0.15,0.15,0.15,0.15,0.07,0.07,0.07,0.07
2019-01-04,0.14,0.15,0.1,0.15,15600,0.15,0.15,0.15,0.13,0.07,0.07,0.07,-0.07
2019-01-07,0.14,0.15,0.14,0.15,1200,0.15,0.15,0.15,0.11,0.07,0.07,0.07,-0.21
2019-01-22,0.12,0.15,0.12,0.15,90428,0.15,0.15,0.13,0.11,0.2,0.2,0.04,-0.12
2019-01-23,0.12,0.15,0.12,0.15,91100,0.15,0.15,0.11,0.11,0.3,0.3,-0.04,-0.04
2019-01-25,0.11,0.15,0.11,0.15,37000,0.15,0.13,0.11,0.11,0.36,0.18,0.0,0.0
2019-01-28,0.15,0.15,0.15,0.15,1100,0.15,0.11,0.11,0.11,0.0,-0.27,-0.27,-0.27
2019-01-30,0.15,0.15,0.15,0.15,100,0.13,0.11,0.11,0.11,-0.13,-0.27,-0.27,-0.27
2019-01-31,0.15,0.15,0.13,0.13,400,0.11,0.11,0.11,0.1,-0.27,-0.27,-0.27,-0.33
2019-02-05,0.11,0.11,0.11,0.11,748,0.11,0.11,0.11,0.1,0.0,0.0,0.0,-0.09
2019-02-06,0.11,0.11,0.11,0.11,1000,0.11,0.11,0.1,0.1,0.0,0.0,-0.09,-0.09
2019-02-07,0.12,0.12,0.11,0.11,20200,0.11,0.11,0.1,0.1,-0.08,-0.08,-0.17,-0.17
2019-02-08,0.1,0.11,0.1,0.11,16600,0.11,0.1,0.1,0.1,0.1,0.0,0.0,0.0
2019-02-11,0.1,0.11,0.1,0.11,8800,0.11,0.1,0.1,0.11,0.1,0.0,0.0,0.1
2019-02-12,0.11,0.11,0.11,0.11,300,0.1,0.1,0.1,0.11,-0.09,-0.09,-0.09,0.0
2019-02-13,0.1,0.1,0.1,0.1,1000,0.1,0.1,0.11,0.11,0.0,0.0,0.1,0.1
2019-02-14,0.1,0.1,0.1,0.1,34600,0.1,0.1,0.11,0.11,0.0,0.0,0.1,0.1
2019-02-19,0.08,0.1,0.08,0.1,1650,0.1,0.11,0.11,0.11,0.25,0.38,0.38,0.38
2019-02-20,0.1,0.1,0.1,0.1,500,0.1,0.11,0.11,0.11,0.0,0.1,0.1,0.1
2019-02-22,0.1,0.1,0.1,0.1,1000,0.11,0.11,0.11,0.1,0.1,0.1,0.1,0.0
2019-02-25,0.11,0.11,0.11,0.11,200,0.11,0.11,0.11,0.12,0.0,0.0,0.0,0.09
2019-02-26,0.11,0.11,0.11,0.11,300,0.11,0.11,0.1,0.14,0.0,0.0,-0.09,0.27
2019-02-27,0.11,0.11,0.09,0.11,1100,0.11,0.11,0.12,0.12,0.0,0.0,0.09,0.09
2019-03-06,0.11,0.11,0.08,0.11,700,0.11,0.1,0.14,0.12,0.0,-0.09,0.27,0.09
2019-03-08,0.11,0.11,0.11,0.11,500,0.11,0.12,0.12,0.1,0.0,0.09,0.09,-0.09
2019-03-12,0.11,0.11,0.11,0.11,100,0.1,0.14,0.12,0.1,-0.09,0.27,0.09,-0.09
2019-03-14,0.1,0.1,0.1,0.1,900,0.12,0.12,0.1,0.09,0.2,0.2,0.0,-0.1
2019-03-21,0.11,0.12,0.11,0.12,300,0.14,0.12,0.1,0.09,0.27,0.09,-0.09,-0.18
2019-03-22,0.12,0.14,0.12,0.14,800,0.12,0.1,0.09,0.1,0.0,-0.17,-0.25,-0.17
