date,open,high,low,close,volume,close_t+1,close_t+3,close_t+5,close_t+7,open_close_t+1_%chg,open_close_t+3_%chg,open_close_t+5_%chg,open_close_t+7_%chg
2018-03-12,0.66,0.72,0.65,0.65,2475000,0.66,0.62,0.6,0.64,0.0,-0.06,-0.09,-0.03
2018-03-13,0.67,0.67,0.65,0.66,47500,0.65,0.6,0.7,0.65,-0.03,-0.1,0.04,-0.03
2018-03-14,0.56,0.66,0.56,0.65,13900,0.62,0.6,0.64,0.65,0.1,0.07,0.14,0.16
2018-03-15,0.6,0.66,0.6,0.62,17500,0.6,0.7,0.65,0.64,0.0,0.17,0.08,0.07
2018-03-16,0.6,0.66,0.6,0.6,85100,0.6,0.64,0.65,0.64,0.0,0.07,0.08,0.07
2018-03-19,0.62,0.62,0.6,0.6,106700,0.7,0.65,0.64,0.65,0.13,0.05,0.03,0.05
2018-03-20,0.7,0.7,0.7,0.7,400,0.64,0.65,0.64,0.65,-0.09,-0.07,-0.09,-0.08
2018-03-21,0.64,0.7,0.64,0.64,261825,0.65,0.64,0.65,0.65,0.02,0.0,0.02,0.02
2018-03-28,0.75,1.5,0.65,0.65,1100,0.65,0.64,0.65,0.65,-0.13,-0.15,-0.14,-0.14
2018-04-04,0.62,0.65,0.62,0.65,60100,0.64,0.65,0.65,0.65,0.02,0.04,0.04,0.04
2018-04-11,0.66,0.66,0.62,0.64,240000,0.64,0.65,0.65,0.62,-0.03,-0.02,-0.02,-0.06
2018-04-13,0.65,0.65,0.62,0.64,445500,0.65,0.65,0.65,0.63,0.0,0.0,0.0,-0.03
2018-04-16,0.65,0.65,0.65,0.65,110250,0.65,0.65,0.62,0.61,-0.01,-0.0,-0.05,-0.06
2018-04-17,0.65,0.65,0.65,0.65,52500,0.65,0.65,0.63,0.66,0.0,0.0,-0.03,0.02
2018-04-18,0.65,0.65,0.65,0.65,108500,0.65,0.62,0.61,0.65,-0.0,-0.05,-0.06,0.0
2018-04-19,0.65,0.65,0.65,0.65,2500,0.65,0.63,0.66,0.65,0.0,-0.03,0.02,0.0
2018-04-25,0.63,0.65,0.63,0.65,161675,0.62,0.61,0.65,0.65,-0.02,-0.03,0.03,0.03
