date,open,high,low,close,volume,close_t+1,close_t+3,close_t+5,close_t+7,open_close_t+1_%chg,open_close_t+3_%chg,open_close_t+5_%chg,open_close_t+7_%chg
2019-11-07,9.85,9.86,9.85,9.85,561000,9.88,9.88,10.24,9.97,0.0,0.0,0.04,0.01
2019-11-08,9.85,9.89,9.85,9.88,66800,9.88,9.88,9.92,9.97,0.0,0.0,0.01,0.01
2019-11-11,9.88,9.88,9.88,9.88,0,9.88,10.24,9.97,9.88,0.0,0.04,0.01,-0.0
2019-11-12,9.88,9.88,9.88,9.88,0,9.88,9.92,9.97,9.88,0.0,0.0,0.01,-0.0
2019-11-13,9.88,9.88,9.88,9.88,250000,10.24,9.97,9.88,9.88,0.04,0.01,-0.0,0.0
2019-11-14,10.24,10.24,10.24,10.24,1440,9.92,9.97,9.88,9.9,-0.03,-0.03,-0.04,-0.03
2019-11-15,9.92,9.92,9.92,9.92,300,9.97,9.88,9.88,9.9,0.01,-0.0,-0.0,-0.0
2019-11-18,9.97,9.97,9.97,9.97,300,9.97,9.88,9.9,9.9,0.0,-0.01,-0.01,-0.01
2019-11-19,9.97,9.97,9.97,9.97,0,9.88,9.88,9.9,9.92,-0.01,-0.01,-0.01,-0.01
2019-11-20,9.88,9.88,9.88,9.88,190000,9.88,9.9,9.9,10.24,0.0,0.0,0.0,0.04
2019-11-21,9.88,9.88,9.88,9.88,0,9.88,9.9,9.92,10.24,0.0,0.0,0.0,0.04
2019-11-22,9.88,9.88,9.88,9.88,50000,9.9,9.9,10.24,10.24,0.0,0.0,0.04,0.04
2019-11-25,9.9,9.9,9.9,9.9,50600,9.9,9.92,10.24,10.24,0.0,0.0,0.03,0.03
2019-11-26,9.9,9.9,9.9,9.9,0,9.9,10.24,10.24,9.88,-0.0,0.03,0.03,-0.0
2019-11-27,9.91,9.91,9.88,9.9,25500,9.92,10.24,10.24,9.88,0.0,0.03,0.03,-0.0
2019-11-29,9.92,9.92,9.92,9.92,7775,10.24,10.24,9.88,9.88,0.03,0.03,-0.0,-0.0
2019-12-02,10.24,10.24,10.24,10.24,1008,10.24,10.24,9.88,9.88,0.0,0.0,-0.04,-0.04
2019-12-03,10.24,10.24,10.24,10.24,0,10.24,9.88,9.88,9.88,0.0,-0.04,-0.04,-0.04
2019-12-04,10.24,10.24,10.24,10.24,0,10.24,9.88,9.88,9.88,0.0,-0.04,-0.04,-0.04
2019-12-05,10.24,10.24,10.24,10.24,0,9.88,9.88,9.88,9.88,-0.04,-0.04,-0.04,-0.04
2019-12-06,9.88,9.88,9.88,9.88,225,9.88,9.88,9.88,9.88,0.0,0.0,0.0,0.0
2019-12-09,9.88,9.88,9.88,9.88,1,9.88,9.88,9.88,9.88,0.0,0.0,0.0,0.0
2019-12-10,9.88,9.88,9.88,9.88,0,9.88,9.88,9.88,9.88,0.0,0.0,0.0,0.0
