date,open,high,low,close,volume,close_t+1,close_t+3,close_t+5,close_t+7,open_close_t+1_%chg,open_close_t+3_%chg,open_close_t+5_%chg,open_close_t+7_%chg
2018-12-19,5.94,6.54,5.04,5.13,134800,2.95,3.58,1.8,2.08,-0.5,-0.4,-0.7,-0.65
2018-12-20,4.51,4.8,2.9,2.95,33903,2.88,2.98,1.95,1.72,-0.36,-0.34,-0.57,-0.62
2018-12-21,3.7,3.7,2.88,2.88,1927,3.58,1.8,2.08,1.61,-0.03,-0.51,-0.44,-0.56
2018-12-24,3.7,3.7,3.0,3.58,37819,2.98,1.95,1.72,1.3,-0.19,-0.47,-0.54,-0.65
2018-12-26,4.19,4.96,2.64,2.98,19233,1.8,2.08,1.61,1.82,-0.57,-0.5,-0.62,-0.57
2018-12-27,3.06,3.06,1.8,1.8,51268,1.95,1.72,1.3,1.54,-0.36,-0.44,-0.58,-0.5
2018-12-28,2.07,2.25,1.61,1.95,48737,2.08,1.61,1.82,1.59,0.01,-0.22,-0.12,-0.23
2018-12-31,2.25,2.25,1.68,2.08,16062,1.72,1.3,1.54,1.83,-0.24,-0.42,-0.32,-0.19
2019-01-02,1.95,1.99,1.19,1.72,49442,1.61,1.82,1.59,1.82,-0.17,-0.07,-0.18,-0.07
2019-01-03,1.71,1.92,1.57,1.61,17210,1.3,1.54,1.83,1.55,-0.24,-0.1,0.07,-0.09
2019-01-04,1.52,1.57,1.2,1.3,126305,1.82,1.59,1.82,1.49,0.2,0.05,0.2,-0.02
2019-01-07,1.39,1.85,1.39,1.82,230302,1.54,1.83,1.55,1.6,0.11,0.32,0.12,0.15
2019-01-08,1.7,1.7,1.45,1.54,60021,1.59,1.82,1.49,1.9,-0.06,0.07,-0.12,0.12
2019-01-09,1.55,2.05,1.3,1.59,181523,1.83,1.55,1.6,1.77,0.18,0.0,0.03,0.14
2019-01-10,1.6,2.25,1.56,1.83,287865,1.82,1.49,1.9,1.77,0.14,-0.07,0.19,0.11
2019-01-11,1.82,2.0,1.65,1.82,86849,1.55,1.6,1.77,1.53,-0.15,-0.12,-0.03,-0.16
2019-01-14,1.75,1.84,1.47,1.55,94895,1.49,1.9,1.77,1.38,-0.15,0.09,0.01,-0.21
2019-01-15,1.54,1.71,1.4,1.49,184614,1.6,1.77,1.53,1.36,0.04,0.15,-0.01,-0.12
2019-01-16,1.5,2.52,1.5,1.6,2102201,1.9,1.77,1.38,1.57,0.27,0.18,-0.08,0.05
2019-01-17,1.8,2.75,1.55,1.9,2700233,1.77,1.53,1.36,1.38,-0.02,-0.15,-0.24,-0.23
2019-01-18,1.98,2.1,1.65,1.77,421760,1.77,1.38,1.57,1.4,-0.11,-0.3,-0.21,-0.29
2019-01-22,1.76,1.86,1.63,1.77,61275,1.53,1.36,1.38,1.39,-0.13,-0.23,-0.22,-0.21
2019-01-23,1.69,1.79,1.51,1.53,189814,1.38,1.57,1.4,1.37,-0.18,-0.07,-0.17,-0.19
2019-01-24,1.56,1.69,1.33,1.38,149605,1.36,1.38,1.39,1.35,-0.13,-0.12,-0.11,-0.13
2019-01-25,1.41,1.42,1.24,1.36,320456,1.57,1.4,1.37,1.38,0.11,-0.01,-0.03,-0.02
2019-01-28,1.43,1.72,1.41,1.57,590991,1.38,1.39,1.35,1.4,-0.03,-0.03,-0.06,-0.02
2019-01-29,1.56,1.56,1.34,1.38,192359,1.4,1.37,1.38,1.4,-0.1,-0.12,-0.12,-0.1
2019-01-30,1.39,1.45,1.27,1.4,119216,1.39,1.35,1.4,1.39,0.0,-0.03,0.01,0.0
2019-01-31,1.35,1.39,1.28,1.39,109032,1.37,1.38,1.4,1.38,0.01,0.02,0.04,0.02
2019-02-01,1.44,1.52,1.35,1.37,236041,1.35,1.4,1.39,1.3,-0.06,-0.03,-0.03,-0.1
2019-02-04,1.35,1.4,1.3,1.35,60328,1.38,1.4,1.38,1.3,0.02,0.04,0.02,-0.04
2019-02-05,1.36,1.39,1.25,1.38,91928,1.4,1.39,1.3,1.7,0.03,0.02,-0.04,0.25
2019-02-06,1.33,1.45,1.31,1.4,94084,1.4,1.38,1.3,1.65,0.05,0.04,-0.02,0.24
2019-02-07,1.35,1.44,1.3,1.4,89884,1.39,1.3,1.7,1.73,0.03,-0.04,0.26,0.28
2019-02-08,1.35,1.55,1.33,1.39,190728,1.38,1.3,1.65,1.65,0.02,-0.04,0.22,0.22
2019-02-11,1.46,1.54,1.31,1.38,158331,1.3,1.7,1.73,1.63,-0.11,0.16,0.18,0.12
2019-02-12,1.32,1.37,1.3,1.3,48629,1.3,1.65,1.65,1.7,-0.02,0.25,0.25,0.29
2019-02-13,1.31,1.33,1.26,1.3,77917,1.7,1.73,1.63,1.43,0.29,0.32,0.24,0.09
2019-02-14,2.33,2.54,1.63,1.7,17904545,1.65,1.65,1.7,1.33,-0.29,-0.29,-0.27,-0.43
2019-02-15,1.8,1.82,1.55,1.65,982715,1.73,1.63,1.43,1.2,-0.04,-0.09,-0.21,-0.33
2019-02-19,1.66,1.85,1.58,1.73,598098,1.65,1.7,1.33,1.15,-0.01,0.02,-0.2,-0.31
2019-02-20,1.72,1.79,1.65,1.65,287425,1.63,1.43,1.2,1.14,-0.05,-0.17,-0.3,-0.34
2019-02-21,1.77,1.77,1.6,1.63,122172,1.7,1.33,1.15,0.96,-0.04,-0.25,-0.35,-0.46
2019-02-22,1.66,1.77,1.61,1.7,206087,1.43,1.2,1.14,0.96,-0.14,-0.28,-0.31,-0.42
2019-02-25,1.72,1.72,1.42,1.43,230502,1.33,1.15,0.96,1.08,-0.23,-0.33,-0.44,-0.37
2019-02-26,1.43,1.5,1.32,1.33,270345,1.2,1.14,0.96,1.75,-0.16,-0.2,-0.33,0.22
2019-02-27,1.32,1.34,1.18,1.2,238575,1.15,0.96,1.08,1.22,-0.13,-0.27,-0.18,-0.08
2019-02-28,1.19,1.31,1.08,1.15,365995,1.14,0.96,1.75,1.27,-0.04,-0.19,0.47,0.07
2019-03-01,1.17,1.23,1.07,1.14,105896,0.96,1.08,1.22,1.15,-0.18,-0.08,0.04,-0.02
2019-03-04,1.14,1.18,0.95,0.96,189473,0.96,1.75,1.27,1.24,-0.15,0.54,0.11,0.09
2019-03-05,0.95,1.0,0.86,0.96,159133,1.08,1.22,1.15,1.13,0.14,0.28,0.21,0.19
2019-03-06,0.88,1.34,0.88,1.08,1370361,1.75,1.27,1.24,8.5,0.99,0.44,0.41,8.66
2019-03-07,1.42,1.75,1.16,1.75,2406288,1.22,1.15,1.13,8.17,-0.14,-0.19,-0.2,4.75
2019-03-08,1.46,1.62,1.22,1.22,1163617,1.27,1.24,8.5,7.03,-0.13,-0.15,4.82,3.82
2019-03-11,1.31,1.34,1.23,1.27,177258,1.15,1.13,8.17,8.27,-0.12,-0.14,5.24,5.31
2019-03-12,1.27,1.27,1.11,1.15,319932,1.24,8.5,7.03,7.38,-0.02,5.69,4.54,4.81
2019-03-13,1.15,1.24,1.12,1.24,90066,1.13,8.17,8.27,7.7,-0.02,6.1,6.19,5.7
2019-03-14,1.16,1.23,0.94,1.13,469786,8.5,7.03,7.38,7.79,6.33,5.06,5.36,5.72
2019-03-15,8.14,9.74,7.44,8.5,60872,8.17,8.27,7.7,8.75,0.0,0.02,-0.05,0.07
2019-03-18,8.23,8.6,7.63,8.17,34650,7.03,7.38,7.79,28.0,-0.15,-0.1,-0.05,2.4
2019-03-19,7.94,7.94,6.6,7.03,30158,8.27,7.7,8.75,14.31,0.04,-0.03,0.1,0.8
2019-03-20,6.94,8.79,6.83,8.27,80829,7.38,7.79,28.0,11.86,0.06,0.12,3.03,0.71
2019-03-21,8.98,8.98,7.11,7.38,32147,7.7,8.75,14.31,10.92,-0.14,-0.03,0.59,0.22
2019-03-22,7.19,7.82,7.19,7.7,7844,7.79,28.0,11.86,11.7,0.08,2.89,0.65,0.63
2019-03-25,7.72,8.0,7.6,7.79,30405,8.75,14.31,10.92,12.1,0.13,0.85,0.41,0.57
2019-03-26,7.7,8.89,7.44,8.75,129645,28.0,11.86,11.7,9.02,2.64,0.54,0.52,0.17
2019-03-27,16.12,38.9,11.73,28.0,7260526,14.31,10.92,12.1,9.3,-0.11,-0.32,-0.25,-0.42
2019-03-28,19.01,23.73,12.15,14.31,1167809,11.86,11.7,9.02,10.0,-0.38,-0.38,-0.53,-0.47
2019-03-29,14.39,14.69,10.75,11.86,450625,10.92,12.1,9.3,9.77,-0.24,-0.16,-0.35,-0.32
2019-04-01,11.71,12.48,10.56,10.92,141289,11.7,9.02,10.0,8.89,-0.0,-0.23,-0.15,-0.24
2019-04-02,10.76,12.7,10.51,11.7,201930,12.1,9.3,9.77,8.64,0.12,-0.14,-0.09,-0.2
2019-04-03,11.69,13.4,11.52,12.1,208099,9.02,10.0,8.89,11.49,-0.23,-0.14,-0.24,-0.02
2019-04-04,9.49,10.45,8.53,9.02,338384,9.3,9.77,8.64,5.1,-0.02,0.03,-0.09,-0.46
2019-04-05,10.5,10.5,8.75,9.3,112737,10.0,8.89,11.49,5.03,-0.05,-0.15,0.09,-0.52
2019-04-08,9.5,10.0,8.5,10.0,89031,9.77,8.64,5.1,5.79,0.03,-0.09,-0.46,-0.39
2019-04-09,10.88,10.88,9.35,9.77,51116,8.89,11.49,5.03,5.45,-0.18,0.06,-0.54,-0.5
2019-04-10,10.19,10.19,8.56,8.89,72965,8.64,5.1,5.79,5.27,-0.15,-0.5,-0.43,-0.48
2019-04-11,9.3,9.3,8.1,8.64,94840,11.49,5.03,5.45,5.35,0.24,-0.46,-0.41,-0.42
2019-04-12,7.39,27.0,6.77,11.49,2769243,5.1,5.79,5.27,5.7,-0.31,-0.22,-0.29,-0.23
2019-04-15,4.5,6.34,4.25,5.1,7603735,5.03,5.45,5.35,6.49,0.12,0.21,0.19,0.44
2019-04-16,5.35,5.85,5.0,5.03,2078490,5.79,5.27,5.7,7.03,0.08,-0.01,0.07,0.31
2019-04-17,5.03,6.3,4.61,5.79,5906118,5.45,5.35,6.49,7.18,0.08,0.06,0.29,0.43
2019-04-18,5.25,6.18,5.22,5.45,2161965,5.27,5.7,7.03,7.03,0.0,0.09,0.34,0.34
2019-04-22,5.59,5.92,5.13,5.27,953182,5.35,6.49,7.18,7.0,-0.04,0.16,0.28,0.25
2019-04-23,5.01,5.75,4.97,5.35,1245092,5.7,7.03,7.03,7.32,0.14,0.4,0.4,0.46
2019-04-24,5.76,6.15,5.51,5.7,4645678,6.49,7.18,7.0,7.74,0.13,0.25,0.22,0.34
2019-04-25,5.73,6.92,5.5,6.49,3586527,7.03,7.03,7.32,7.3,0.23,0.23,0.28,0.27
2019-04-26,7.8,7.99,6.68,7.03,10418206,7.18,7.0,7.74,7.03,-0.08,-0.1,-0.01,-0.1
2019-04-29,6.77,7.48,6.76,7.18,2018579,7.03,7.32,7.3,7.26,0.04,0.08,0.08,0.07
2019-04-30,7.0,7.2,6.9,7.03,610391,7.0,7.74,7.03,6.86,0.0,0.11,0.0,-0.02
2019-05-01,6.97,7.49,6.5,7.0,1375640,7.32,7.3,7.26,6.47,0.05,0.05,0.04,-0.07
2019-05-02,7.12,7.48,6.8,7.32,1617490,7.74,7.03,6.86,5.85,0.09,-0.01,-0.04,-0.18
2019-05-03,7.5,8.09,7.4,7.74,2859752,7.3,7.26,6.47,6.03,-0.03,-0.03,-0.14,-0.2
2019-05-06,7.33,7.7,7.15,7.3,986700,7.03,6.86,5.85,6.06,-0.04,-0.06,-0.2,-0.17
2019-05-07,7.25,7.41,6.8,7.03,703105,7.26,6.47,6.03,5.66,0.0,-0.11,-0.17,-0.22
2019-05-08,6.97,7.46,6.8,7.26,720408,6.86,5.85,6.06,5.91,-0.02,-0.16,-0.13,-0.15
2019-05-09,6.97,7.1,6.85,6.86,505997,6.47,6.03,5.66,5.62,-0.07,-0.13,-0.19,-0.19
2019-05-10,6.8,6.89,5.87,6.47,950301,5.85,6.06,5.91,5.6,-0.14,-0.11,-0.13,-0.18
2019-05-13,6.0,6.22,5.82,5.85,426944,6.03,5.66,5.62,5.39,0.01,-0.06,-0.06,-0.1
