date,open,high,low,close,volume,close_t+1,close_t+3,close_t+5,close_t+7,open_close_t+1_%chg,open_close_t+3_%chg,open_close_t+5_%chg,open_close_t+7_%chg
2018-07-17,9.65,9.65,9.65,9.65,1476600,9.65,9.64,9.64,9.63,0.0,-0.0,-0.0,-0.0
2018-07-18,9.65,9.65,9.65,9.65,551850,9.64,9.64,9.64,9.63,-0.0,-0.0,-0.0,-0.0
2018-07-19,9.64,9.64,9.64,9.64,239600,9.64,9.64,9.63,9.64,0.0,0.0,-0.0,0.0
2018-07-20,9.64,9.65,9.64,9.64,76100,9.64,9.64,9.63,9.64,0.0,0.0,-0.0,0.0
2018-07-23,9.64,9.64,9.64,9.64,105200,9.64,9.63,9.64,9.64,0.0,-0.0,0.0,0.0
2018-07-24,9.64,9.64,9.64,9.64,34000,9.64,9.63,9.64,9.65,0.0,-0.0,0.0,0.0
2018-07-25,9.64,9.64,9.64,9.64,5500,9.63,9.64,9.64,9.6,-0.0,0.0,0.0,-0.0
2018-07-26,9.64,9.65,9.62,9.63,106450,9.63,9.64,9.65,9.6,-0.0,0.0,0.0,-0.0
2018-07-27,9.63,9.63,9.63,9.63,0,9.64,9.64,9.6,9.61,0.0,0.0,-0.0,-0.0
2018-07-30,9.65,9.65,9.63,9.64,174600,9.64,9.65,9.6,9.61,-0.0,0.0,-0.01,-0.0
2018-07-31,9.64,9.64,9.64,9.64,0,9.64,9.6,9.61,9.61,0.0,-0.0,-0.0,-0.0
2018-08-01,9.64,9.64,9.64,9.64,0,9.65,9.6,9.61,9.63,0.0,-0.0,-0.0,-0.0
2018-08-02,9.63,9.65,9.6,9.65,275721,9.6,9.61,9.61,9.68,-0.0,-0.0,-0.0,0.01
2018-08-03,9.61,9.65,9.6,9.6,8566,9.6,9.61,9.63,9.68,-0.0,0.0,0.0,0.01
2018-08-06,9.6,9.6,9.6,9.6,722500,9.61,9.61,9.68,9.68,0.0,0.0,0.01,0.01
2018-08-07,9.65,9.67,9.6,9.61,874813,9.61,9.63,9.68,9.68,-0.0,-0.0,0.0,0.0
2018-08-08,9.61,9.61,9.61,9.61,0,9.61,9.68,9.68,9.7,0.0,0.01,0.01,0.01
2018-08-09,9.65,9.65,9.61,9.61,1312,9.63,9.68,9.68,9.75,-0.0,0.0,0.0,0.01
2018-08-10,9.65,9.65,9.63,9.63,77379,9.68,9.68,9.7,9.7,0.0,0.0,0.01,0.01
2018-08-13,9.6,9.69,9.6,9.68,24650,9.68,9.68,9.75,9.7,0.01,0.01,0.02,0.01
2018-08-14,9.68,9.68,9.68,9.68,0,9.68,9.7,9.7,9.7,0.0,0.0,0.0,0.0
2018-08-15,9.68,9.68,9.68,9.68,0,9.68,9.75,9.7,9.72,0.0,0.01,0.0,0.0
2018-08-16,9.68,9.68,9.68,9.68,0,9.7,9.7,9.7,9.72,0.0,0.0,0.0,0.0
2018-08-17,9.7,9.7,9.7,9.7,2125,9.75,9.7,9.72,9.75,0.01,0.0,0.0,0.01
2018-08-20,9.69,9.75,9.69,9.75,6125,9.7,9.7,9.72,9.75,0.0,0.0,0.0,0.01
2018-08-21,9.7,9.7,9.7,9.7,1400,9.7,9.72,9.75,9.75,0.0,0.0,0.01,0.01
2018-08-22,9.7,9.7,9.69,9.7,5450,9.7,9.72,9.75,9.75,0.0,0.0,0.01,0.01
2018-08-23,9.69,9.7,9.69,9.7,2500,9.72,9.75,9.75,9.75,0.0,0.01,0.01,0.01
2018-08-24,9.72,9.72,9.72,9.72,1800,9.72,9.75,9.75,9.74,0.0,0.0,0.0,0.0
2018-08-27,9.72,9.72,9.71,9.72,1800,9.75,9.75,9.75,9.74,0.0,0.0,0.0,0.0
2018-08-28,9.75,9.75,9.75,9.75,5500,9.75,9.75,9.74,9.73,0.0,0.0,-0.0,-0.0
2018-08-29,9.75,9.75,9.75,9.75,5662,9.75,9.75,9.74,9.73,0.0,0.0,-0.0,-0.0
2018-08-30,9.75,9.75,9.75,9.75,5600,9.75,9.74,9.73,9.73,0.0,-0.0,-0.0,-0.0
2018-08-31,9.77,9.77,9.74,9.75,5700,9.75,9.74,9.73,9.73,-0.0,-0.0,-0.0,-0.0
2018-09-04,9.75,9.75,9.75,9.75,5600,9.74,9.73,9.73,9.7,-0.0,-0.0,-0.0,-0.01
2018-09-05,9.75,9.75,9.74,9.74,5500,9.74,9.73,9.73,9.69,-0.0,-0.0,-0.0,-0.01
2018-09-06,9.74,9.74,9.74,9.74,5500,9.73,9.73,9.7,9.7,-0.0,-0.0,-0.0,-0.0
2018-09-07,9.74,9.74,9.71,9.73,93382,9.73,9.73,9.69,9.7,-0.0,-0.0,-0.01,-0.0
2018-09-10,9.73,9.73,9.73,9.73,0,9.73,9.7,9.7,9.7,0.0,-0.0,-0.0,-0.0
2018-09-11,9.73,9.73,9.73,9.73,0,9.73,9.69,9.7,9.7,0.0,-0.0,-0.0,-0.0
2018-09-12,9.73,9.73,9.73,9.73,0,9.7,9.7,9.7,9.7,-0.0,-0.0,-0.0,-0.0
2018-09-13,9.71,9.71,9.7,9.7,3440,9.69,9.7,9.7,9.7,-0.0,-0.0,-0.0,-0.0
2018-09-14,9.69,9.69,9.69,9.69,200,9.7,9.7,9.7,9.73,0.0,0.0,0.0,0.0
2018-09-17,9.7,9.7,9.6,9.7,5400,9.7,9.7,9.7,9.73,0.0,0.0,0.0,0.0
2018-09-18,9.6,9.71,9.6,9.7,3029300,9.7,9.7,9.73,9.73,0.01,0.01,0.01,0.01
2018-09-19,9.7,9.73,9.7,9.7,21493,9.7,9.7,9.73,9.71,0.0,0.0,0.0,0.0
2018-09-20,9.7,9.72,9.7,9.7,693300,9.7,9.73,9.73,9.73,0.0,0.0,0.0,0.0
2018-09-21,9.7,9.7,9.7,9.7,0,9.7,9.73,9.71,9.73,0.0,0.0,0.0,0.0
2018-09-24,9.7,9.7,9.7,9.7,0,9.73,9.73,9.73,9.71,0.0,0.0,0.0,0.0
2018-09-25,9.73,9.73,9.73,9.73,1900,9.73,9.71,9.73,9.73,0.0,-0.0,0.0,0.0
2018-09-26,9.73,9.73,9.73,9.73,0,9.73,9.73,9.71,9.73,0.0,0.0,-0.0,0.0
2018-09-27,9.73,9.73,9.73,9.73,0,9.71,9.73,9.73,9.73,-0.0,0.0,0.0,0.0
2018-09-28,9.73,9.73,9.71,9.71,600,9.73,9.71,9.73,9.73,0.0,-0.0,0.0,0.0
2018-10-01,9.67,9.73,9.67,9.73,2496,9.73,9.73,9.73,9.73,0.01,0.01,0.01,0.01
2018-10-02,9.73,9.73,9.73,9.73,0,9.71,9.73,9.73,9.7,-0.0,0.0,0.0,-0.0
2018-10-03,9.7,9.72,9.7,9.71,100200,9.73,9.73,9.73,9.71,0.0,0.0,0.0,0.0
2018-10-04,9.68,9.73,9.67,9.73,2185,9.73,9.73,9.7,9.71,0.01,0.01,0.0,0.0
2018-10-05,9.73,9.73,9.73,9.73,0,9.73,9.73,9.71,9.71,0.0,0.0,-0.0,-0.0
2018-10-08,9.73,9.73,9.73,9.73,0,9.73,9.7,9.71,9.71,0.0,-0.0,-0.0,-0.0
2018-10-09,9.73,9.73,9.73,9.73,0,9.73,9.71,9.71,9.69,0.0,-0.0,-0.0,-0.0
2018-10-10,9.68,9.73,9.68,9.73,383447,9.7,9.71,9.71,9.69,0.0,0.0,0.0,0.0
2018-10-11,9.72,9.72,9.7,9.7,13751,9.71,9.71,9.69,9.69,-0.0,-0.0,-0.0,-0.0
2018-10-12,9.69,9.71,9.69,9.71,171471,9.71,9.71,9.69,9.69,0.0,0.0,0.0,0.0
2018-10-15,9.71,9.71,9.71,9.71,0,9.71,9.69,9.69,9.7,0.0,-0.0,-0.0,-0.0
2018-10-16,9.71,9.71,9.71,9.71,0,9.71,9.69,9.69,9.7,0.0,-0.0,-0.0,-0.0
2018-10-17,9.71,9.71,9.71,9.71,0,9.69,9.69,9.7,9.7,-0.0,-0.0,-0.0,-0.0
2018-10-18,9.69,9.69,9.69,9.69,100,9.69,9.69,9.7,9.7,0.0,0.0,0.0,0.0
2018-10-19,9.69,9.69,9.69,9.69,0,9.69,9.7,9.7,9.7,0.0,0.0,0.0,0.0
2018-10-22,9.69,9.69,9.69,9.69,0,9.69,9.7,9.7,9.72,0.0,0.0,0.0,0.0
2018-10-23,9.69,9.69,9.69,9.69,0,9.7,9.7,9.7,9.73,0.0,0.0,0.0,0.0
2018-10-24,9.7,9.7,9.7,9.7,1100,9.7,9.7,9.72,9.74,0.0,0.0,0.0,0.0
2018-10-25,9.7,9.7,9.7,9.7,18,9.7,9.7,9.73,9.74,0.0,0.0,0.0,0.0
2018-10-26,9.7,9.7,9.7,9.7,4,9.7,9.72,9.74,9.69,0.0,0.0,0.0,-0.0
2018-10-29,9.7,9.72,9.69,9.7,507237,9.7,9.73,9.74,9.77,0.0,0.0,0.0,0.01
2018-10-30,9.7,9.7,9.7,9.7,7,9.72,9.74,9.69,9.72,0.0,0.0,-0.0,0.0
2018-10-31,9.72,9.72,9.66,9.72,821,9.73,9.74,9.77,9.74,0.0,0.0,0.01,0.0
