date,open,high,low,close,volume,close_t+1,close_t+3,close_t+5,close_t+7,open_close_t+1_%chg,open_close_t+3_%chg,open_close_t+5_%chg,open_close_t+7_%chg
2019-07-29,0.75,0.81,0.75,0.75,225000,0.75,0.86,0.9,0.85,0.0,0.15,0.2,0.13
2019-07-30,0.75,0.75,0.75,0.75,300000,0.86,0.82,0.81,0.85,0.15,0.09,0.08,0.13
2019-07-31,0.86,0.86,0.86,0.86,1605,0.86,0.9,0.85,0.85,0.0,0.05,-0.01,-0.01
2019-08-02,0.86,0.86,0.86,0.86,5,0.82,0.81,0.85,0.85,-0.05,-0.06,-0.01,-0.01
2019-08-06,0.82,0.82,0.82,0.82,1500,0.9,0.85,0.85,0.85,0.1,0.04,0.04,0.04
2019-08-15,0.9,0.9,0.9,0.9,100,0.81,0.85,0.85,0.85,-0.1,-0.06,-0.06,-0.06
2019-08-22,0.81,0.81,0.81,0.81,5100,0.85,0.85,0.85,0.85,0.05,0.05,0.05,0.05
2019-08-27,0.71,0.85,0.71,0.85,24700,0.85,0.85,0.85,0.85,0.19,0.19,0.19,0.19
2019-09-06,0.75,0.85,0.75,0.85,59500,0.85,0.85,0.85,0.9,0.13,0.13,0.13,0.2
2019-09-18,0.75,0.85,0.75,0.85,5700,0.85,0.85,0.85,0.9,0.13,0.13,0.13,0.2
2019-09-27,0.75,0.85,0.75,0.85,500100,0.85,0.85,0.9,0.9,0.13,0.13,0.2,0.2
2019-10-01,0.75,0.85,0.75,0.85,195645,0.85,0.85,0.9,0.75,0.13,0.13,0.2,0.0
2019-10-02,0.75,0.85,0.75,0.85,645,0.85,0.9,0.9,0.77,0.13,0.2,0.2,0.03
2019-10-07,0.85,0.85,0.85,0.85,355,0.85,0.9,0.75,0.85,0.0,0.06,-0.12,0.0
2019-10-10,0.85,0.85,0.85,0.85,100,0.9,0.9,0.77,0.9,0.06,0.06,-0.09,0.06
2019-10-16,0.75,0.9,0.75,0.9,72731,0.9,0.75,0.85,0.84,0.2,0.0,0.13,0.12
2019-10-22,0.9,0.9,0.9,0.9,10200,0.9,0.77,0.9,0.85,0.0,-0.14,0.0,-0.06
2019-11-26,0.77,0.9,0.75,0.9,4393,0.75,0.85,0.84,0.9,-0.03,0.1,0.09,0.17
2019-12-06,0.75,0.75,0.75,0.75,67428,0.77,0.9,0.85,0.9,0.03,0.2,0.13,0.2
2019-12-12,0.75,0.9,0.75,0.77,49600,0.85,0.84,0.9,0.9,0.13,0.12,0.2,0.2
2019-12-17,0.85,0.85,0.85,0.85,75000,0.9,0.85,0.9,0.77,0.06,0.0,0.06,-0.09
2019-12-18,0.9,0.9,0.9,0.9,500,0.84,0.9,0.9,0.95,-0.07,-0.0,0.0,0.06
2019-12-19,0.84,0.84,0.84,0.84,150000,0.85,0.9,0.77,0.95,0.01,0.07,-0.08,0.13
2019-12-20,0.85,0.85,0.85,0.85,200,0.9,0.9,0.95,0.9,0.06,0.06,0.12,0.06
