date,open,high,low,close,volume,close_t+1,close_t+3,close_t+5,close_t+7,open_close_t+1_%chg,open_close_t+3_%chg,open_close_t+5_%chg,open_close_t+7_%chg
2019-08-06,9.65,9.65,9.65,9.65,100000,9.72,9.72,9.7,9.76,0.01,0.01,0.01,0.01
2019-08-07,9.72,9.72,9.65,9.72,153000,9.72,9.72,9.7,9.97,0.0,0.0,-0.0,0.03
2019-08-08,9.63,9.72,9.6,9.72,7600,9.72,9.7,9.76,9.9,0.01,0.01,0.01,0.03
2019-08-09,9.63,9.72,9.6,9.72,7600,9.72,9.7,9.97,9.89,0.01,0.01,0.04,0.03
2019-08-12,9.63,9.72,9.6,9.72,7600,9.7,9.76,9.9,9.89,0.01,0.01,0.03,0.03
2019-08-13,9.66,9.7,9.66,9.7,5600,9.7,9.97,9.89,9.89,0.0,0.03,0.02,0.02
2019-08-14,9.7,9.75,9.7,9.7,2387,9.76,9.9,9.89,10.04,0.01,0.02,0.02,0.04
2019-08-15,9.74,9.76,9.74,9.76,1552241,9.97,9.89,9.89,10.04,0.02,0.02,0.02,0.03
2019-08-16,9.82,10.01,9.8,9.97,628,9.9,9.89,10.04,10.02,0.01,0.01,0.02,0.02
2019-08-19,9.74,10.04,9.74,9.9,31517,9.89,9.89,10.04,9.8,0.02,0.02,0.03,0.01
2019-08-20,9.91,9.91,9.89,9.89,2200,9.89,10.04,10.02,9.8,-0.0,0.01,0.01,-0.01
2019-08-21,9.89,9.89,9.89,9.89,0,9.89,10.04,9.8,10.03,0.0,0.02,-0.01,0.01
2019-08-22,9.89,9.89,9.89,9.89,0,10.04,10.02,9.8,9.9,0.02,0.01,-0.01,0.0
2019-08-23,9.79,10.04,9.79,10.04,1117,10.04,9.8,10.03,9.9,0.03,0.0,0.02,0.01
2019-08-26,10.04,10.04,10.04,10.04,0,10.02,9.8,9.9,9.9,-0.0,-0.02,-0.01,-0.01
2019-08-27,9.8,10.02,9.74,10.02,9300,9.8,10.03,9.9,9.9,0.0,0.02,0.01,0.01
2019-08-28,9.8,9.84,9.77,9.8,28708,9.8,9.9,9.9,9.9,0.0,0.01,0.01,0.01
2019-08-29,9.8,9.8,9.8,9.8,0,10.03,9.9,9.9,9.9,0.02,0.01,0.01,0.01
2019-08-30,9.81,10.05,9.65,10.03,25646,9.9,9.9,9.9,9.78,0.01,0.01,0.01,-0.0
2019-09-03,9.89,10.02,9.74,9.9,68011,9.9,9.9,9.9,9.78,0.0,0.0,0.0,-0.01
2019-09-04,9.9,9.9,9.9,9.9,0,9.9,9.9,9.78,9.78,0.0,0.0,-0.01,-0.01
2019-09-05,9.9,9.9,9.9,9.9,156,9.9,9.9,9.78,9.78,0.0,0.0,-0.01,-0.01
2019-09-06,9.75,9.9,9.75,9.9,1000100,9.9,9.78,9.78,9.75,0.02,0.0,0.0,0.0
2019-09-09,9.9,9.9,9.9,9.9,100,9.9,9.78,9.78,9.76,0.0,-0.01,-0.01,-0.01
2019-09-10,9.9,9.9,9.9,9.9,0,9.78,9.78,9.75,9.76,-0.01,-0.01,-0.02,-0.01
2019-09-11,9.83,9.97,9.76,9.78,35617,9.78,9.78,9.76,9.76,-0.01,-0.01,-0.01,-0.01
2019-09-12,9.78,9.78,9.78,9.78,100,9.78,9.75,9.76,9.76,0.0,-0.0,-0.0,-0.0
2019-09-13,9.78,9.78,9.78,9.78,0,9.78,9.76,9.76,9.8,0.0,-0.0,-0.0,0.0
2019-09-16,9.78,9.78,9.78,9.78,83,9.75,9.76,9.76,9.8,-0.0,-0.0,-0.0,0.0
2019-09-17,9.78,9.87,9.75,9.75,5246,9.76,9.76,9.8,9.8,-0.0,-0.0,0.0,0.0
2019-09-18,9.78,9.78,9.76,9.76,14515,9.76,9.76,9.8,9.78,-0.0,-0.0,0.0,0.0
2019-09-19,9.76,9.76,9.76,9.76,0,9.76,9.8,9.8,9.8,0.0,0.0,0.0,0.0
2019-09-20,9.76,9.76,9.76,9.76,0,9.76,9.8,9.78,9.77,0.0,0.0,0.0,0.0
2019-09-23,9.76,9.76,9.76,9.76,0,9.8,9.8,9.8,9.77,0.0,0.0,0.0,0.0
2019-09-24,9.8,9.8,9.8,9.8,1035,9.8,9.78,9.77,9.87,0.0,-0.0,-0.0,0.01
2019-09-25,9.8,9.8,9.8,9.8,0,9.8,9.8,9.77,9.87,0.0,0.0,-0.0,0.01
2019-09-26,9.8,9.8,9.8,9.8,0,9.78,9.77,9.87,9.77,-0.0,-0.0,0.01,-0.0
2019-09-27,9.78,9.78,9.78,9.78,100,9.8,9.77,9.87,9.8,0.0,-0.0,0.01,0.0
2019-09-30,9.8,9.8,9.8,9.8,265,9.77,9.87,9.77,9.8,-0.0,0.01,-0.0,0.0
2019-10-01,9.75,9.87,9.75,9.77,352448,9.77,9.87,9.8,9.77,0.0,0.01,0.01,0.0
2019-10-02,9.77,9.77,9.77,9.77,52,9.87,9.77,9.8,9.9,0.01,0.0,0.0,0.01
2019-10-03,9.78,9.87,9.75,9.87,2344,9.87,9.8,9.77,9.9,0.01,0.0,-0.0,0.01
