date,open,high,low,close,volume,close_t+1,close_t+3,close_t+5,close_t+7,open_close_t+1_%chg,open_close_t+3_%chg,open_close_t+5_%chg,open_close_t+7_%chg
2019-09-11,0.4,0.4,0.4,0.4,100,0.45,0.4,0.38,0.38,0.12,0.0,-0.05,-0.05
2019-09-12,0.35,0.48,0.35,0.45,31800,0.4,0.38,0.38,0.47,0.14,0.09,0.09,0.34
2019-09-13,0.45,0.45,0.38,0.4,101037,0.4,0.38,0.38,0.49,-0.11,-0.16,-0.16,0.09
2019-09-16,0.4,0.4,0.4,0.4,2500,0.38,0.38,0.47,0.76,-0.05,-0.05,0.17,0.91
2019-09-17,0.38,0.38,0.38,0.38,3314,0.38,0.38,0.49,0.81,-0.01,-0.01,0.27,1.1
2019-09-18,0.39,0.39,0.38,0.38,7450,0.38,0.47,0.76,0.82,-0.03,0.21,0.96,1.1
2019-09-19,0.38,0.38,0.38,0.38,114,0.38,0.49,0.81,0.77,0.0,0.29,1.13,1.03
2019-09-20,0.38,0.42,0.36,0.38,144006,0.47,0.76,0.82,0.78,0.24,1.01,1.16,1.05
2019-09-23,0.45,0.5,0.42,0.47,38050,0.49,0.81,0.77,0.75,0.09,0.8,0.71,0.67
2019-09-24,0.67,0.68,0.49,0.49,73711,0.76,0.82,0.78,0.73,0.14,0.22,0.16,0.09
2019-09-25,0.55,0.89,0.5,0.76,528506,0.81,0.77,0.75,0.8,0.47,0.4,0.36,0.45
2019-09-26,0.8,0.94,0.71,0.81,444195,0.82,0.78,0.73,0.75,0.02,-0.03,-0.09,-0.06
2019-09-27,0.81,0.92,0.81,0.82,175034,0.77,0.75,0.8,0.79,-0.05,-0.07,-0.01,-0.02
2019-09-30,0.8,0.81,0.61,0.77,21672,0.78,0.73,0.75,0.65,-0.02,-0.08,-0.06,-0.18
2019-10-01,0.77,0.88,0.7,0.78,82827,0.75,0.8,0.79,0.7,-0.03,0.04,0.03,-0.09
2019-10-02,0.76,0.76,0.75,0.75,1933,0.73,0.75,0.65,0.68,-0.04,-0.01,-0.14,-0.11
2019-10-03,0.78,0.78,0.73,0.73,7978,0.8,0.79,0.7,0.71,0.03,0.01,-0.1,-0.09
2019-10-04,0.8,0.8,0.8,0.8,311,0.75,0.65,0.68,0.71,-0.06,-0.18,-0.15,-0.11
2019-10-08,0.75,0.75,0.73,0.75,7908,0.79,0.7,0.71,0.73,0.05,-0.07,-0.06,-0.03
2019-10-09,0.76,0.84,0.76,0.79,3222,0.65,0.68,0.71,0.62,-0.15,-0.11,-0.07,-0.19
2019-10-10,0.77,0.77,0.64,0.65,2845,0.7,0.71,0.73,0.7,-0.09,-0.08,-0.05,-0.09
2019-10-11,0.7,0.7,0.7,0.7,111,0.68,0.71,0.62,0.68,-0.03,0.02,-0.11,-0.03
2019-10-14,0.68,0.68,0.67,0.68,2400,0.71,0.73,0.7,0.62,0.04,0.07,0.03,-0.09
2019-10-15,0.74,0.74,0.71,0.71,300,0.71,0.62,0.68,0.65,-0.04,-0.16,-0.08,-0.12
2019-10-16,0.68,0.71,0.68,0.71,2200,0.73,0.7,0.62,0.7,0.07,0.03,-0.09,0.03
