date,open,high,low,close,volume,close_t+1,close_t+3,close_t+5,close_t+7,open_close_t+1_%chg,open_close_t+3_%chg,open_close_t+5_%chg,open_close_t+7_%chg
2019-10-01,0.68,0.68,0.68,0.68,1050000,0.68,0.68,0.65,0.65,0.0,0.0,-0.04,-0.04
2019-10-02,0.68,0.68,0.68,0.68,125000,0.68,0.64,0.63,0.64,0.0,-0.06,-0.07,-0.06
2019-10-10,0.62,0.68,0.62,0.68,600,0.68,0.65,0.65,0.63,0.1,0.05,0.05,0.02
2019-10-17,0.68,0.68,0.68,0.68,100,0.64,0.63,0.64,0.68,-0.06,-0.07,-0.06,0.0
2019-10-18,0.68,0.68,0.64,0.64,51000,0.65,0.65,0.63,0.58,-0.04,-0.04,-0.07,-0.15
2019-10-21,0.64,0.65,0.64,0.65,7220,0.63,0.64,0.68,0.68,-0.02,0.0,0.06,0.06
2019-10-22,0.65,0.65,0.63,0.63,126700,0.65,0.63,0.58,0.64,0.0,-0.03,-0.11,-0.02
2019-10-25,0.65,0.65,0.65,0.65,1220,0.64,0.68,0.68,0.6,-0.02,0.05,0.04,-0.08
2019-11-06,0.64,0.64,0.64,0.64,1500,0.63,0.58,0.64,0.6,-0.02,-0.09,-0.0,-0.06
2019-11-08,0.63,0.63,0.63,0.63,3000,0.68,0.68,0.6,0.6,0.08,0.07,-0.05,-0.05
2019-11-13,0.54,0.68,0.52,0.68,532058,0.58,0.64,0.6,0.6,0.07,0.18,0.11,0.11
2019-11-14,0.58,0.58,0.58,0.58,500,0.68,0.6,0.6,0.55,0.17,0.03,0.03,-0.05
2019-11-19,0.68,0.68,0.52,0.68,8300,0.64,0.6,0.6,0.57,-0.06,-0.12,-0.12,-0.16
2019-11-21,0.55,0.64,0.45,0.64,19200,0.6,0.6,0.55,0.51,0.09,0.09,0.0,-0.07
2019-11-22,0.4,0.62,0.4,0.6,1200,0.6,0.6,0.57,0.51,0.5,0.5,0.43,0.27
2019-11-25,0.6,0.6,0.6,0.6,100,0.6,0.55,0.51,0.49,0.0,-0.08,-0.15,-0.18
2019-11-26,0.68,0.68,0.56,0.6,6900,0.6,0.57,0.51,0.49,-0.12,-0.16,-0.25,-0.28
2019-11-27,0.6,0.6,0.6,0.6,102,0.55,0.51,0.49,0.5,-0.08,-0.15,-0.18,-0.17
2019-11-29,0.55,0.55,0.55,0.55,300,0.57,0.51,0.49,0.52,0.04,-0.07,-0.11,-0.05
2019-12-03,0.47,0.6,0.47,0.57,700,0.51,0.49,0.5,0.52,0.09,0.04,0.06,0.11
