date,open,high,low,close,volume,close_t+1,close_t+3,close_t+5,close_t+7,open_close_t+1_%chg,open_close_t+3_%chg,open_close_t+5_%chg,open_close_t+7_%chg
2019-10-04,9.78,9.8,9.78,9.8,436000,9.79,9.8,9.89,9.85,0.0,0.0,0.01,0.01
2019-10-07,9.79,9.79,9.79,9.79,250025,9.8,9.89,9.89,9.85,0.0,0.01,0.01,0.01
2019-10-08,9.83,9.83,9.79,9.8,6364,9.8,9.89,9.85,9.85,-0.0,0.01,0.0,0.0
2019-10-09,9.79,9.81,9.79,9.8,325699,9.89,9.89,9.85,9.85,0.01,0.01,0.01,0.01
2019-10-10,9.8,9.9,9.8,9.89,79137,9.89,9.85,9.85,9.82,0.01,0.01,0.01,0.0
2019-10-11,9.89,9.89,9.89,9.89,25,9.89,9.85,9.85,9.85,0.0,-0.0,-0.0,-0.0
2019-10-14,9.89,9.89,9.89,9.89,0,9.85,9.85,9.82,9.85,-0.0,-0.0,-0.01,-0.0
2019-10-15,9.89,9.89,9.85,9.85,4200,9.85,9.85,9.85,9.85,-0.0,-0.0,-0.0,-0.0
2019-10-16,9.85,9.85,9.85,9.85,0,9.85,9.82,9.85,9.84,0.0,-0.0,0.0,-0.0
2019-10-17,9.85,9.85,9.85,9.85,0,9.85,9.85,9.85,9.84,0.0,0.0,0.0,-0.0
2019-10-18,9.85,9.85,9.85,9.85,0,9.82,9.85,9.84,9.84,-0.0,0.0,-0.0,-0.0
2019-10-21,9.87,9.87,9.82,9.82,176800,9.85,9.85,9.84,9.84,-0.0,-0.0,-0.0,-0.0
2019-10-22,9.8,9.88,9.8,9.85,201200,9.85,9.84,9.84,9.84,0.01,0.0,0.0,0.0
2019-10-23,9.85,9.85,9.85,9.85,0,9.85,9.84,9.84,9.84,0.0,-0.0,-0.0,-0.0
2019-10-24,9.85,9.85,9.85,9.85,0,9.84,9.84,9.84,9.86,-0.0,-0.0,-0.0,0.0
2019-10-25,9.84,9.84,9.84,9.84,1000,9.84,9.84,9.84,10.0,0.0,0.0,0.0,0.02
2019-10-28,9.84,9.84,9.84,9.84,4,9.84,9.84,9.86,9.84,0.0,0.0,0.0,0.0
2019-10-29,9.84,9.84,9.84,9.84,0,9.84,9.84,10.0,9.9,0.0,0.0,0.02,0.01
2019-10-30,9.84,9.84,9.84,9.84,882000,9.84,9.86,9.84,9.88,0.0,0.0,0.0,0.0
2019-10-31,9.84,9.84,9.84,9.84,0,9.84,10.0,9.9,9.86,0.0,0.02,0.01,0.0
2019-11-01,9.84,9.84,9.84,9.84,1,9.86,9.84,9.88,9.98,0.0,0.0,0.0,0.01
2019-11-04,9.84,10.0,9.84,9.86,20895,10.0,9.9,9.86,9.85,0.02,0.01,0.0,0.0
2019-11-05,9.85,10.0,9.85,10.0,47530,9.84,9.88,9.98,9.85,-0.0,0.0,0.01,0.0
2019-11-06,9.85,9.88,9.84,9.84,10200,9.9,9.86,9.85,9.88,0.01,0.0,0.0,0.0
2019-11-07,9.84,9.9,9.84,9.9,133400,9.88,9.98,9.85,9.86,0.0,0.01,0.0,0.0
2019-11-08,9.88,9.88,9.88,9.88,468,9.86,9.85,9.88,9.87,-0.0,-0.0,0.0,-0.0
2019-11-11,9.86,9.86,9.86,9.86,108502,9.98,9.85,9.86,9.85,0.01,-0.0,0.0,-0.0
2019-11-12,9.94,10.87,9.89,9.98,3200,9.85,9.88,9.87,9.85,-0.01,-0.01,-0.01,-0.01
2019-11-13,9.87,9.9,9.85,9.85,107610,9.85,9.86,9.85,9.85,-0.0,-0.0,-0.0,-0.0
2019-11-14,9.85,9.85,9.85,9.85,0,9.88,9.87,9.85,9.85,0.0,0.0,0.0,0.0
2019-11-15,9.88,9.88,9.88,9.88,100,9.86,9.85,9.85,9.85,-0.0,-0.0,-0.0,-0.0
2019-11-18,9.86,9.86,9.86,9.86,740000,9.87,9.85,9.85,9.85,0.0,-0.0,-0.0,-0.0
2019-11-19,9.86,9.87,9.85,9.87,104600,9.85,9.85,9.85,9.85,-0.0,-0.0,-0.0,-0.0
2019-11-20,9.87,9.88,9.85,9.85,677245,9.85,9.85,9.85,9.85,-0.0,-0.0,-0.0,-0.0
2019-11-21,9.85,9.85,9.85,9.85,1,9.85,9.85,9.85,9.85,0.0,0.0,0.0,0.0
2019-11-22,9.86,9.88,9.85,9.85,61800,9.85,9.85,9.85,9.9,-0.0,-0.0,-0.0,0.0
2019-11-25,9.85,9.85,9.85,9.85,0,9.85,9.85,9.85,9.89,0.0,0.0,0.0,0.0
2019-11-26,9.84,9.85,9.84,9.85,200,9.85,9.85,9.9,10.25,0.0,0.0,0.01,0.04
2019-11-27,9.87,9.87,9.85,9.85,6600,9.85,9.85,9.89,9.86,-0.0,-0.0,0.0,-0.0
2019-11-29,9.85,9.85,9.85,9.85,16629,9.85,9.9,10.25,9.9,0.0,0.01,0.04,0.01
2019-12-02,9.85,9.85,9.85,9.85,0,9.85,9.89,9.86,9.9,0.0,0.0,0.0,0.01
2019-12-03,9.85,10.22,9.85,9.85,2239,9.9,10.25,9.9,9.88,0.01,0.04,0.01,0.0
2019-12-04,9.9,9.9,9.86,9.9,301600,9.89,9.86,9.9,9.87,-0.0,-0.0,0.0,-0.0
2019-12-05,10.37,10.37,9.86,9.89,1040,10.25,9.9,9.88,9.87,-0.01,-0.05,-0.05,-0.05
2019-12-06,9.91,10.25,9.87,10.25,2053,9.86,9.9,9.87,9.91,-0.01,-0.0,-0.0,0.0
2019-12-09,10.19,10.19,9.86,9.86,4734,9.9,9.88,9.87,9.88,-0.03,-0.03,-0.03,-0.03
2019-12-10,9.91,9.91,9.84,9.9,1200,9.9,9.87,9.91,9.88,-0.0,-0.0,0.0,-0.0
2019-12-11,9.9,9.9,9.9,9.9,35,9.88,9.87,9.88,9.88,-0.0,-0.0,-0.0,-0.0
2019-12-12,9.85,9.89,9.85,9.88,400,9.87,9.91,9.88,9.95,0.0,0.01,0.0,0.01
2019-12-13,9.88,9.88,9.87,9.87,236179,9.87,9.88,9.88,9.95,-0.0,0.0,0.0,0.01
2019-12-16,9.88,9.9,9.87,9.87,208784,9.91,9.88,9.95,9.88,0.0,0.0,0.01,0.0
2019-12-17,9.88,9.91,9.88,9.91,65877,9.88,9.88,9.95,9.88,0.0,0.0,0.01,0.0
2019-12-18,9.88,9.88,9.88,9.88,200000,9.88,9.95,9.88,9.91,0.0,0.01,0.0,0.0
2019-12-19,9.95,9.95,9.88,9.88,5608,9.88,9.95,9.88,9.95,-0.01,0.0,-0.01,0.0
2019-12-20,9.88,9.88,9.88,9.88,700,9.95,9.88,9.91,9.9,0.01,0.0,0.0,0.0
2019-12-23,9.95,9.95,9.95,9.95,200,9.95,9.88,9.95,9.9,0.0,-0.01,0.0,-0.01
2019-12-24,9.88,9.95,9.88,9.95,359,9.88,9.91,9.9,9.92,0.0,0.0,0.0,0.0
2019-12-26,9.89,9.9,9.88,9.88,1439,9.88,9.95,9.9,9.93,-0.0,0.01,0.0,0.0
2019-12-27,9.91,9.91,9.88,9.88,18191,9.91,9.9,9.92,9.96,0.0,-0.0,0.0,0.01
2019-12-30,9.92,9.95,9.91,9.91,90723,9.95,9.9,9.93,10.01,0.0,-0.0,0.0,0.01
2019-12-31,9.88,9.95,9.88,9.95,5200,9.9,9.92,9.96,10.01,0.0,0.0,0.01,0.01
2020-01-02,9.9,9.9,9.9,9.9,102,9.9,9.93,10.01,10.01,0.0,0.0,0.01,0.01
2020-01-03,9.9,9.9,9.9,9.9,14,9.92,9.96,10.01,10.01,0.0,0.01,0.01,0.01
2020-01-06,9.92,9.92,9.92,9.92,100000,9.93,10.01,10.01,10.12,0.0,0.01,0.01,0.02
2020-01-07,9.95,9.95,9.93,9.93,2266,9.96,10.01,10.01,10.03,0.0,0.01,0.01,0.01
2020-01-08,10.74,10.92,9.96,9.96,22300,10.01,10.01,10.12,10.03,-0.07,-0.07,-0.06,-0.07
2020-01-09,10.01,10.01,10.01,10.01,10071,10.01,10.01,10.03,9.9,0.0,0.0,0.0,-0.01
2020-01-10,10.01,10.01,10.01,10.01,0,10.01,10.12,10.03,9.9,0.0,0.01,0.0,-0.01
2020-01-13,10.01,10.01,10.01,10.01,1,10.01,10.03,9.9,9.96,0.0,0.0,-0.01,-0.0
2020-01-14,10.01,10.01,10.01,10.01,8,10.12,10.03,9.9,9.95,0.01,0.0,-0.01,-0.01
2020-01-15,10.03,10.12,10.03,10.12,415,10.03,9.9,9.96,9.95,0.0,-0.01,-0.01,-0.01
2020-01-16,10.04,10.1,10.03,10.03,7100,10.03,9.9,9.95,9.95,-0.0,-0.01,-0.01,-0.01
2020-01-17,10.03,10.03,10.03,10.03,0,9.9,9.96,9.95,9.95,-0.01,-0.01,-0.01,-0.01
2020-01-21,10.05,10.12,9.9,9.9,30729,9.9,9.95,9.95,9.95,-0.01,-0.01,-0.01,-0.01
2020-01-22,10.03,10.12,9.9,9.9,9075,9.96,9.95,9.95,9.95,-0.01,-0.01,-0.01,-0.01
2020-01-23,9.9,10.05,9.9,9.96,20927,9.95,9.95,9.95,9.95,0.01,0.01,0.01,0.01
2020-01-24,9.96,9.96,9.95,9.95,20000,9.95,9.95,9.95,10.06,-0.0,-0.0,-0.0,0.01
2020-01-27,9.95,9.95,9.95,9.95,1,9.95,9.95,9.95,10.06,0.0,0.0,0.0,0.01
2020-01-28,9.95,9.95,9.95,9.95,0,9.95,9.95,10.06,10.06,0.0,0.0,0.01,0.01
2020-01-29,9.95,9.95,9.95,9.95,0,9.95,9.95,10.06,10.07,0.0,0.0,0.01,0.01
