date,open,high,low,close,volume,close_t+1,close_t+3,close_t+5,close_t+7,open_close_t+1_%chg,open_close_t+3_%chg,open_close_t+5_%chg,open_close_t+7_%chg
2019-04-15,1.0,1.0,1.0,1.0,10000,1.0,0.85,0.8,0.75,0.0,-0.15,-0.2,-0.25
2019-04-16,1.0,1.0,1.0,1.0,10000,1.0,0.85,0.75,0.75,0.0,-0.15,-0.25,-0.25
2019-05-15,1.0,1.0,1.0,1.0,1,0.85,0.8,0.75,0.75,-0.15,-0.2,-0.25,-0.25
2019-06-05,0.85,0.85,0.85,0.85,10014,0.85,0.75,0.75,0.72,0.0,-0.12,-0.12,-0.15
2019-06-07,0.7,0.85,0.7,0.85,11486,0.8,0.75,0.75,0.72,0.14,0.07,0.07,0.03
2019-06-11,0.8,0.8,0.8,0.8,500,0.75,0.75,0.72,0.76,-0.06,-0.06,-0.1,-0.05
2019-06-13,0.75,0.75,0.75,0.75,100,0.75,0.75,0.72,0.75,0.0,0.0,-0.04,0.0
2019-06-18,0.75,0.75,0.75,0.75,5000,0.75,0.72,0.76,0.73,0.0,-0.04,0.01,-0.03
2019-06-19,0.75,0.75,0.75,0.75,13181,0.75,0.72,0.75,0.75,0.0,-0.04,0.0,0.0
2019-06-20,0.75,0.75,0.75,0.75,100,0.72,0.76,0.73,0.76,-0.04,0.01,-0.03,0.01
2019-07-02,0.74,0.74,0.72,0.72,4500,0.72,0.75,0.75,0.76,-0.03,0.01,0.01,0.03
2019-07-09,0.72,0.72,0.72,0.72,5000,0.76,0.73,0.76,0.76,0.06,0.01,0.06,0.06
2019-07-16,0.8,0.8,0.74,0.76,10900,0.75,0.75,0.76,0.75,-0.06,-0.06,-0.05,-0.06
2019-07-22,0.75,0.75,0.75,0.75,3226,0.73,0.76,0.76,0.72,-0.03,0.01,0.01,-0.04
2019-07-25,0.73,0.73,0.73,0.73,6300,0.75,0.76,0.75,0.72,0.03,0.04,0.03,-0.01
2019-08-07,0.7,0.76,0.7,0.75,20600,0.76,0.76,0.72,0.86,0.09,0.09,0.03,0.23
2019-08-12,0.7,0.76,0.7,0.76,2100,0.76,0.75,0.72,0.75,0.09,0.07,0.03,0.07
2019-08-13,0.76,0.76,0.76,0.76,0,0.76,0.72,0.86,0.74,0.0,-0.05,0.13,-0.03
2019-08-16,0.69,0.76,0.69,0.76,12040,0.75,0.72,0.75,0.74,0.09,0.04,0.09,0.07
2019-08-20,0.66,0.76,0.65,0.75,3200,0.72,0.86,0.74,0.75,0.09,0.3,0.12,0.14
2019-08-21,0.62,0.72,0.62,0.72,80240,0.72,0.75,0.74,0.75,0.15,0.2,0.18,0.2
2019-09-05,0.72,0.72,0.72,0.72,66,0.86,0.74,0.75,0.75,0.19,0.03,0.04,0.04
2019-09-06,0.86,0.86,0.86,0.86,1000,0.75,0.74,0.75,0.75,-0.13,-0.14,-0.13,-0.13
2019-09-09,0.7,0.75,0.66,0.75,108555,0.74,0.75,0.75,0.75,0.06,0.07,0.07,0.07
2019-09-13,0.75,0.75,0.74,0.74,3366,0.74,0.75,0.75,0.75,-0.01,0.0,0.0,0.0
2019-09-20,0.74,0.74,0.74,0.74,33,0.75,0.75,0.75,0.75,0.01,0.01,0.01,0.01
2019-10-01,0.75,0.75,0.75,0.75,10000,0.75,0.75,0.75,0.77,0.0,0.0,0.0,0.03
2019-10-02,0.7,0.75,0.6,0.75,668666,0.75,0.75,0.75,0.73,0.07,0.07,0.07,0.04
2019-10-16,0.71,0.75,0.71,0.75,2000,0.75,0.75,0.77,0.72,0.06,0.06,0.08,0.01
2019-10-17,0.75,0.75,0.75,0.75,1000,0.75,0.75,0.73,0.72,0.0,0.0,-0.03,-0.04
2019-10-23,0.75,0.75,0.75,0.75,467,0.75,0.77,0.72,0.7,0.0,0.03,-0.04,-0.07
2019-10-24,0.73,0.75,0.73,0.75,600,0.75,0.73,0.72,0.7,0.03,0.0,-0.01,-0.04
2019-10-31,0.75,0.75,0.75,0.75,10000,0.77,0.72,0.7,0.69,0.03,-0.04,-0.07,-0.08
2019-11-01,0.77,0.77,0.77,0.77,300,0.73,0.72,0.7,0.7,-0.05,-0.06,-0.09,-0.09
2019-11-05,0.72,0.73,0.6,0.73,3534,0.72,0.7,0.69,0.7,0.0,-0.03,-0.04,-0.03
2019-11-06,0.72,0.72,0.72,0.72,334,0.72,0.7,0.7,0.68,0.0,-0.03,-0.03,-0.06
2019-11-07,0.72,0.72,0.72,0.72,1,0.7,0.69,0.7,0.67,-0.03,-0.04,-0.03,-0.07
2019-11-08,0.7,0.7,0.7,0.7,400,0.7,0.7,0.68,0.68,0.0,0.0,-0.03,-0.03
2019-11-11,0.7,0.7,0.7,0.7,27,0.69,0.7,0.67,0.68,-0.01,0.0,-0.04,-0.03
2019-11-12,0.69,0.69,0.69,0.69,412,0.7,0.68,0.68,0.7,0.01,-0.01,-0.01,0.01
2019-11-20,0.64,0.7,0.64,0.7,1807,0.7,0.67,0.68,0.68,0.09,0.05,0.06,0.06
2019-11-21,0.7,0.7,0.7,0.7,6,0.68,0.68,0.7,0.69,-0.03,-0.03,0.0,-0.01
2019-11-26,0.64,0.68,0.64,0.68,1200,0.67,0.68,0.68,0.69,0.05,0.06,0.06,0.08
2019-11-27,0.67,0.67,0.67,0.67,200,0.68,0.7,0.69,0.7,0.01,0.04,0.03,0.04
2019-12-10,0.67,0.68,0.67,0.68,2200,0.68,0.68,0.69,0.7,0.01,0.01,0.03,0.04
2019-12-11,0.68,0.68,0.68,0.68,9150,0.7,0.69,0.7,0.7,0.03,0.01,0.03,0.03
2019-12-12,0.71,0.72,0.7,0.7,35350,0.68,0.69,0.7,0.7,-0.04,-0.03,-0.01,-0.01
2019-12-13,0.7,0.7,0.68,0.68,6193,0.69,0.7,0.7,0.7,-0.01,0.0,0.0,0.0
2019-12-16,0.69,0.69,0.69,0.69,1000,0.69,0.7,0.7,0.7,0.0,0.01,0.01,0.01
2019-12-17,0.69,0.69,0.69,0.69,2676,0.7,0.7,0.7,0.7,0.01,0.01,0.01,0.01
