date,open,high,low,close,volume,close_t+1,close_t+3,close_t+5,close_t+7,open_close_t+1_%chg,open_close_t+3_%chg,open_close_t+5_%chg,open_close_t+7_%chg
2020-03-16,8.0,9.08,8.0,9.08,20040,9.08,8.5,7.68,8.8,0.14,0.06,-0.04,0.1
2020-03-17,9.08,9.08,9.08,9.08,1,8.85,6.2,7.68,8.0,-0.03,-0.32,-0.15,-0.12
2020-03-18,7.38,8.85,7.38,8.85,1961,8.5,7.68,8.8,8.0,0.15,0.04,0.19,0.08
2020-03-19,8.5,8.5,8.5,8.5,500,6.2,7.68,8.0,8.0,-0.27,-0.1,-0.06,-0.06
2020-03-20,6.55,6.95,6.2,6.2,2240,7.68,8.8,8.0,9.34,0.17,0.34,0.22,0.43
2020-03-23,5.98,8.18,5.98,7.68,14261,7.68,8.0,8.0,10.04,0.28,0.34,0.34,0.68
2020-03-24,7.68,7.68,7.68,7.68,0,8.8,8.0,9.34,8.33,0.15,0.04,0.22,0.08
2020-03-25,8.0,8.8,8.0,8.8,350,8.0,8.0,10.04,8.33,0.0,0.0,0.25,0.04
2020-03-26,5.8,8.35,5.8,8.0,984,8.0,9.34,8.33,8.33,0.38,0.61,0.44,0.44
2020-03-27,8.0,8.0,8.0,8.0,4,8.0,10.04,8.33,8.33,0.0,0.25,0.04,0.04
2020-03-30,7.4,8.0,7.4,8.0,1612,9.34,8.33,8.33,7.84,0.26,0.13,0.13,0.06
2020-03-31,7.0,9.34,7.0,9.34,7671,10.04,8.33,8.33,7.84,0.43,0.19,0.19,0.12
2020-04-01,9.66,10.04,9.66,10.04,440,8.33,8.33,7.84,7.84,-0.14,-0.14,-0.19,-0.19
2020-04-02,9.22,9.22,7.57,8.33,304,8.33,8.33,7.84,7.43,-0.1,-0.1,-0.15,-0.19
2020-04-03,8.33,8.33,8.33,8.33,1,8.33,7.84,7.84,7.43,0.0,-0.06,-0.06,-0.11
2020-04-06,8.33,8.33,8.33,8.33,0,8.33,7.84,7.43,7.43,0.0,-0.06,-0.11,-0.11
2020-04-07,8.33,8.33,8.33,8.33,18,7.84,7.84,7.43,9.52,-0.06,-0.06,-0.11,0.14
2020-04-08,7.84,7.84,7.84,7.84,100,7.84,7.43,7.43,9.5,0.0,-0.05,-0.05,0.21
2020-04-09,7.84,7.84,7.84,7.84,0,7.84,7.43,9.52,9.5,0.0,-0.05,0.21,0.21
2020-04-13,7.84,7.84,7.84,7.84,5,7.43,7.43,9.5,9.5,-0.05,-0.05,0.21,0.21
2020-04-14,6.37,7.43,5.67,7.43,2551,7.43,9.52,9.5,9.24,0.17,0.49,0.49,0.45
2020-04-15,7.43,7.43,7.43,7.43,0,7.43,9.5,9.5,9.24,0.0,0.28,0.28,0.24
2020-04-16,7.43,7.43,7.43,7.43,15,9.52,9.5,9.24,9.24,0.28,0.28,0.24,0.24
2020-04-17,8.5,9.53,8.5,9.52,1789,9.5,9.5,9.24,9.24,0.12,0.12,0.09,0.09
2020-04-20,9.57,9.57,9.5,9.5,2763,9.5,9.24,9.24,9.24,-0.01,-0.03,-0.03,-0.03
2020-04-21,9.5,9.5,9.5,9.5,0,9.5,9.24,9.24,9.24,0.0,-0.03,-0.03,-0.03
2020-04-22,9.5,9.5,9.5,9.5,1,9.24,9.24,9.24,9.19,-0.03,-0.03,-0.03,-0.03
2020-04-23,9.25,9.25,9.24,9.24,3205,9.24,9.24,9.24,9.19,-0.0,-0.0,-0.0,-0.01
2020-04-24,9.24,9.24,9.24,9.24,0,9.24,9.24,9.19,9.05,0.0,0.0,-0.01,-0.02
2020-04-27,9.24,9.24,9.24,9.24,0,9.24,9.24,9.19,9.0,0.0,0.0,-0.01,-0.03
2020-04-28,9.24,9.24,9.24,9.24,25,9.24,9.19,9.05,7.66,0.0,-0.01,-0.02,-0.17
2020-04-29,9.24,9.24,9.24,9.24,0,9.24,9.19,9.0,9.76,0.0,-0.01,-0.03,0.06
2020-04-30,9.26,9.28,9.24,9.24,3713,9.19,9.05,7.66,8.5,-0.01,-0.02,-0.17,-0.08
