date,open,high,low,close,volume,close_t+1,close_t+3,close_t+5,close_t+7,open_close_t+1_%chg,open_close_t+3_%chg,open_close_t+5_%chg,open_close_t+7_%chg
2019-04-17,0.9,0.9,0.9,0.9,160000,1.04,0.98,0.9,0.9,0.16,0.08,0.0,0.0
2019-04-18,0.92,1.04,0.92,1.04,5800,1.0,1.05,0.9,0.89,0.09,0.14,-0.02,-0.03
2019-04-22,1.0,1.05,1.0,1.0,2400,0.98,0.9,0.9,0.88,-0.03,-0.1,-0.1,-0.12
2019-04-23,0.98,0.98,0.98,0.98,8500,1.05,0.9,0.89,0.88,0.07,-0.08,-0.09,-0.1
2019-04-30,0.98,1.05,0.98,1.05,3500,0.9,0.9,0.88,0.88,-0.08,-0.08,-0.1,-0.1
2019-05-02,0.95,0.96,0.9,0.9,23000,0.9,0.89,0.88,0.85,-0.05,-0.06,-0.07,-0.11
2019-05-03,0.9,0.9,0.9,0.9,1000,0.9,0.88,0.88,0.85,0.0,-0.02,-0.02,-0.06
2019-05-06,0.9,0.9,0.9,0.9,1000,0.89,0.88,0.85,0.8,-0.01,-0.02,-0.06,-0.11
2019-05-07,0.89,0.89,0.89,0.89,1000,0.88,0.88,0.85,0.8,-0.01,-0.01,-0.04,-0.1
2019-05-08,0.88,0.88,0.88,0.88,1000,0.88,0.85,0.8,0.8,0.0,-0.03,-0.09,-0.09
2019-05-09,0.88,0.88,0.88,0.88,1000,0.88,0.85,0.8,0.8,0.0,-0.03,-0.09,-0.09
2019-05-10,0.88,0.88,0.88,0.88,1000,0.85,0.8,0.8,0.79,-0.03,-0.09,-0.09,-0.1
2019-05-14,0.83,0.85,0.8,0.85,20033,0.85,0.8,0.8,0.78,0.02,-0.04,-0.04,-0.06
2019-05-16,0.85,0.85,0.85,0.85,1000,0.8,0.8,0.79,0.75,-0.06,-0.06,-0.07,-0.12
2019-05-29,0.8,0.8,0.8,0.8,10000,0.8,0.8,0.78,0.8,0.0,0.0,-0.03,0.0
2019-05-30,0.8,0.8,0.8,0.8,1000,0.8,0.79,0.75,0.8,0.0,-0.01,-0.06,0.0
2019-06-05,0.8,0.8,0.8,0.8,11,0.8,0.78,0.8,0.8,0.0,-0.03,0.0,0.0
2019-06-10,0.8,0.8,0.8,0.8,1000,0.79,0.75,0.8,0.74,-0.01,-0.06,0.0,-0.08
2019-06-11,0.79,0.79,0.79,0.79,1000,0.78,0.8,0.8,0.75,-0.01,0.01,0.01,-0.05
2019-06-14,0.78,0.78,0.78,0.78,1000,0.75,0.8,0.74,0.75,-0.04,0.03,-0.05,-0.04
2019-06-18,0.75,0.75,0.75,0.75,17434,0.8,0.8,0.75,0.74,0.07,0.07,0.0,-0.01
2019-06-21,0.8,0.81,0.8,0.8,7000,0.8,0.74,0.75,0.74,0.0,-0.08,-0.06,-0.08
2019-06-28,0.8,0.8,0.8,0.8,11500,0.8,0.75,0.74,0.73,0.0,-0.06,-0.08,-0.09
2019-07-01,0.8,0.8,0.8,0.8,100,0.74,0.75,0.74,0.7,-0.08,-0.06,-0.08,-0.13
2019-07-02,0.76,0.8,0.74,0.74,16700,0.75,0.74,0.73,0.71,-0.02,-0.03,-0.04,-0.07
2019-07-03,0.75,0.75,0.75,0.75,5500,0.75,0.74,0.7,0.72,0.0,-0.01,-0.07,-0.04
2019-07-05,0.75,0.75,0.75,0.75,23500,0.74,0.73,0.71,0.72,-0.01,-0.03,-0.05,-0.04
2019-07-08,0.74,0.74,0.74,0.74,500,0.74,0.7,0.72,0.7,0.0,-0.05,-0.03,-0.05
2019-07-10,0.74,0.74,0.74,0.74,30000,0.73,0.71,0.72,0.68,-0.01,-0.04,-0.03,-0.08
2019-07-11,0.73,0.73,0.73,0.73,1400,0.7,0.72,0.7,0.69,-0.04,-0.01,-0.04,-0.05
2019-07-12,0.72,0.72,0.7,0.7,5200,0.71,0.72,0.68,0.68,-0.01,0.0,-0.06,-0.06
2019-07-24,0.72,0.72,0.71,0.71,2000,0.72,0.7,0.69,0.7,0.0,-0.03,-0.04,-0.03
2019-07-29,0.72,0.72,0.72,0.72,300,0.72,0.68,0.68,0.7,0.0,-0.06,-0.06,-0.03
2019-07-31,0.72,0.72,0.72,0.72,17500,0.7,0.69,0.7,0.7,-0.03,-0.04,-0.03,-0.03
2019-08-02,0.7,0.7,0.69,0.7,16500,0.68,0.68,0.7,0.8,-0.03,-0.03,0.0,0.14
2019-08-13,0.69,0.7,0.68,0.68,800,0.69,0.7,0.7,0.8,0.0,0.01,0.01,0.16
2019-08-14,0.68,0.7,0.68,0.69,133300,0.68,0.7,0.8,0.8,0.0,0.03,0.18,0.18
2019-08-15,0.69,0.69,0.68,0.68,3300,0.7,0.7,0.8,0.79,0.01,0.01,0.16,0.14
2019-08-20,0.73,0.73,0.7,0.7,4100,0.7,0.8,0.8,0.8,-0.04,0.1,0.1,0.1
2019-08-21,0.7,0.7,0.7,0.7,500,0.7,0.8,0.79,0.85,0.0,0.14,0.13,0.21
2019-08-22,0.7,0.7,0.7,0.7,227000,0.8,0.8,0.8,0.85,0.14,0.14,0.14,0.21
2019-08-27,0.8,0.8,0.8,0.8,100,0.8,0.79,0.85,0.82,0.0,-0.01,0.06,0.02
2019-08-30,0.8,0.8,0.8,0.8,100,0.8,0.8,0.85,0.85,0.0,0.0,0.06,0.06
2019-09-18,0.8,0.8,0.7,0.8,100100,0.79,0.85,0.82,0.83,-0.01,0.06,0.02,0.04
2019-09-23,0.79,0.79,0.79,0.79,1000,0.8,0.85,0.85,0.88,0.01,0.08,0.08,0.11
2019-09-26,0.8,0.8,0.8,0.8,33333,0.85,0.82,0.83,0.87,0.06,0.02,0.04,0.09
2019-09-27,0.85,0.85,0.85,0.85,100,0.85,0.85,0.88,0.77,0.0,0.0,0.04,-0.09
2019-09-30,0.85,0.85,0.85,0.85,200,0.82,0.83,0.87,0.77,-0.04,-0.02,0.02,-0.09
2019-10-02,0.82,0.82,0.82,0.82,500,0.85,0.88,0.77,0.79,0.04,0.07,-0.06,-0.04
2019-10-09,0.85,0.85,0.85,0.85,500,0.83,0.87,0.77,0.77,-0.02,0.02,-0.09,-0.09
2019-10-16,0.83,0.83,0.83,0.83,23200,0.88,0.77,0.79,0.74,0.06,-0.07,-0.05,-0.11
2019-10-23,0.88,0.88,0.88,0.88,15492,0.87,0.77,0.77,0.77,-0.01,-0.12,-0.12,-0.12
2019-10-24,0.87,0.87,0.87,0.87,1000,0.77,0.79,0.74,0.77,-0.11,-0.09,-0.15,-0.11
2019-10-28,0.87,0.87,0.77,0.77,800,0.77,0.77,0.77,0.64,-0.11,-0.11,-0.11,-0.26
2019-10-30,0.77,0.77,0.7,0.77,1700,0.79,0.74,0.77,0.77,0.03,-0.04,0.0,0.0
2019-10-31,0.79,0.79,0.79,0.79,200,0.77,0.77,0.64,0.78,-0.03,-0.03,-0.19,-0.01
