date,open,high,low,close,volume,close_t+1,close_t+3,close_t+5,close_t+7,open_close_t+1_%chg,open_close_t+3_%chg,open_close_t+5_%chg,open_close_t+7_%chg
2020-03-24,9.3,9.3,9.3,9.3,2400000,9.3,9.3,9.3,9.3,0.0,0.0,0.0,0.0
2020-03-25,9.3,9.3,9.3,9.3,0,9.3,9.3,9.3,9.3,0.0,0.0,0.0,0.0
2020-03-26,9.3,9.3,9.3,9.3,0,9.3,9.3,9.3,9.3,0.0,0.0,0.0,0.0
2020-03-27,9.3,9.3,9.3,9.3,0,9.3,9.3,9.3,9.3,0.0,0.0,0.0,0.0
2020-03-30,9.3,9.3,9.3,9.3,0,9.3,9.3,9.3,9.6,0.0,0.0,0.0,0.03
2020-03-31,9.3,9.3,9.3,9.3,0,9.3,9.3,9.3,9.61,0.0,0.0,0.0,0.03
2020-04-01,9.3,9.3,9.3,9.3,0,9.3,9.3,9.6,9.61,0.0,0.0,0.03,0.03
2020-04-02,9.3,9.3,9.3,9.3,0,9.3,9.3,9.61,9.61,0.0,0.0,0.03,0.03
2020-04-03,9.3,9.3,9.3,9.3,0,9.3,9.6,9.61,9.72,0.0,0.03,0.03,0.04
2020-04-06,9.3,9.3,9.3,9.3,0,9.3,9.61,9.61,9.8,0.0,0.03,0.03,0.05
2020-04-07,9.3,9.3,9.3,9.3,0,9.6,9.61,9.72,9.8,0.03,0.03,0.04,0.05
2020-04-08,9.6,9.6,9.6,9.6,100000,9.61,9.61,9.8,9.8,0.0,0.0,0.02,0.02
2020-04-09,9.61,9.61,9.61,9.61,10002,9.61,9.72,9.8,9.78,0.0,0.01,0.02,0.02
2020-04-13,9.61,9.61,9.61,9.61,0,9.61,9.8,9.8,9.8,0.0,0.02,0.02,0.02
2020-04-14,9.61,9.61,9.61,9.61,1,9.72,9.8,9.78,9.77,0.01,0.02,0.02,0.02
2020-04-15,9.8,9.8,9.72,9.72,6304,9.8,9.8,9.8,9.77,0.0,0.0,0.0,-0.0
2020-04-16,9.8,9.8,9.8,9.8,618,9.8,9.78,9.77,9.75,0.0,-0.0,-0.0,-0.01
2020-04-17,9.8,9.8,9.8,9.8,10,9.8,9.8,9.77,9.9,0.0,0.0,-0.0,0.01
2020-04-20,9.8,9.8,9.8,9.8,30,9.78,9.77,9.75,9.9,-0.0,-0.0,-0.01,0.01
2020-04-21,9.78,9.78,9.78,9.78,50012,9.8,9.77,9.9,10.15,0.0,-0.0,0.01,0.04
2020-04-22,9.81,9.81,9.8,9.8,25429,9.77,9.75,9.9,9.78,-0.0,-0.01,0.01,-0.0
2020-04-23,9.77,9.77,9.77,9.77,124,9.77,9.9,10.15,10.26,0.0,0.01,0.04,0.05
2020-04-24,9.77,9.77,9.77,9.77,0,9.75,9.9,9.78,10.2,-0.0,0.01,0.0,0.04
2020-04-27,9.77,9.77,9.75,9.75,13516,9.9,10.15,10.26,10.2,0.01,0.04,0.05,0.04
2020-04-28,10.05,10.05,9.75,9.9,62756,9.9,9.78,10.2,10.0,-0.01,-0.03,0.01,-0.0
2020-04-29,9.9,9.9,9.9,9.9,25,10.15,10.26,10.2,10.0,0.02,0.04,0.03,0.01
2020-04-30,10.15,10.15,10.15,10.15,200,9.78,10.2,10.0,10.0,-0.04,0.01,-0.01,-0.01
2020-05-01,10.15,10.15,9.78,9.78,15107,10.26,10.2,10.0,10.0,0.01,0.0,-0.01,-0.01
2020-05-04,10.26,10.26,10.26,10.26,256,10.2,10.0,10.0,10.05,-0.01,-0.03,-0.03,-0.02
2020-05-05,10.2,10.2,10.04,10.2,1125,10.2,10.0,10.0,9.96,0.0,-0.02,-0.02,-0.02
2020-05-06,10.2,10.2,10.2,10.2,11,10.0,10.0,10.05,9.96,-0.02,-0.02,-0.01,-0.02
2020-05-07,10.0,10.0,10.0,10.0,21459,10.0,10.0,9.96,9.96,0.0,0.0,-0.0,-0.0
2020-05-08,10.0,10.0,10.0,10.0,9100,10.0,10.05,9.96,10.05,0.0,0.01,-0.0,0.0
2020-05-11,10.0,10.0,10.0,10.0,414,10.0,9.96,9.96,10.05,0.0,-0.0,-0.0,0.01
2020-05-12,10.05,10.05,10.0,10.0,7710,10.05,9.96,10.05,10.05,0.0,-0.01,-0.0,0.0
2020-05-13,10.0,10.05,10.0,10.05,3283,9.96,9.96,10.05,10.05,-0.0,-0.0,0.01,0.01
2020-05-14,10.0,10.0,9.96,9.96,700,9.96,10.05,10.05,10.05,-0.0,0.0,0.01,0.01
2020-05-15,9.96,9.96,9.96,9.96,0,9.96,10.05,10.05,10.05,0.0,0.01,0.01,0.01
2020-05-18,9.96,9.96,9.96,9.96,1,10.05,10.05,10.05,10.05,0.01,0.01,0.01,0.01
2020-05-19,10.05,10.05,10.05,10.05,405,10.05,10.05,10.05,9.98,0.0,0.0,0.0,-0.01
2020-05-20,10.05,10.05,10.05,10.05,850,10.05,10.05,10.05,10.04,0.0,0.0,-0.0,-0.0
2020-05-21,10.05,10.05,10.05,10.05,51,10.05,10.05,9.98,10.04,0.0,0.0,-0.01,-0.0
2020-05-22,10.05,10.05,10.05,10.05,1,10.05,10.05,10.04,10.05,0.0,-0.0,-0.0,0.0
2020-05-26,10.05,10.05,10.05,10.05,302,10.05,9.98,10.04,10.02,0.0,-0.01,-0.0,-0.0
2020-05-27,10.05,10.05,10.05,10.05,0,10.05,10.04,10.05,9.95,-0.0,-0.0,0.0,-0.01
2020-05-28,10.05,10.05,10.05,10.05,2534,9.98,10.04,10.02,9.95,-0.01,-0.0,-0.0,-0.01
2020-05-29,10.0,10.0,9.98,9.98,423,10.04,10.05,9.95,10.04,0.0,0.01,-0.01,0.0
2020-06-01,10.0,10.04,9.94,10.04,317440,10.04,10.02,9.95,10.05,0.0,0.0,-0.01,0.01
2020-06-02,10.04,10.05,9.95,10.04,6897,10.05,9.95,10.04,10.0,0.0,-0.01,0.0,-0.0
2020-06-03,10.05,10.05,10.05,10.05,213,10.02,9.95,10.05,10.04,-0.0,-0.01,0.0,-0.0
2020-06-04,10.02,10.02,10.02,10.02,350,9.95,10.04,10.0,10.04,-0.01,0.0,-0.0,0.0
2020-06-05,10.08,10.08,9.95,9.95,3349,9.95,10.05,10.04,10.0,-0.01,-0.0,-0.0,-0.01
2020-06-08,9.95,9.95,9.95,9.95,28,10.04,10.0,10.04,10.1,0.01,0.01,0.01,0.02
2020-06-09,10.04,10.04,10.04,10.04,100,10.05,10.04,10.0,10.0,0.0,-0.0,-0.0,-0.0
2020-06-10,10.05,10.05,10.05,10.05,20759,10.0,10.04,10.1,10.0,-0.0,-0.0,0.0,-0.0
2020-06-11,10.05,10.05,9.95,10.0,102423,10.04,10.0,10.0,10.03,-0.0,-0.0,-0.0,-0.0
2020-06-12,10.05,10.05,9.95,10.04,2009,10.04,10.1,10.0,10.02,-0.0,0.0,-0.0,-0.0
2020-06-15,10.04,10.04,10.04,10.04,0,10.0,10.0,10.03,10.09,-0.0,-0.0,-0.0,0.0
2020-06-16,10.05,10.05,10.0,10.0,853,10.1,10.0,10.02,10.23,0.0,-0.0,-0.0,0.02
2020-06-17,10.1,10.1,10.1,10.1,6408,10.0,10.03,10.09,10.24,-0.01,-0.01,-0.0,0.01
2020-06-18,10.0,10.04,10.0,10.0,4801,10.0,10.02,10.23,10.04,0.0,0.0,0.02,0.0
2020-06-19,10.0,10.0,10.0,10.0,1,10.03,10.09,10.24,10.14,0.0,0.01,0.02,0.01
2020-06-22,10.13,10.15,10.0,10.03,20281,10.02,10.23,10.04,10.2,-0.01,0.01,-0.01,0.01
