date,open,high,low,close,volume,close_t+1,close_t+3,close_t+5,close_t+7,open_close_t+1_%chg,open_close_t+3_%chg,open_close_t+5_%chg,open_close_t+7_%chg
2020-05-13,0.2,0.2,0.2,0.2,967850,0.2,0.2,0.26,0.27,0.0,0.0,0.3,0.35
2020-05-15,0.2,0.2,0.2,0.2,50000,0.2,0.26,0.25,0.25,0.0,0.31,0.25,0.25
2020-05-20,0.2,0.2,0.2,0.2,1000000,0.2,0.26,0.27,0.27,0.0,0.3,0.35,0.35
2020-05-27,0.2,0.2,0.2,0.2,25000,0.26,0.25,0.25,0.28,0.31,0.25,0.25,0.4
2020-05-29,0.3,0.3,0.26,0.26,600,0.26,0.27,0.27,0.29,-0.13,-0.1,-0.1,-0.04
2020-06-01,0.26,0.26,0.26,0.26,100,0.25,0.25,0.28,0.38,-0.04,-0.04,0.08,0.45
2020-06-02,0.3,0.3,0.25,0.25,9600,0.27,0.27,0.29,0.38,-0.1,-0.1,-0.04,0.26
2020-06-03,0.27,0.27,0.27,0.27,100,0.25,0.28,0.38,0.45,-0.07,0.04,0.4,0.67
2020-06-04,0.25,0.25,0.25,0.25,6000,0.27,0.29,0.38,0.3,0.08,0.15,0.51,0.2
2020-06-08,0.27,0.27,0.27,0.27,100,0.28,0.38,0.45,0.25,0.04,0.4,0.67,-0.07
2020-06-09,0.28,0.28,0.28,0.28,1000,0.29,0.38,0.3,0.25,0.03,0.35,0.07,-0.11
2020-06-10,0.28,0.35,0.22,0.29,24550,0.38,0.45,0.25,0.24,0.35,0.61,-0.11,-0.14
2020-06-11,0.3,0.38,0.27,0.38,2000,0.38,0.3,0.25,0.25,0.26,0.0,-0.17,-0.17
2020-06-12,0.38,0.38,0.38,0.38,100,0.45,0.25,0.24,0.24,0.19,-0.34,-0.36,-0.36
2020-06-15,0.27,0.45,0.27,0.45,1200,0.3,0.25,0.25,0.22,0.11,-0.07,-0.07,-0.18
2020-06-16,0.28,0.4,0.28,0.3,8700,0.25,0.24,0.24,0.22,-0.11,-0.14,-0.14,-0.21
2020-06-17,0.3,0.3,0.22,0.25,107661,0.25,0.25,0.22,0.2,-0.17,-0.17,-0.27,-0.33
2020-06-18,0.25,0.27,0.23,0.25,24033,0.24,0.24,0.22,0.2,-0.04,-0.04,-0.12,-0.2
2020-06-19,0.25,0.25,0.24,0.24,54400,0.25,0.22,0.2,0.21,0.0,-0.12,-0.2,-0.16
2020-06-22,0.25,0.25,0.25,0.25,27600,0.24,0.22,0.2,0.2,-0.04,-0.12,-0.2,-0.2
2020-06-23,0.25,0.25,0.23,0.24,20300,0.22,0.2,0.21,0.25,-0.12,-0.2,-0.16,0.0
2020-06-24,0.23,0.24,0.22,0.22,93804,0.22,0.2,0.2,0.23,-0.05,-0.13,-0.13,-0.0
2020-06-25,0.23,0.23,0.22,0.22,34001,0.2,0.21,0.25,0.22,-0.13,-0.09,0.09,-0.06
2020-06-26,0.23,0.23,0.2,0.2,131608,0.2,0.2,0.23,0.21,-0.13,-0.13,0.0,-0.08
2020-06-29,0.25,0.26,0.2,0.2,196200,0.21,0.25,0.22,0.28,-0.16,0.0,-0.14,0.12
2020-06-30,0.2,0.25,0.2,0.21,341040,0.2,0.23,0.21,0.26,-0.01,0.13,0.05,0.28
2020-07-01,0.2,0.28,0.2,0.2,200966,0.25,0.22,0.28,,0.25,0.08,0.4,
2020-07-02,0.2,0.28,0.2,0.25,87250,0.23,0.21,0.26,,0.12,0.03,0.27,
2020-07-06,0.2,0.25,0.2,0.23,53700,0.22,0.28,,,0.08,0.4,,
2020-07-07,0.23,0.25,0.21,0.22,54400,0.21,0.26,,,-0.08,0.13,,
2020-07-08,0.2,0.23,0.2,0.21,20900,0.28,,,,0.4,,,
2020-07-09,0.24,0.3,0.24,0.28,143300,0.26,,,,0.08,,,
2020-07-10,0.27,0.33,0.26,0.26,90000,,,,,,,,
