date,open,high,low,close,volume,close_t+1,close_t+3,close_t+5,close_t+7,open_close_t+1_%chg,open_close_t+3_%chg,open_close_t+5_%chg,open_close_t+7_%chg
2019-06-21,9.95,9.95,9.95,9.95,250000,9.95,9.8,9.8,9.8,0.0,-0.02,-0.02,-0.02
2019-06-24,9.95,9.95,9.95,9.95,0,9.95,9.8,9.8,9.79,0.0,-0.02,-0.02,-0.02
2019-06-25,9.95,9.95,9.95,9.95,0,9.8,9.8,9.8,9.78,-0.02,-0.02,-0.02,-0.02
2019-06-26,9.8,9.8,9.8,9.8,500,9.8,9.8,9.79,9.78,0.0,0.0,-0.0,-0.0
2019-06-27,9.8,9.8,9.8,9.8,0,9.8,9.8,9.78,9.78,0.0,0.0,-0.0,-0.0
2019-06-28,9.8,9.8,9.8,9.8,0,9.8,9.79,9.78,9.78,0.0,-0.0,-0.0,-0.0
2019-07-01,9.8,9.8,9.8,9.8,0,9.8,9.78,9.78,9.78,0.0,-0.0,-0.0,-0.0
2019-07-02,9.8,9.8,9.8,9.8,0,9.79,9.78,9.78,9.6,-0.0,-0.0,-0.0,-0.02
2019-07-03,9.79,9.79,9.79,9.79,200,9.78,9.78,9.78,9.6,-0.0,-0.0,-0.0,-0.02
2019-07-05,9.78,9.78,9.78,9.78,800,9.78,9.78,9.6,9.6,0.0,0.0,-0.02,-0.02
2019-07-08,9.78,9.78,9.78,9.78,500,9.78,9.78,9.6,9.6,0.0,0.0,-0.02,-0.02
2019-07-09,9.78,9.78,9.78,9.78,0,9.78,9.6,9.6,9.78,0.0,-0.02,-0.02,0.0
2019-07-10,9.78,9.78,9.78,9.78,0,9.78,9.6,9.6,9.77,0.0,-0.02,-0.02,-0.0
2019-07-11,9.78,9.78,9.78,9.78,0,9.6,9.6,9.78,9.81,-0.02,-0.02,0.0,0.0
2019-07-12,9.59,9.74,9.57,9.6,10000,9.6,9.6,9.77,9.81,0.0,0.0,0.02,0.02
2019-07-15,9.6,9.6,9.6,9.6,0,9.6,9.78,9.81,9.81,0.0,0.02,0.02,0.02
2019-07-16,9.6,9.6,9.6,9.6,0,9.6,9.77,9.81,9.81,0.0,0.02,0.02,0.02
2019-07-17,9.6,9.6,9.6,9.6,0,9.78,9.81,9.81,9.8,0.02,0.02,0.02,0.02
2019-07-18,9.9,9.9,9.78,9.78,2300,9.77,9.81,9.81,9.8,-0.01,-0.01,-0.01,-0.01
2019-07-19,9.77,9.77,9.77,9.77,200,9.81,9.81,9.8,9.8,0.0,0.0,0.0,0.0
2019-07-22,9.8,9.81,9.8,9.81,1500,9.81,9.81,9.8,9.79,0.0,0.0,0.0,-0.0
2019-07-23,9.81,9.81,9.81,9.81,0,9.81,9.8,9.8,9.79,0.0,-0.0,-0.0,-0.0
2019-07-24,9.81,9.81,9.81,9.81,0,9.81,9.8,9.79,9.8,0.0,-0.0,-0.0,-0.0
2019-07-25,9.81,9.81,9.81,9.81,0,9.8,9.8,9.79,9.8,-0.0,-0.0,-0.0,-0.0
2019-07-26,9.81,9.81,9.8,9.8,2800,9.8,9.79,9.8,9.8,-0.0,-0.0,-0.0,-0.0
2019-07-29,9.81,9.81,9.8,9.8,2800,9.8,9.79,9.8,9.8,-0.0,-0.0,-0.0,-0.0
2019-07-30,9.81,9.81,9.8,9.8,2800,9.79,9.8,9.8,9.8,-0.0,-0.0,-0.0,-0.0
2019-07-31,9.82,9.82,9.79,9.79,200,9.79,9.8,9.8,9.84,-0.0,-0.0,-0.0,0.0
2019-08-01,9.82,9.82,9.79,9.79,200,9.8,9.8,9.8,9.84,-0.0,-0.0,-0.0,0.0
2019-08-02,10.1,10.25,9.8,9.8,736,9.8,9.8,9.84,9.84,-0.03,-0.03,-0.03,-0.03
2019-08-05,10.1,10.25,9.8,9.8,700,9.8,9.8,9.84,9.84,-0.03,-0.03,-0.03,-0.03
2019-08-06,10.1,10.25,9.8,9.8,700,9.8,9.84,9.84,9.84,-0.03,-0.03,-0.03,-0.03
2019-08-07,10.1,10.25,9.8,9.8,700,9.8,9.84,9.84,9.84,-0.03,-0.03,-0.03,-0.03
2019-08-08,10.1,10.25,9.8,9.8,700,9.84,9.84,9.84,9.84,-0.03,-0.03,-0.03,-0.03
2019-08-09,9.84,9.84,9.84,9.84,110,9.84,9.84,9.84,9.84,0.0,0.0,0.0,0.0
2019-08-12,9.84,9.84,9.84,9.84,100,9.84,9.84,9.84,9.84,0.0,0.0,0.0,0.0
2019-08-13,9.84,9.84,9.84,9.84,100,9.84,9.84,9.84,9.84,0.0,0.0,0.0,0.0
2019-08-14,9.84,9.84,9.84,9.84,100,9.84,9.84,9.84,9.84,0.0,0.0,0.0,0.0
2019-08-15,9.84,9.84,9.84,9.84,10,9.84,9.84,9.84,9.87,0.0,0.0,0.0,0.0
2019-08-19,9.84,9.84,9.84,9.84,0,9.84,9.84,9.84,9.88,0.0,0.0,0.0,0.0
2019-08-20,9.84,9.84,9.84,9.84,0,9.84,9.84,9.87,9.9,0.0,0.0,0.0,0.01
2019-08-21,9.84,9.84,9.84,9.84,0,9.84,9.84,9.88,9.9,0.0,0.0,0.0,0.01
2019-08-22,9.84,9.84,9.84,9.84,0,9.84,9.87,9.9,9.9,0.0,0.0,0.01,0.01
2019-08-23,9.84,9.84,9.84,9.84,0,9.84,9.88,9.9,9.9,0.0,0.0,0.01,0.01
2019-08-26,9.84,9.84,9.84,9.84,0,9.87,9.9,9.9,9.9,0.0,0.01,0.01,0.01
2019-08-27,9.84,9.87,9.84,9.87,23500,9.88,9.9,9.9,9.9,0.0,0.01,0.01,0.01
2019-08-28,9.87,9.88,9.87,9.88,7900,9.9,9.9,9.9,9.91,0.0,0.0,0.0,0.0
