date,open,high,low,close,volume,close_t+1,close_t+3,close_t+5,close_t+7,open_close_t+1_%chg,open_close_t+3_%chg,open_close_t+5_%chg,open_close_t+7_%chg
2019-05-16,9.83,9.9,9.83,9.89,685202,9.89,9.87,9.86,9.86,0.01,0.0,0.0,0.0
2019-05-17,9.89,9.89,9.89,9.89,0,9.87,9.87,9.86,9.86,-0.0,-0.0,-0.0,-0.0
2019-05-20,9.85,9.87,9.85,9.87,71301,9.87,9.86,9.86,9.89,0.0,0.0,0.0,0.0
2019-05-21,9.84,9.87,9.84,9.87,14534,9.87,9.86,9.86,9.86,0.0,0.0,0.0,0.0
2019-05-22,9.87,9.87,9.87,9.87,101,9.86,9.86,9.89,9.87,-0.0,-0.0,0.0,0.0
2019-05-23,9.86,9.9,9.8,9.86,68899,9.86,9.86,9.86,9.92,0.0,0.0,0.0,0.01
2019-05-24,9.86,9.86,9.86,9.86,0,9.86,9.89,9.87,9.9,0.0,0.0,0.0,0.0
2019-05-28,9.86,9.86,9.83,9.86,100300,9.86,9.86,9.92,9.9,0.0,0.0,0.01,0.0
2019-05-29,9.84,9.86,9.84,9.86,800,9.89,9.87,9.9,9.93,0.01,0.0,0.01,0.01
2019-05-30,9.84,11.5,9.84,9.89,104823,9.86,9.92,9.9,9.92,0.0,0.01,0.01,0.01
2019-05-31,9.87,9.87,9.86,9.86,394090,9.87,9.9,9.93,9.92,0.0,0.0,0.01,0.01
2019-06-03,9.86,10.0,9.86,9.87,34700,9.92,9.9,9.92,9.95,0.01,0.0,0.01,0.01
2019-06-04,9.88,10.1,9.88,9.92,42413,9.9,9.93,9.92,9.91,0.0,0.01,0.0,0.0
2019-06-05,9.9,10.7,9.89,9.9,95173,9.9,9.92,9.95,9.91,0.0,0.0,0.01,0.0
2019-06-06,9.9,9.9,9.9,9.9,1986,9.93,9.92,9.91,9.91,0.0,0.0,0.0,0.0
2019-06-07,9.94,9.95,9.92,9.93,108477,9.92,9.95,9.91,9.91,-0.0,0.0,-0.0,-0.0
2019-06-10,9.96,9.96,9.88,9.92,4069,9.92,9.91,9.91,9.91,-0.0,-0.01,-0.01,-0.01
2019-06-11,9.92,9.92,9.92,9.92,0,9.95,9.91,9.91,9.91,0.0,-0.0,-0.0,-0.0
2019-06-12,9.94,9.95,9.94,9.95,1733,9.91,9.91,9.91,9.91,-0.0,-0.0,-0.0,-0.0
2019-06-13,9.95,9.95,9.91,9.91,2666,9.91,9.91,9.91,9.91,-0.0,-0.0,-0.0,-0.0
2019-06-14,9.91,9.91,9.91,9.91,31,9.91,9.91,9.91,9.91,0.0,0.0,0.0,0.0
2019-06-17,9.91,9.91,9.91,9.91,0,9.91,9.91,9.91,9.91,0.0,0.0,0.0,0.0
2019-06-18,9.91,9.91,9.91,9.91,0,9.91,9.91,9.91,9.9,0.0,0.0,0.0,-0.0
2019-06-19,9.91,9.91,9.91,9.91,26,9.91,9.91,9.91,9.9,0.0,0.0,0.0,-0.0
2019-06-20,9.91,9.91,9.91,9.91,57,9.91,9.91,9.9,10.1,0.0,0.0,-0.0,0.02
2019-06-21,9.91,9.91,9.91,9.91,0,9.91,9.91,9.9,9.96,0.0,0.0,-0.0,0.01
2019-06-24,9.91,9.91,9.91,9.91,0,9.91,9.9,10.1,10.0,0.0,-0.0,0.02,0.01
2019-06-25,9.91,9.91,9.91,9.91,0,9.91,9.9,9.96,9.88,0.0,-0.0,0.01,-0.0
2019-06-26,9.91,9.91,9.91,9.91,5,9.9,10.1,10.0,9.88,-0.0,0.02,0.01,-0.0
2019-06-27,10.0,10.01,9.88,9.9,43472,9.9,9.96,9.88,9.84,-0.01,-0.0,-0.01,-0.02
2019-06-28,9.9,9.9,9.9,9.9,958,10.1,10.0,9.88,9.92,0.02,0.01,-0.0,0.0
2019-07-01,10.5,10.5,9.19,10.1,6410,9.96,9.88,9.84,9.93,-0.05,-0.06,-0.06,-0.05
2019-07-02,9.96,9.96,9.96,9.96,1100,10.0,9.88,9.92,9.92,0.0,-0.01,-0.0,-0.0
2019-07-03,10.16,10.16,10.0,10.0,1160,9.88,9.84,9.93,9.92,-0.03,-0.03,-0.02,-0.02
