date,open,high,low,close,volume,close_t+1,close_t+3,close_t+5,close_t+7,open_close_t+1_%chg,open_close_t+3_%chg,open_close_t+5_%chg,open_close_t+7_%chg
2018-01-02,0.2,0.2,0.2,0.2,24000,0.25,0.23,0.26,0.25,0.25,0.15,0.3,0.25
2018-01-05,0.2,0.25,0.2,0.25,12776,0.28,0.22,0.25,0.25,0.4,0.1,0.25,0.25
2018-01-11,0.28,0.28,0.28,0.28,600,0.23,0.26,0.25,0.2,-0.18,-0.07,-0.11,-0.29
2018-01-19,0.26,0.26,0.23,0.23,2200,0.22,0.25,0.25,0.2,-0.14,-0.02,-0.02,-0.2
2018-01-23,0.28,0.28,0.22,0.22,40100,0.26,0.25,0.2,0.21,-0.05,-0.09,-0.27,-0.24
2018-01-24,0.2,0.26,0.2,0.26,5480,0.25,0.25,0.2,0.2,0.25,0.25,0.02,0.0
2018-01-25,0.25,0.25,0.24,0.25,1100,0.25,0.2,0.21,0.2,0.0,-0.2,-0.16,-0.2
2018-01-26,0.25,0.25,0.25,0.25,200,0.25,0.2,0.2,0.2,0.0,-0.18,-0.2,-0.2
2018-01-31,0.25,0.25,0.25,0.25,100,0.2,0.21,0.2,0.21,-0.2,-0.16,-0.2,-0.16
2018-02-01,0.21,0.22,0.2,0.2,218895,0.2,0.2,0.2,0.21,-0.02,-0.05,-0.05,0.0
2018-02-02,0.23,0.23,0.2,0.2,86800,0.21,0.2,0.21,0.2,-0.1,-0.14,-0.1,-0.14
2018-02-05,0.21,0.21,0.21,0.21,100,0.2,0.2,0.21,0.22,-0.05,-0.05,0.0,0.05
2018-02-06,0.24,0.24,0.2,0.2,3300,0.2,0.21,0.2,0.24,-0.17,-0.12,-0.17,-0.02
2018-02-07,0.2,0.2,0.2,0.2,1000,0.2,0.21,0.22,0.23,0.0,0.05,0.1,0.15
2018-02-09,0.18,0.2,0.18,0.2,18200,0.21,0.2,0.24,0.21,0.16,0.11,0.3,0.16
2018-02-12,0.21,0.21,0.21,0.21,1000,0.21,0.22,0.23,0.21,0.0,0.05,0.1,0.0
2018-02-13,0.21,0.22,0.2,0.21,5100,0.2,0.24,0.21,0.21,-0.05,0.12,0.0,-0.0
2018-02-14,0.2,0.2,0.2,0.2,10100,0.22,0.23,0.21,0.21,0.1,0.15,0.05,0.05
2018-02-15,0.22,0.22,0.22,0.22,43500,0.24,0.21,0.21,0.23,0.07,-0.05,-0.05,0.05
2018-02-16,0.23,0.24,0.23,0.24,25200,0.23,0.21,0.21,0.22,0.0,-0.09,-0.09,-0.04
2018-02-21,0.23,0.23,0.23,0.23,2000,0.21,0.21,0.23,0.26,-0.09,-0.09,0.0,0.13
2018-02-26,0.21,0.21,0.21,0.21,100,0.21,0.21,0.22,0.23,0.0,0.0,0.05,0.1
2018-02-28,0.21,0.21,0.21,0.21,120,0.21,0.23,0.26,0.26,-0.0,0.1,0.24,0.24
2018-03-01,0.19,0.21,0.13,0.21,12143,0.21,0.22,0.23,0.27,0.11,0.16,0.21,0.42
2018-03-02,0.19,0.21,0.19,0.21,13560,0.23,0.26,0.26,0.3,0.21,0.37,0.38,0.57
2018-03-05,0.21,0.23,0.21,0.23,35400,0.22,0.23,0.27,0.3,0.05,0.1,0.29,0.41
2018-03-06,0.22,0.23,0.22,0.22,10200,0.26,0.26,0.3,0.27,0.18,0.19,0.36,0.23
2018-03-08,0.26,0.26,0.23,0.26,3100,0.23,0.27,0.3,0.27,-0.1,0.06,0.16,0.06
2018-03-09,0.23,0.23,0.23,0.23,100,0.26,0.3,0.27,0.24,0.14,0.3,0.17,0.04
2018-03-12,0.25,0.26,0.25,0.26,10500,0.27,0.3,0.27,0.22,0.08,0.18,0.08,-0.12
2018-03-13,0.27,0.27,0.27,0.27,100,0.3,0.27,0.24,0.23,0.11,0.0,-0.11,-0.15
2018-03-14,0.3,0.3,0.3,0.3,100,0.3,0.27,0.22,0.24,-0.01,-0.1,-0.26,-0.2
2018-03-15,0.27,0.3,0.27,0.3,200,0.27,0.24,0.23,0.24,0.0,-0.11,-0.15,-0.11
2018-03-19,0.27,0.27,0.27,0.27,1000,0.27,0.22,0.24,0.25,0.0,-0.19,-0.11,-0.07
2018-03-23,0.27,0.27,0.27,0.27,17500,0.24,0.23,0.24,0.24,-0.11,-0.14,-0.11,-0.11
2018-03-29,0.22,0.24,0.22,0.24,1090,0.22,0.24,0.25,0.27,0.0,0.09,0.14,0.22
2018-04-04,0.24,0.27,0.22,0.22,19500,0.23,0.24,0.24,0.26,-0.04,0.0,0.0,0.06
2018-04-05,0.23,0.23,0.23,0.23,1000,0.24,0.25,0.27,0.2,0.04,0.09,0.17,-0.13
