date,open,high,low,close,volume,close_t+1,close_t+3,close_t+5,close_t+7,open_close_t+1_%chg,open_close_t+3_%chg,open_close_t+5_%chg,open_close_t+7_%chg
2018-01-02,16.61,18.87,16.0,17.33,516533,16.22,15.48,15.04,15.71,-0.02,-0.07,-0.09,-0.05
2018-01-03,17.33,17.33,16.0,16.22,117689,15.25,15.55,15.2,15.57,-0.12,-0.1,-0.12,-0.1
2018-01-04,16.17,16.19,14.85,15.25,124109,15.48,15.04,15.71,14.5,-0.04,-0.07,-0.03,-0.1
2018-01-05,15.35,15.68,15.07,15.48,78249,15.55,15.2,15.57,14.63,0.01,-0.01,0.01,-0.05
2018-01-08,15.75,15.85,15.26,15.55,85022,15.04,15.71,14.5,17.01,-0.05,-0.0,-0.08,0.08
2018-01-09,15.75,15.8,15.04,15.04,66752,15.2,15.57,14.63,16.69,-0.03,-0.01,-0.07,0.06
2018-01-10,15.06,15.3,14.58,15.2,76462,15.71,14.5,17.01,15.61,0.04,-0.04,0.13,0.04
2018-01-11,15.1,15.94,15.1,15.71,40550,15.57,14.63,16.69,15.5,0.03,-0.03,0.11,0.03
2018-01-12,15.77,15.96,15.36,15.57,26874,14.5,17.01,15.61,15.43,-0.08,0.08,-0.01,-0.02
2018-01-16,15.76,15.98,14.31,14.5,49445,14.63,16.69,15.5,15.16,-0.07,0.06,-0.02,-0.04
2018-01-17,14.49,14.66,14.02,14.63,42900,17.01,15.61,15.43,15.28,0.17,0.08,0.06,0.05
2018-01-18,18.94,20.5,16.75,17.01,1869929,16.69,15.5,15.16,14.78,-0.12,-0.18,-0.2,-0.22
2018-01-19,17.12,17.12,16.0,16.69,156951,15.61,15.43,15.28,14.53,-0.09,-0.1,-0.11,-0.15
2018-01-22,16.39,16.4,15.53,15.61,116268,15.5,15.16,14.78,14.53,-0.05,-0.08,-0.1,-0.11
2018-01-23,15.72,15.91,15.07,15.5,56573,15.43,15.28,14.53,13.76,-0.02,-0.03,-0.08,-0.12
