date,open,high,low,close,volume,close_t+1,close_t+3,close_t+5,close_t+7,open_close_t+1_%chg,open_close_t+3_%chg,open_close_t+5_%chg,open_close_t+7_%chg
2019-12-12,0.6,0.6,0.55,0.6,350002,0.55,0.44,0.5,0.5,-0.08,-0.27,-0.17,-0.17
2019-12-13,0.45,0.55,0.45,0.55,24255,0.54,0.45,0.5,0.5,0.21,0.0,0.11,0.11
2019-12-16,0.54,0.54,0.54,0.54,1115,0.44,0.5,0.5,0.5,-0.19,-0.08,-0.08,-0.08
2019-12-18,0.44,0.44,0.44,0.44,162,0.45,0.5,0.5,0.45,0.02,0.14,0.14,0.02
2019-12-20,0.44,0.45,0.44,0.45,1326,0.5,0.5,0.5,0.49,0.14,0.14,0.13,0.11
2019-12-23,0.5,0.5,0.49,0.5,6400,0.5,0.5,0.45,0.5,0.0,0.0,-0.1,0.0
2019-12-26,0.5,0.5,0.5,0.5,1000,0.5,0.5,0.49,0.5,0.0,-0.0,-0.02,0.0
2019-12-27,0.48,0.5,0.48,0.5,1213,0.5,0.45,0.5,0.52,0.04,-0.06,0.04,0.08
2019-12-30,0.5,0.5,0.5,0.5,1,0.5,0.49,0.5,0.52,-0.0,-0.02,0.0,0.04
2019-12-31,0.5,0.5,0.5,0.5,15602,0.45,0.5,0.52,0.5,-0.1,0.0,0.04,0.0
2020-01-02,0.45,0.45,0.45,0.45,6000,0.49,0.5,0.52,0.5,0.09,0.11,0.16,0.11
2020-01-03,0.49,0.49,0.49,0.49,11350,0.5,0.52,0.5,0.54,0.02,0.06,0.02,0.1
2020-01-06,0.5,0.5,0.5,0.5,17500,0.5,0.52,0.5,0.54,0.0,0.04,0.0,0.08
2020-01-07,0.5,0.5,0.5,0.5,1507,0.52,0.5,0.54,0.54,0.04,0.0,0.08,0.08
2020-01-08,0.5,0.52,0.5,0.52,1225,0.52,0.5,0.54,0.55,0.04,0.0,0.08,0.1
2020-01-09,0.52,0.52,0.52,0.52,99334,0.5,0.54,0.54,0.55,-0.04,0.04,0.04,0.06
2020-01-10,0.5,0.5,0.5,0.5,250,0.5,0.54,0.55,0.55,0.0,0.08,0.1,0.1
2020-01-17,0.5,0.5,0.5,0.5,10,0.54,0.54,0.55,0.55,0.08,0.08,0.1,0.1
