date,open,high,low,close,volume,close_t+1,close_t+3,close_t+5,close_t+7,open_close_t+1_%chg,open_close_t+3_%chg,open_close_t+5_%chg,open_close_t+7_%chg
2020-05-05,9.95,9.98,9.89,9.94,3093062,9.95,9.95,9.99,9.95,0.0,0.0,0.0,0.0
2020-05-06,9.95,9.95,9.91,9.95,70620,9.95,9.97,9.95,9.95,0.0,0.0,0.0,0.0
2020-05-07,9.96,9.96,9.95,9.95,1801,9.95,9.99,9.95,9.99,-0.0,0.0,-0.0,0.0
2020-05-08,9.98,9.98,9.95,9.95,24014,9.97,9.95,9.95,10.0,-0.0,-0.0,-0.0,0.0
2020-05-11,9.98,9.98,9.96,9.97,18173,9.99,9.95,9.99,9.95,0.0,-0.0,0.0,-0.0
2020-05-12,9.97,10.0,9.97,9.99,86838,9.95,9.95,10.0,9.95,-0.0,-0.0,0.0,-0.0
2020-05-13,9.98,9.99,9.95,9.95,22497,9.95,9.99,9.95,10.05,-0.0,0.0,-0.0,0.01
2020-05-14,9.95,9.95,9.95,9.95,2529,9.95,10.0,9.95,10.02,-0.0,0.01,-0.0,0.01
2020-05-15,9.95,9.95,9.95,9.95,5004,9.99,9.95,10.05,9.98,0.0,0.0,0.01,0.0
2020-05-18,9.95,10.0,9.95,9.99,106506,10.0,9.95,10.02,9.98,0.01,0.0,0.01,0.0
2020-05-19,9.98,10.0,9.98,10.0,103653,9.95,10.05,9.98,10.05,-0.0,0.01,0.0,0.01
2020-05-20,9.96,10.0,9.95,9.95,11002,9.95,10.02,9.98,10.05,-0.0,0.01,0.0,0.01
2020-05-21,9.95,9.95,9.95,9.95,5,10.05,9.98,10.05,10.05,0.01,0.0,0.01,0.01
2020-05-22,10.0,10.05,10.0,10.05,1621,10.02,9.98,10.05,10.05,0.0,-0.0,0.01,0.01
2020-05-26,10.02,10.02,10.02,10.02,693,9.98,10.05,10.05,9.98,-0.0,0.0,0.0,-0.0
2020-05-27,10.05,10.05,9.98,9.98,4400,9.98,10.05,10.05,9.98,-0.01,0.0,0.0,-0.01
2020-05-28,9.98,9.98,9.98,9.98,26,10.05,10.05,9.98,10.02,0.01,0.01,0.0,0.0
2020-05-29,10.05,10.05,10.01,10.05,12256,10.05,10.05,9.98,10.03,0.0,0.0,-0.01,-0.0
2020-06-01,10.05,10.05,10.05,10.05,541,10.05,9.98,10.02,10.05,0.0,-0.01,-0.0,0.0
2020-06-02,10.05,10.05,10.05,10.05,18,10.05,9.98,10.03,10.05,0.0,-0.01,-0.0,0.0
2020-06-03,10.05,10.05,10.05,10.05,68,9.98,10.02,10.05,9.98,-0.01,-0.0,0.0,-0.01
2020-06-04,10.02,10.02,9.97,9.98,16450,9.98,10.03,10.05,9.98,-0.0,0.0,0.0,-0.0
2020-06-05,9.98,9.98,9.98,9.98,1437,10.02,10.05,9.98,10.0,0.0,0.01,0.0,0.0
2020-06-08,10.03,10.03,10.02,10.02,2397,10.03,10.05,9.98,10.0,0.0,0.0,-0.0,-0.0
2020-06-09,10.03,10.03,10.03,10.03,810,10.05,9.98,10.0,10.0,0.0,-0.0,-0.0,-0.0
2020-06-10,9.98,10.05,9.98,10.05,2573,10.05,9.98,10.0,10.02,0.01,0.0,0.0,0.0
2020-06-11,10.05,10.05,10.05,10.05,110,9.98,10.0,10.0,10.0,-0.01,-0.0,-0.0,-0.0
2020-06-12,10.02,10.02,9.98,9.98,1344,9.98,10.0,10.02,10.1,-0.0,-0.0,0.0,0.01
2020-06-15,9.98,9.98,9.98,9.98,146,10.0,10.0,10.0,10.1,0.0,0.0,0.0,0.01
2020-06-16,10.0,10.0,10.0,10.0,1800,10.0,10.02,10.1,10.1,0.0,0.0,0.01,0.01
2020-06-17,10.09,10.09,10.0,10.0,281,10.0,10.0,10.1,10.1,-0.01,-0.01,0.0,0.0
2020-06-18,10.0,10.0,10.0,10.0,12,10.02,10.1,10.1,10.15,0.0,0.01,0.01,0.02
2020-06-19,10.02,10.02,10.02,10.02,263,10.0,10.1,10.1,10.05,-0.0,0.01,0.01,0.0
2020-06-22,10.01,10.01,10.0,10.0,413,10.1,10.1,10.15,10.2,0.01,0.01,0.01,0.02
2020-06-23,10.15,10.25,10.07,10.1,27756,10.1,10.1,10.05,10.2,-0.0,-0.0,-0.01,0.0
2020-06-24,10.1,10.1,10.1,10.1,0,10.1,10.15,10.2,10.15,0.0,0.0,0.01,0.0
2020-06-25,10.1,10.1,10.1,10.1,10,10.1,10.05,10.2,10.15,0.0,-0.0,0.01,0.0
2020-06-26,10.18,10.18,10.1,10.1,3750,10.15,10.2,10.15,10.15,-0.0,0.0,-0.0,-0.0
2020-06-29,10.16,10.16,10.15,10.15,590,10.05,10.2,10.15,10.2,-0.01,0.0,-0.0,0.0
2020-06-30,10.25,10.25,10.05,10.05,16818,10.2,10.15,10.15,10.11,-0.0,-0.01,-0.01,-0.01
2020-07-01,10.2,10.2,10.2,10.2,200,10.2,10.15,10.2,,0.0,-0.0,0.0,
2020-07-02,10.2,10.2,10.2,10.2,10000,10.15,10.15,10.11,,-0.0,-0.0,-0.01,
2020-07-06,10.2,10.2,10.14,10.15,970,10.15,10.2,,,-0.0,0.0,,
2020-07-07,10.15,10.15,10.15,10.15,20,10.15,10.11,,,0.0,-0.0,,
2020-07-08,10.15,10.15,10.15,10.15,0,10.2,,,,0.0,,,
2020-07-09,10.3,10.3,10.2,10.2,1600,10.11,,,,-0.02,,,
2020-07-10,10.25,10.25,10.1,10.11,12900,,,,,,,,
