date,open,high,low,close,volume,close_t+1,close_t+3,close_t+5,close_t+7,open_close_t+1_%chg,open_close_t+3_%chg,open_close_t+5_%chg,open_close_t+7_%chg
2018-01-02,9.74,9.74,9.74,9.74,0,9.73,9.76,9.77,9.77,-0.0,0.0,0.0,0.0
2018-01-03,9.74,9.74,9.67,9.73,169691,9.8,9.76,9.77,9.75,0.01,0.0,0.0,0.0
2018-01-04,9.77,9.8,9.75,9.8,4100,9.76,9.77,9.77,9.78,-0.0,0.0,0.0,0.0
2018-01-05,9.78,9.78,9.76,9.76,380,9.76,9.77,9.75,9.74,-0.0,-0.0,-0.0,-0.0
2018-01-08,9.76,9.76,9.76,9.76,225000,9.77,9.77,9.78,9.74,0.0,0.0,0.0,-0.0
2018-01-09,9.73,9.78,9.73,9.77,294901,9.77,9.75,9.74,9.76,0.0,0.0,0.0,0.0
2018-01-10,9.77,9.77,9.77,9.77,0,9.77,9.78,9.74,9.73,0.0,0.0,-0.0,-0.0
2018-01-11,9.77,9.77,9.77,9.77,0,9.75,9.74,9.76,9.73,-0.0,-0.0,-0.0,-0.0
2018-01-12,9.77,9.77,9.75,9.75,5988,9.78,9.74,9.73,9.73,0.0,-0.0,-0.0,-0.0
2018-01-16,9.76,9.78,9.76,9.78,88023,9.74,9.76,9.73,9.73,-0.0,0.0,-0.0,-0.0
2018-01-17,9.77,9.77,9.73,9.74,8028,9.74,9.73,9.73,9.73,-0.0,-0.0,-0.0,-0.0
2018-01-18,9.74,9.74,9.74,9.74,0,9.76,9.73,9.73,9.73,0.0,-0.0,-0.0,-0.0
2018-01-19,9.77,9.77,9.76,9.76,500,9.73,9.73,9.73,9.73,-0.0,-0.0,-0.0,-0.0
2018-01-22,9.8,9.8,9.73,9.73,8160,9.73,9.73,9.73,9.73,-0.01,-0.01,-0.01,-0.01
2018-01-23,9.73,9.73,9.73,9.73,0,9.73,9.73,9.73,9.73,0.0,0.0,0.0,0.0
2018-01-24,9.73,9.74,9.73,9.73,25200,9.73,9.73,9.73,9.75,0.0,0.0,0.0,0.0
2018-01-25,9.73,9.73,9.73,9.73,0,9.73,9.73,9.73,9.75,0.0,0.0,0.0,0.0
2018-01-26,9.75,9.75,9.73,9.73,550,9.73,9.73,9.75,9.73,-0.0,-0.0,0.0,-0.0
2018-01-29,9.73,9.73,9.73,9.73,0,9.73,9.73,9.75,9.73,0.0,0.0,0.0,0.0
2018-01-30,9.73,9.73,9.73,9.73,0,9.73,9.75,9.73,9.7,0.0,0.0,0.0,-0.0
2018-01-31,9.73,9.73,9.73,9.73,51,9.73,9.75,9.73,9.7,0.0,0.0,0.0,-0.0
2018-02-01,9.73,9.73,9.73,9.73,0,9.75,9.73,9.7,9.71,0.0,0.0,-0.0,-0.0
2018-02-02,9.75,9.75,9.73,9.75,7438,9.75,9.73,9.7,9.7,0.0,-0.0,-0.01,-0.01
2018-02-05,9.75,9.75,9.75,9.75,100,9.73,9.7,9.71,9.7,-0.0,-0.01,-0.0,-0.01
2018-02-06,9.73,9.76,9.72,9.73,701700,9.73,9.7,9.7,9.69,0.0,-0.0,-0.0,-0.0
2018-02-07,9.73,9.73,9.73,9.73,0,9.7,9.71,9.7,9.69,-0.0,-0.0,-0.0,-0.0
2018-02-08,9.7,9.7,9.7,9.7,8350,9.7,9.7,9.69,9.69,0.0,0.0,-0.0,-0.0
2018-02-09,9.7,9.75,9.7,9.7,9810,9.71,9.7,9.69,9.72,0.0,0.0,-0.0,0.0
2018-02-12,9.71,9.73,9.71,9.71,5450,9.7,9.69,9.69,9.72,-0.0,-0.0,-0.0,0.0
2018-02-13,9.7,9.72,9.7,9.7,7800,9.7,9.69,9.72,9.72,0.0,-0.0,0.0,0.0
2018-02-14,9.7,9.75,9.7,9.7,1950,9.69,9.69,9.72,9.72,-0.0,-0.0,0.0,0.0
2018-02-15,9.71,9.71,9.69,9.69,3800,9.69,9.72,9.72,9.72,-0.0,0.0,0.0,0.0
2018-02-16,9.69,9.69,9.69,9.69,0,9.69,9.72,9.72,9.74,0.0,0.0,0.0,0.01
2018-02-20,9.69,9.69,9.69,9.69,2,9.72,9.72,9.72,9.75,0.0,0.0,0.0,0.01
