date,open,high,low,close,volume,close_t+1,close_t+3,close_t+5,close_t+7,open_close_t+1_%chg,open_close_t+3_%chg,open_close_t+5_%chg,open_close_t+7_%chg
2018-10-18,9.65,9.71,9.65,9.71,285000,9.72,9.71,9.73,9.71,0.01,0.01,0.01,0.01
2018-10-19,9.72,9.72,9.72,9.72,1000,9.71,9.71,9.71,9.71,-0.0,-0.0,-0.0,-0.0
2018-10-22,9.71,9.71,9.71,9.71,500,9.71,9.73,9.71,9.71,0.0,0.0,0.0,0.0
2018-10-23,9.71,9.71,9.71,9.71,0,9.71,9.71,9.71,9.71,0.0,0.0,0.0,0.0
2018-10-24,9.71,9.71,9.71,9.71,0,9.73,9.71,9.71,9.71,0.0,0.0,0.0,0.0
2018-10-25,9.73,9.73,9.73,9.73,100,9.71,9.71,9.71,9.72,-0.0,-0.0,-0.0,-0.0
2018-10-26,9.74,9.76,9.71,9.71,1600,9.71,9.71,9.71,9.72,-0.0,-0.0,-0.0,-0.0
2018-10-29,9.71,9.71,9.71,9.71,0,9.71,9.71,9.72,9.75,0.0,0.0,0.0,0.0
2018-10-30,9.71,9.71,9.71,9.71,0,9.71,9.71,9.72,9.75,0.0,0.0,0.0,0.0
2018-10-31,9.71,9.71,9.71,9.71,250000,9.71,9.72,9.75,9.75,0.0,0.0,0.0,0.0
2018-11-01,9.71,9.71,9.71,9.71,0,9.71,9.72,9.75,9.75,0.0,0.0,0.0,0.0
2018-11-02,9.75,9.75,9.71,9.71,13900,9.72,9.75,9.75,9.75,-0.0,0.0,0.0,0.0
2018-11-05,9.75,9.75,9.72,9.72,11400,9.72,9.75,9.75,9.75,-0.0,0.0,0.0,0.0
2018-11-06,9.72,9.72,9.72,9.72,15,9.75,9.75,9.75,9.75,0.0,0.0,0.0,0.0
2018-11-07,9.75,9.75,9.75,9.75,322101,9.75,9.75,9.75,9.77,0.0,0.0,0.0,0.0
2018-11-08,9.75,9.75,9.75,9.75,0,9.75,9.75,9.75,9.77,0.0,0.0,0.0,0.0
2018-11-09,9.75,9.75,9.75,9.75,1,9.75,9.75,9.77,9.75,0.0,0.0,0.0,0.0
2018-11-12,9.75,9.75,9.75,9.75,0,9.75,9.75,9.77,9.75,0.0,0.0,0.0,0.0
2018-11-13,9.75,9.75,9.75,9.75,0,9.75,9.77,9.75,10.5,0.0,0.0,0.0,0.08
2018-11-14,9.75,9.75,9.75,9.75,0,9.75,9.77,9.75,9.79,0.0,0.0,0.0,0.0
2018-11-15,9.75,9.75,9.75,9.75,0,9.77,9.75,10.5,9.78,0.0,0.0,0.08,0.0
2018-11-16,9.77,9.77,9.77,9.77,503,9.77,9.75,9.79,9.78,0.0,-0.0,0.0,0.0
2018-11-19,9.77,9.77,9.77,9.77,0,9.75,10.5,9.78,10.07,-0.0,0.07,0.0,0.03
2018-11-20,9.75,9.75,9.75,9.75,200000,9.75,9.79,9.78,9.79,0.0,0.0,0.0,0.0
2018-11-21,9.75,9.75,9.75,9.75,1,10.5,9.78,10.07,9.79,0.08,0.0,0.03,0.0
2018-11-23,10.5,10.5,10.5,10.5,102,9.79,9.78,9.79,9.8,-0.07,-0.07,-0.07,-0.07
2018-11-26,9.8,9.8,9.75,9.79,2400,9.78,10.07,9.79,9.8,-0.0,0.03,-0.0,0.0
2018-11-27,9.78,9.78,9.78,9.78,150003,9.78,9.79,9.8,9.81,0.0,0.0,0.0,0.0
2018-11-28,9.78,9.79,9.78,9.78,52300,10.07,9.79,9.8,9.9,0.03,0.0,0.0,0.01
2018-11-29,9.81,10.07,9.81,10.07,150800,9.79,9.8,9.81,9.9,-0.0,-0.0,0.0,0.01
2018-11-30,9.85,9.85,9.78,9.79,31602,9.79,9.8,9.9,9.82,-0.01,-0.01,0.01,-0.0
2018-12-03,9.79,9.79,9.79,9.79,400,9.8,9.81,9.9,9.78,0.0,0.0,0.01,-0.0
2018-12-04,9.8,9.8,9.8,9.8,1100,9.8,9.9,9.82,9.75,0.0,0.01,0.0,-0.01
2018-12-06,9.8,9.8,9.8,9.8,320,9.81,9.9,9.78,9.75,0.0,0.01,-0.0,-0.01
2018-12-07,9.81,9.81,9.8,9.81,98192,9.9,9.82,9.75,9.78,0.01,0.0,-0.01,-0.0
2018-12-10,9.79,9.9,9.79,9.9,86058,9.9,9.78,9.75,9.78,0.01,-0.0,-0.0,-0.0
2018-12-11,9.9,9.9,9.9,9.9,0,9.82,9.75,9.78,9.78,-0.01,-0.02,-0.01,-0.01
2018-12-12,9.8,9.82,9.8,9.82,75144,9.78,9.75,9.78,9.78,-0.0,-0.01,-0.0,-0.0
2018-12-13,9.83,9.83,9.78,9.78,100100,9.75,9.78,9.78,9.78,-0.01,-0.01,-0.01,-0.01
2018-12-14,9.75,9.75,9.75,9.75,100,9.75,9.78,9.78,9.78,0.0,0.0,0.0,0.0
2018-12-18,9.75,9.75,9.75,9.75,0,9.78,9.78,9.78,9.85,0.0,0.0,0.0,0.01
2018-12-19,9.78,9.78,9.78,9.78,100,9.78,9.78,9.78,9.86,0.0,0.0,0.0,0.01
2018-12-20,9.78,9.78,9.78,9.78,0,9.78,9.78,9.85,9.86,0.0,0.0,0.01,0.01
2018-12-21,9.78,9.78,9.78,9.78,0,9.78,9.78,9.86,9.86,0.0,0.0,0.01,0.01
2018-12-24,9.78,9.78,9.78,9.78,0,9.78,9.85,9.86,9.82,0.0,0.01,0.01,0.0
2018-12-26,9.78,9.78,9.78,9.78,0,9.78,9.86,9.86,9.82,0.0,0.01,0.01,0.0
2018-12-27,9.78,9.78,9.78,9.78,0,9.85,9.86,9.82,9.82,0.01,0.01,0.0,0.0
2018-12-28,9.8,9.85,9.8,9.85,32100,9.86,9.86,9.82,9.82,0.01,0.01,0.0,0.0
2019-01-03,9.8,9.88,9.8,9.86,71944,9.86,9.82,9.82,9.9,0.01,0.0,0.0,0.01
2019-01-04,9.86,9.86,9.86,9.86,0,9.86,9.82,9.82,9.9,0.0,-0.0,-0.0,0.0
2019-01-07,9.86,9.86,9.86,9.86,0,9.82,9.82,9.9,9.92,-0.0,-0.0,0.0,0.01
2019-01-08,9.82,9.82,9.82,9.82,2916,9.82,9.82,9.9,9.9,0.0,0.0,0.01,0.01
2019-01-09,9.82,9.82,9.82,9.82,0,9.82,9.9,9.92,9.91,0.0,0.01,0.01,0.01
2019-01-10,9.82,9.82,9.82,9.82,0,9.82,9.9,9.9,9.95,0.0,0.01,0.01,0.01
2019-01-11,9.82,9.82,9.82,9.82,0,9.9,9.92,9.91,9.95,0.01,0.01,0.01,0.01
2019-01-14,9.85,9.9,9.85,9.9,10200,9.9,9.9,9.95,9.95,0.01,0.01,0.01,0.01
2019-01-15,9.9,9.9,9.9,9.9,0,9.92,9.91,9.95,9.97,0.0,0.0,0.01,0.01
2019-01-16,9.89,9.92,9.89,9.92,18200,9.9,9.95,9.95,9.97,0.0,0.01,0.01,0.01
2019-01-17,9.9,9.9,9.89,9.9,7400,9.91,9.95,9.97,9.98,0.0,0.01,0.01,0.01
2019-01-18,9.91,9.91,9.91,9.91,5200,9.95,9.95,9.97,9.98,0.0,0.0,0.01,0.01
2019-01-22,9.91,9.96,9.91,9.95,42201,9.95,9.97,9.98,9.98,0.0,0.01,0.01,0.01
2019-01-23,9.95,9.95,9.95,9.95,0,9.95,9.97,9.98,10.0,0.0,0.0,0.0,0.01
2019-01-24,9.95,9.95,9.95,9.95,0,9.97,9.98,9.98,10.0,0.0,0.0,0.0,0.01
2019-01-25,9.95,9.97,9.95,9.97,20303,9.97,9.98,10.0,10.02,0.0,0.0,0.01,0.01
2019-01-28,9.97,9.97,9.97,9.97,0,9.98,9.98,10.0,10.01,0.0,0.0,0.0,0.0
2019-01-29,9.98,9.99,9.98,9.98,32000,9.98,10.0,10.02,10.04,0.0,0.0,0.0,0.01
2019-01-30,9.98,9.98,9.98,9.98,1,9.98,10.0,10.01,10.04,0.0,0.0,0.0,0.01
2019-01-31,9.98,9.98,9.98,9.98,1,10.0,10.02,10.04,10.05,0.0,0.0,0.01,0.01
2019-02-01,10.0,10.0,10.0,10.0,2662,10.0,10.01,10.04,10.05,0.0,0.0,0.0,0.01
2019-02-04,10.0,10.0,10.0,10.0,43,10.02,10.04,10.05,10.05,0.0,0.0,0.01,0.01
2019-02-05,10.02,10.02,10.02,10.02,10003,10.01,10.04,10.05,10.05,-0.0,0.0,0.0,0.0
2019-02-06,10.0,10.01,10.0,10.01,1028,10.04,10.05,10.05,10.01,0.0,0.01,0.01,0.0
2019-02-07,10.02,10.04,10.02,10.04,3502,10.04,10.05,10.05,10.02,0.0,0.0,0.0,0.0
2019-02-08,10.04,10.04,10.04,10.04,2,10.05,10.05,10.01,10.05,0.0,0.0,-0.0,0.0
2019-02-11,9.97,10.05,9.97,10.05,12909,10.05,10.05,10.02,10.05,0.01,0.01,0.0,0.01
2019-02-12,10.05,10.05,10.05,10.05,1939,10.05,10.01,10.05,10.05,0.0,-0.0,0.0,0.0
2019-02-13,10.1,10.1,10.02,10.05,79102,10.05,10.02,10.05,10.06,-0.0,-0.01,-0.0,-0.0
2019-02-14,10.05,10.05,10.05,10.05,0,10.01,10.05,10.05,10.06,-0.0,0.0,0.0,0.0
2019-02-15,10.01,10.01,10.01,10.01,5000,10.02,10.05,10.06,10.15,0.0,0.0,0.0,0.01
2019-02-19,10.02,10.02,10.02,10.02,505,10.05,10.05,10.06,10.06,0.0,0.0,0.0,0.0
2019-02-20,10.05,10.05,10.04,10.05,655474,10.05,10.06,10.15,10.12,0.0,0.0,0.01,0.01
2019-02-21,10.05,10.05,10.04,10.05,7330,10.05,10.06,10.06,10.12,0.0,0.0,0.0,0.01
2019-02-22,10.09,10.09,10.03,10.05,3100,10.06,10.15,10.12,10.12,-0.0,0.01,0.0,0.0
2019-02-25,10.06,10.06,10.06,10.06,206,10.06,10.06,10.12,10.12,0.0,0.0,0.01,0.01
2019-02-26,10.06,10.06,10.06,10.06,2,10.15,10.12,10.12,10.07,0.01,0.01,0.01,0.0
2019-02-27,10.06,10.15,10.06,10.15,37729,10.06,10.12,10.12,10.07,0.0,0.01,0.01,0.0
2019-02-28,10.2,10.56,10.06,10.06,1902,10.12,10.12,10.07,10.09,-0.01,-0.01,-0.01,-0.01
2019-03-01,10.12,10.12,10.12,10.12,200,10.12,10.12,10.07,10.05,-0.0,-0.0,-0.01,-0.01
2019-03-04,10.12,10.12,10.12,10.12,0,10.12,10.07,10.09,10.05,0.0,-0.0,-0.0,-0.01
2019-03-05,10.12,10.12,10.12,10.12,3,10.12,10.07,10.05,10.05,-0.0,-0.01,-0.01,-0.01
2019-03-06,10.12,10.12,10.12,10.12,0,10.07,10.09,10.05,10.06,-0.0,-0.0,-0.01,-0.01
2019-03-07,10.07,10.07,10.07,10.07,60500,10.07,10.05,10.05,10.09,0.0,-0.0,-0.0,0.0
2019-03-08,10.07,10.07,10.07,10.07,0,10.09,10.05,10.06,10.09,0.0,-0.0,-0.0,0.0
2019-03-11,10.08,10.09,10.08,10.09,1120,10.05,10.05,10.09,10.09,-0.0,-0.0,0.0,0.0
2019-03-12,10.06,10.09,10.05,10.05,5520,10.05,10.06,10.09,10.09,-0.0,0.0,0.0,0.0
2019-03-13,10.05,10.05,10.05,10.05,0,10.05,10.09,10.09,10.09,0.0,0.0,0.0,0.0
2019-03-14,10.05,10.05,10.05,10.05,2,10.06,10.09,10.09,10.09,0.0,0.0,0.0,0.0
2019-03-18,10.06,10.06,10.06,10.06,1010,10.09,10.09,10.09,10.09,0.0,0.0,0.0,0.0
2019-03-19,10.09,10.09,10.09,10.09,5102,10.09,10.09,10.09,10.1,0.0,0.0,0.0,0.0
2019-03-20,10.09,10.09,10.09,10.09,200,10.09,10.09,10.09,10.07,0.0,0.0,0.0,-0.0
2019-03-21,10.05,10.09,10.05,10.09,4000,10.09,10.09,10.1,10.07,0.0,0.0,0.0,0.0
2019-03-22,10.09,10.09,10.09,10.09,0,10.09,10.09,10.07,10.1,0.0,0.0,-0.0,0.0
2019-03-25,10.09,10.09,10.09,10.09,0,10.09,10.1,10.07,10.1,0.0,0.0,-0.0,0.0
2019-03-26,10.09,10.09,10.09,10.09,0,10.09,10.07,10.1,10.11,0.0,-0.0,0.0,0.0
2019-03-27,10.09,10.09,10.09,10.09,0,10.1,10.07,10.1,10.12,0.0,-0.0,0.0,0.0
2019-03-28,10.09,10.1,10.05,10.1,32901,10.07,10.1,10.11,10.12,-0.0,0.0,0.0,0.0
2019-03-29,10.09,10.1,10.07,10.07,13969,10.07,10.1,10.12,10.14,-0.0,0.0,0.0,0.0
2019-04-01,10.07,10.07,10.07,10.07,0,10.1,10.11,10.12,10.14,0.0,0.0,0.0,0.01
2019-04-02,10.1,10.1,10.1,10.1,8100,10.1,10.12,10.14,10.13,0.0,0.0,0.0,0.0
2019-04-03,10.1,10.1,10.1,10.1,287,10.11,10.12,10.14,10.13,0.0,0.0,0.0,0.0
2019-04-04,10.11,10.11,10.11,10.11,332942,10.12,10.14,10.13,10.14,0.0,0.0,0.0,0.0
2019-04-05,10.12,10.12,10.12,10.12,833,10.12,10.14,10.13,10.14,0.0,0.0,0.0,0.0
2019-04-08,10.12,10.12,10.12,10.12,0,10.14,10.13,10.14,10.14,0.0,0.0,0.0,0.0
2019-04-09,10.14,10.14,10.14,10.14,6000,10.14,10.13,10.14,10.14,0.0,-0.0,0.0,0.0
2019-04-10,10.14,10.14,10.14,10.14,200,10.13,10.14,10.14,10.14,-0.0,0.0,0.0,0.0
2019-04-11,10.13,10.13,10.1,10.13,7200,10.13,10.14,10.14,10.15,0.0,0.0,0.0,0.0
2019-04-12,10.13,10.13,10.13,10.13,0,10.14,10.14,10.14,10.15,0.0,0.0,0.0,0.0
2019-04-15,10.14,10.14,10.14,10.14,10000,10.14,10.14,10.15,10.17,0.0,0.0,0.0,0.0
2019-04-16,10.14,10.14,10.14,10.14,4000,10.14,10.14,10.15,10.17,0.0,0.0,0.0,0.0
2019-04-17,10.14,10.15,10.14,10.14,6300,10.14,10.15,10.17,10.17,0.0,0.0,0.0,0.0
2019-04-18,10.17,10.18,10.14,10.14,26100,10.14,10.15,10.17,10.17,-0.0,-0.0,0.0,0.0
2019-04-22,10.14,10.14,10.14,10.14,0,10.15,10.17,10.17,10.18,0.0,0.0,0.0,0.0
2019-04-23,10.14,10.15,10.14,10.15,3200,10.15,10.17,10.17,10.21,0.0,0.0,0.0,0.01
2019-04-24,10.15,10.15,10.15,10.15,0,10.17,10.17,10.18,10.21,0.0,0.0,0.0,0.01
2019-04-25,10.17,10.17,10.17,10.17,3200,10.17,10.17,10.21,10.21,0.0,0.0,0.0,0.0
2019-04-26,10.17,10.17,10.17,10.17,2000,10.17,10.18,10.21,10.21,0.0,0.0,0.0,0.0
2019-04-29,10.17,10.17,10.17,10.17,3,10.17,10.21,10.21,10.18,0.0,0.0,0.0,0.0
2019-04-30,10.17,10.17,10.17,10.17,2,10.18,10.21,10.21,10.18,0.0,0.0,0.0,0.0
2019-05-01,10.19,10.19,10.18,10.18,233152,10.21,10.21,10.18,10.22,0.0,0.0,-0.0,0.0
2019-05-02,10.2,10.21,10.2,10.21,5203,10.21,10.21,10.18,10.22,0.0,0.0,-0.0,0.0
2019-05-03,10.21,10.21,10.21,10.21,1,10.21,10.18,10.22,10.22,0.0,-0.0,0.0,0.0
2019-05-06,10.21,10.21,10.21,10.21,0,10.21,10.18,10.22,10.21,0.0,-0.0,0.0,0.0
2019-05-07,10.21,10.21,10.21,10.21,0,10.18,10.22,10.22,10.21,-0.0,0.0,0.0,0.0
2019-05-08,10.18,10.18,10.18,10.18,18166,10.18,10.22,10.21,10.21,0.0,0.0,0.0,0.0
2019-05-09,10.18,10.18,10.18,10.18,2,10.22,10.22,10.21,10.21,0.0,0.0,0.0,0.0
2019-05-10,10.19,10.22,10.19,10.22,31701,10.22,10.21,10.21,10.21,0.0,0.0,0.0,0.0
2019-05-13,10.22,10.22,10.22,10.22,0,10.22,10.21,10.21,10.21,0.0,-0.0,-0.0,-0.0
2019-05-14,10.22,10.22,10.22,10.22,0,10.21,10.21,10.21,10.2,-0.0,-0.0,-0.0,-0.0
2019-05-15,10.21,10.21,10.21,10.21,300,10.21,10.21,10.21,10.2,0.0,0.0,0.0,-0.0
2019-05-16,10.21,10.21,10.21,10.21,175340,10.21,10.21,10.2,10.24,0.0,0.0,-0.0,0.0
2019-05-17,10.21,10.21,10.21,10.21,0,10.21,10.21,10.2,10.24,0.0,0.0,-0.0,0.0
2019-05-20,10.21,10.21,10.21,10.21,0,10.21,10.2,10.24,10.24,0.0,-0.0,0.0,0.0
2019-05-21,10.21,10.21,10.21,10.21,0,10.21,10.2,10.24,10.24,0.0,-0.0,0.0,0.0
2019-05-22,10.21,10.21,10.21,10.21,0,10.2,10.24,10.24,10.23,-0.0,0.0,0.0,0.0
2019-05-23,10.2,10.2,10.2,10.2,387,10.2,10.24,10.24,10.19,0.0,0.0,0.0,-0.0
2019-05-24,10.2,10.2,10.2,10.2,0,10.24,10.24,10.23,10.19,0.0,0.0,0.0,-0.0
2019-05-28,9.93,10.24,9.93,10.24,887,10.24,10.24,10.19,10.25,0.03,0.03,0.03,0.03
2019-05-29,10.24,10.24,10.24,10.24,0,10.24,10.23,10.19,10.27,0.0,-0.0,-0.0,0.0
2019-05-30,10.24,10.24,10.24,10.24,0,10.24,10.19,10.25,10.27,0.0,-0.0,0.0,0.0
2019-05-31,10.24,10.24,10.24,10.24,0,10.23,10.19,10.27,10.27,-0.0,-0.0,0.0,0.0
2019-06-03,10.24,10.24,10.23,10.23,25160,10.19,10.25,10.27,10.27,-0.0,0.0,0.0,0.0
2019-06-05,10.22,10.24,10.03,10.19,2900,10.19,10.27,10.27,10.27,-0.0,0.0,0.0,0.0
2019-06-06,10.19,10.19,10.19,10.19,0,10.25,10.27,10.27,10.27,0.01,0.01,0.01,0.01
2019-06-07,10.25,10.25,10.25,10.25,5000,10.27,10.27,10.27,10.27,0.0,0.0,0.0,0.0
2019-06-11,10.27,10.27,10.27,10.27,1000,10.27,10.27,10.27,10.27,0.0,0.0,-0.0,0.0
2019-06-12,10.27,10.27,10.27,10.27,0,10.27,10.27,10.27,10.27,-0.0,0.0,0.0,0.0
