date,open,high,low,close,volume,close_t+1,close_t+3,close_t+5,close_t+7,open_close_t+1_%chg,open_close_t+3_%chg,open_close_t+5_%chg,open_close_t+7_%chg
2019-05-14,9.7,9.7,9.7,9.7,5000,9.68,9.68,9.68,9.7,-0.0,-0.0,-0.0,0.0
2019-05-15,9.68,9.68,9.68,9.68,50000,9.68,9.68,9.68,9.7,0.0,0.0,0.0,0.0
2019-05-16,9.68,9.68,9.68,9.68,0,9.68,9.68,9.7,9.7,0.0,0.0,0.0,0.0
2019-05-17,9.68,9.68,9.68,9.68,50000,9.68,9.68,9.7,9.7,0.0,0.0,0.0,0.0
2019-05-20,9.68,9.68,9.68,9.68,0,9.68,9.7,9.7,9.7,0.0,0.0,0.0,0.0
2019-05-21,9.68,9.68,9.68,9.68,0,9.68,9.7,9.7,9.7,0.0,0.0,0.0,0.0
2019-05-22,9.68,9.68,9.68,9.68,0,9.7,9.7,9.7,9.7,0.0,0.0,0.0,0.0
2019-05-23,9.7,9.7,9.7,9.7,20000,9.7,9.7,9.7,9.7,0.0,0.0,0.0,0.0
2019-05-24,9.7,9.7,9.7,9.7,0,9.7,9.7,9.7,9.7,0.0,0.0,0.0,0.0
2019-05-28,9.7,9.7,9.7,9.7,0,9.7,9.7,9.7,9.7,0.0,0.0,0.0,0.0
2019-05-29,9.7,9.7,9.7,9.7,0,9.7,9.7,9.7,9.7,0.0,0.0,0.0,0.0
2019-05-30,9.7,9.7,9.7,9.7,0,9.7,9.7,9.7,9.71,0.0,0.0,0.0,0.0
2019-05-31,9.7,9.7,9.7,9.7,0,9.7,9.7,9.7,9.71,0.0,0.0,0.0,0.0
2019-06-03,9.7,9.7,9.7,9.7,0,9.7,9.7,9.71,9.71,0.0,0.0,0.0,0.0
2019-06-05,9.7,9.7,9.7,9.7,0,9.7,9.7,9.71,9.71,0.0,0.0,0.0,0.0
2019-06-06,9.7,9.7,9.7,9.7,55000,9.7,9.71,9.71,9.71,0.0,0.0,0.0,0.0
2019-06-10,9.7,9.7,9.7,9.7,100000,9.7,9.71,9.71,9.7,0.0,0.0,0.0,0.0
2019-06-11,9.7,9.7,9.7,9.7,0,9.71,9.71,9.71,9.72,0.0,0.0,0.0,0.0
2019-06-12,9.71,9.71,9.71,9.71,602601,9.71,9.71,9.7,9.72,0.0,0.0,-0.0,0.0
2019-06-13,9.71,9.71,9.71,9.71,0,9.71,9.71,9.72,9.73,0.0,0.0,0.0,0.0
2019-06-14,9.73,9.73,9.71,9.71,17701,9.71,9.7,9.72,9.73,-0.0,-0.0,-0.0,0.0
2019-06-17,9.71,9.71,9.71,9.71,1500,9.71,9.72,9.73,9.75,0.0,0.0,0.0,0.0
2019-06-18,9.71,9.75,9.71,9.71,514399,9.7,9.72,9.73,9.75,-0.0,0.0,0.0,0.0
2019-06-19,9.74,9.74,9.7,9.7,57401,9.72,9.73,9.75,9.75,-0.0,-0.0,0.0,0.0
2019-06-20,9.71,9.74,9.71,9.72,1436700,9.72,9.73,9.75,9.79,0.0,0.0,0.0,0.01
2019-06-21,9.72,9.72,9.72,9.72,0,9.73,9.75,9.75,9.74,0.0,0.0,0.0,0.0
2019-06-24,9.73,9.73,9.72,9.73,3403,9.73,9.75,9.79,9.74,0.0,0.0,0.01,0.0
2019-06-25,9.73,9.73,9.73,9.73,205200,9.75,9.75,9.74,9.8,0.0,0.0,0.0,0.01
2019-06-26,9.75,9.75,9.75,9.75,2000,9.75,9.79,9.74,9.8,0.0,0.0,-0.0,0.01
