date,open,high,low,close,volume,close_t+1,close_t+3,close_t+5,close_t+7,open_close_t+1_%chg,open_close_t+3_%chg,open_close_t+5_%chg,open_close_t+7_%chg
2019-11-05,1.0,1.2,1.0,1.0,1014300,1.0,1.2,1.05,1.25,0.0,0.2,0.05,0.25
2019-11-06,0.98,1.0,0.9,1.0,176100,0.99,1.2,1.1,1.25,0.01,0.22,0.12,0.28
2019-11-13,0.99,0.99,0.99,0.99,100,1.2,1.05,1.25,1.15,0.21,0.06,0.26,0.16
2019-11-25,0.99,1.2,0.99,1.2,11700,1.2,1.1,1.25,1.25,0.21,0.11,0.26,0.26
2019-11-27,0.9,1.2,0.9,1.2,5500,1.05,1.25,1.15,1.25,0.16,0.39,0.28,0.39
2019-12-19,1.0,1.2,1.0,1.05,30400,1.1,1.25,1.25,1.2,0.1,0.25,0.25,0.2
2019-12-24,1.25,1.25,1.1,1.1,30500,1.25,1.15,1.25,1.2,0.0,-0.08,0.0,-0.04
2019-12-27,1.25,1.25,1.12,1.25,85600,1.25,1.25,1.2,1.2,0.0,0.0,-0.04,-0.04
2019-12-30,1.25,1.25,1.25,1.25,917,1.15,1.25,1.2,1.2,-0.08,0.0,-0.04,-0.04
2019-12-31,0.92,1.25,0.91,1.15,10100,1.25,1.2,1.2,1.25,0.37,0.31,0.31,0.37
2020-01-06,1.23,1.25,1.23,1.25,1999,1.25,1.2,1.2,1.25,0.02,-0.02,-0.02,0.02
2020-01-07,1.25,1.25,1.25,1.25,180,1.2,1.2,1.25,1.25,-0.04,-0.04,0.0,0.0
2020-01-08,1.2,1.2,1.2,1.2,1000,1.2,1.2,1.25,1.25,0.0,0.0,0.04,0.04
2020-01-09,1.2,1.2,1.2,1.2,150000,1.2,1.25,1.25,1.28,0.0,0.04,0.04,0.07
2020-01-10,1.25,1.25,1.2,1.2,145633,1.2,1.25,1.25,1.34,-0.04,0.0,0.0,0.07
2020-01-13,1.2,1.2,1.2,1.2,163000,1.25,1.25,1.28,1.4,0.04,0.04,0.07,0.17
2020-01-16,1.25,1.25,1.25,1.25,1737,1.25,1.25,1.34,1.25,0.0,0.0,0.07,0.0
2020-01-17,1.25,1.25,1.25,1.25,580,1.25,1.28,1.4,1.26,0.0,0.02,0.12,0.01
2020-01-21,1.25,1.3,1.21,1.25,106920,1.25,1.34,1.25,1.26,0.0,0.07,0.0,0.01
2020-01-22,1.25,1.25,1.21,1.25,250630,1.28,1.4,1.26,1.25,0.02,0.12,0.01,0.0
2020-01-23,1.25,1.28,1.25,1.28,166298,1.34,1.25,1.26,1.25,0.07,0.0,0.01,0.0
2020-01-24,1.34,1.34,1.34,1.34,100,1.4,1.26,1.25,1.35,0.05,-0.06,-0.07,0.01
2020-01-27,1.3,1.4,1.3,1.4,102510,1.25,1.26,1.25,1.3,-0.03,-0.03,-0.04,0.0
2020-01-28,1.25,1.25,1.25,1.25,1405,1.26,1.25,1.35,1.3,0.01,0.0,0.08,0.04
2020-01-30,1.3,1.3,1.26,1.26,1707,1.26,1.25,1.3,1.3,-0.03,-0.04,0.0,0.0
2020-01-31,0.8,1.26,0.8,1.26,380,1.25,1.35,1.3,1.3,0.56,0.68,0.62,0.62
2020-02-03,1.25,1.26,1.25,1.25,8950,1.25,1.3,1.3,1.37,0.0,0.04,0.04,0.1
2020-02-05,1.26,1.26,1.25,1.25,75500,1.35,1.3,1.3,1.37,0.07,0.03,0.03,0.09
2020-02-07,1.25,1.35,1.25,1.35,27400,1.3,1.3,1.37,1.37,0.04,0.04,0.1,0.1
2020-02-11,1.3,1.3,1.3,1.3,100,1.3,1.3,1.37,1.4,0.0,0.0,0.05,0.08
