date,open,high,low,close,volume,close_t+1,close_t+3,close_t+5,close_t+7,open_close_t+1_%chg,open_close_t+3_%chg,open_close_t+5_%chg,open_close_t+7_%chg
2018-07-13,0.4,0.45,0.35,0.36,4140649,0.36,0.35,0.35,0.35,-0.1,-0.13,-0.13,-0.13
2018-07-16,0.38,0.38,0.35,0.36,210400,0.36,0.36,0.34,0.35,-0.05,-0.05,-0.1,-0.08
2018-07-17,0.36,0.36,0.35,0.36,610100,0.35,0.35,0.35,0.35,-0.03,-0.03,-0.03,-0.02
2018-07-18,0.37,0.37,0.35,0.35,221218,0.36,0.34,0.35,0.36,-0.03,-0.07,-0.05,-0.03
2018-07-19,0.36,0.38,0.34,0.36,1256600,0.35,0.35,0.35,0.35,-0.03,-0.03,-0.02,-0.03
2018-07-20,0.35,0.36,0.34,0.35,441439,0.34,0.35,0.36,0.35,-0.02,0.0,0.03,0.0
2018-07-23,0.35,0.35,0.34,0.34,16925,0.35,0.35,0.35,0.35,0.0,0.01,0.0,-0.01
2018-07-24,0.35,0.35,0.35,0.35,309918,0.35,0.36,0.35,0.35,0.0,0.03,0.0,0.0
2018-07-25,0.37,0.37,0.35,0.35,7997,0.35,0.35,0.35,0.35,-0.05,-0.05,-0.06,-0.05
2018-07-26,0.36,0.36,0.34,0.35,36900,0.36,0.35,0.35,0.35,0.0,-0.03,-0.03,-0.03
2018-07-27,0.34,0.36,0.32,0.36,27800,0.35,0.35,0.35,0.35,0.03,0.02,0.03,0.03
2018-07-30,0.35,0.35,0.35,0.35,220000,0.35,0.35,0.35,0.35,0.0,0.0,0.0,0.0
2018-07-31,0.35,0.35,0.35,0.35,10000,0.35,0.35,0.35,0.35,-0.01,0.0,0.0,0.0
2018-08-01,0.35,0.35,0.35,0.35,5600,0.35,0.35,0.35,0.35,0.0,0.0,0.0,0.0
2018-08-02,0.31,0.35,0.31,0.35,37410,0.35,0.35,0.35,0.35,0.13,0.13,0.13,0.13
2018-08-06,0.35,0.35,0.34,0.35,96700,0.35,0.35,0.35,0.35,0.0,0.0,0.0,0.0
2018-08-07,0.36,0.36,0.35,0.35,15200,0.35,0.35,0.35,0.36,-0.03,-0.03,-0.03,0.0
2018-08-08,0.35,0.35,0.34,0.35,59300,0.35,0.35,0.35,0.36,0.0,0.0,0.0,0.03
2018-08-09,0.35,0.35,0.35,0.35,7700,0.35,0.35,0.36,0.35,0.0,0.0,0.03,0.0
2018-08-10,0.35,0.35,0.35,0.35,400,0.35,0.35,0.36,0.35,0.0,0.0,0.03,0.0
2018-08-13,0.35,0.35,0.35,0.35,57150,0.35,0.36,0.35,0.36,0.0,0.03,0.0,0.03
2018-08-14,0.35,0.35,0.35,0.35,57100,0.35,0.36,0.35,0.35,0.0,0.03,0.0,0.0
2018-08-15,0.37,0.37,0.35,0.35,114306,0.36,0.35,0.36,0.35,-0.03,-0.05,-0.03,-0.05
2018-08-16,0.35,0.36,0.3,0.36,60800,0.36,0.35,0.35,0.35,0.03,0.0,0.0,0.0
2018-08-20,0.36,0.36,0.36,0.36,1700,0.35,0.36,0.35,0.33,-0.03,0.0,-0.03,-0.08
2018-08-21,0.36,0.36,0.35,0.35,17800,0.35,0.35,0.35,0.33,-0.03,-0.03,-0.03,-0.08
2018-08-22,0.35,0.35,0.35,0.35,85000,0.36,0.35,0.33,0.33,0.03,0.0,-0.06,-0.06
2018-08-27,0.36,0.36,0.36,0.36,500,0.35,0.35,0.33,0.34,-0.03,-0.03,-0.08,-0.07
2018-08-28,0.35,0.35,0.34,0.35,40186,0.35,0.33,0.33,0.32,0.0,-0.06,-0.06,-0.09
2018-08-31,0.35,0.35,0.35,0.35,200,0.35,0.33,0.34,0.33,0.0,-0.06,-0.04,-0.06
2018-09-04,0.36,0.36,0.35,0.35,53271,0.33,0.33,0.32,0.33,-0.08,-0.08,-0.11,-0.08
2018-09-05,0.34,0.34,0.33,0.33,66700,0.33,0.34,0.33,0.33,-0.03,-0.01,-0.03,-0.03
2018-09-06,0.33,0.33,0.33,0.33,5000,0.33,0.32,0.33,0.39,0.0,-0.03,0.0,0.2
2018-09-07,0.33,0.33,0.33,0.33,60000,0.34,0.33,0.33,0.33,0.02,0.0,0.0,0.0
2018-09-10,0.34,0.34,0.34,0.34,34800,0.32,0.33,0.39,0.39,-0.06,-0.03,0.16,0.15
2018-09-11,0.34,0.34,0.31,0.32,214028,0.33,0.33,0.33,0.36,-0.01,-0.01,-0.01,0.07
2018-09-12,0.33,0.33,0.33,0.33,17000,0.33,0.39,0.39,0.4,0.0,0.2,0.18,0.21
