date,open,high,low,close,volume,close_t+1,close_t+3,close_t+5,close_t+7,open_close_t+1_%chg,open_close_t+3_%chg,open_close_t+5_%chg,open_close_t+7_%chg
2020-04-08,1.0,1.0,1.0,1.0,5000,1.5,1.5,1.5,1.5,0.5,0.5,0.5,0.5
2020-04-15,1.5,1.5,1.5,1.5,1300,1.5,1.48,1.5,1.5,0.0,-0.01,0.0,0.0
2020-04-16,1.5,1.5,1.5,1.5,41,1.5,1.5,1.5,1.45,0.0,0.0,0.0,-0.03
2020-04-17,1.5,1.5,1.5,1.5,190,1.48,1.5,1.5,1.3,-0.01,0.0,0.0,-0.13
2020-04-21,1.27,1.48,1.27,1.48,12600,1.5,1.5,1.45,1.3,0.18,0.18,0.14,0.02
2020-04-27,1.35,1.5,1.35,1.5,200,1.5,1.5,1.3,1.3,0.11,0.11,-0.04,-0.04
2020-04-28,1.5,1.5,1.5,1.5,4799,1.5,1.45,1.3,1.15,0.0,-0.03,-0.13,-0.23
2020-05-05,1.5,1.5,1.5,1.5,2601,1.5,1.3,1.3,1.07,0.0,-0.13,-0.13,-0.29
2020-05-06,1.5,1.5,1.5,1.5,1328,1.45,1.3,1.15,1.5,-0.03,-0.13,-0.23,0.0
2020-05-11,1.45,1.45,1.45,1.45,4009,1.3,1.3,1.07,1.29,-0.1,-0.1,-0.26,-0.11
2020-05-15,1.25,1.3,1.25,1.3,846,1.3,1.15,1.5,1.48,0.04,-0.08,0.2,0.18
2020-05-18,1.3,1.3,1.3,1.3,1,1.3,1.07,1.29,1.48,0.0,-0.18,-0.01,0.14
2020-05-19,1.3,1.3,1.3,1.3,2,1.15,1.5,1.48,1.44,-0.12,0.15,0.14,0.11
2020-05-20,1.15,1.15,1.15,1.15,1200,1.07,1.29,1.48,1.48,-0.07,0.12,0.29,0.29
2020-05-21,1.15,1.15,1.02,1.07,1901,1.5,1.48,1.44,1.44,0.3,0.29,0.25,0.25
2020-05-28,1.5,1.5,1.5,1.5,102,1.29,1.48,1.48,1.48,-0.14,-0.01,-0.01,-0.01
2020-06-09,1.48,1.48,1.29,1.29,2200,1.48,1.44,1.44,1.48,0.0,-0.03,-0.03,0.0
2020-06-10,1.48,1.48,1.29,1.48,26085,1.48,1.48,1.48,1.65,-0.0,0.0,0.0,0.11
2020-06-11,1.48,1.48,1.4,1.48,25571,1.44,1.44,1.48,1.62,-0.03,-0.03,0.0,0.09
2020-06-12,1.44,1.44,1.44,1.44,111,1.48,1.48,1.65,1.59,0.03,0.03,0.15,0.11
2020-06-15,1.4,1.48,1.4,1.48,13750,1.44,1.48,1.62,1.6,0.03,0.06,0.16,0.14
2020-06-17,1.46,1.48,1.44,1.44,6098,1.48,1.65,1.59,1.74,0.02,0.13,0.09,0.2
2020-06-18,1.48,1.49,1.44,1.48,79804,1.48,1.62,1.6,1.8,0.0,0.09,0.08,0.22
2020-06-19,1.48,1.48,1.48,1.48,2,1.65,1.59,1.74,1.6,0.11,0.08,0.18,0.08
2020-06-23,1.5,1.65,1.5,1.65,8995,1.62,1.6,1.8,1.8,0.08,0.07,0.2,0.2
2020-06-24,1.62,1.65,1.62,1.62,6806,1.59,1.74,1.6,1.78,-0.02,0.07,-0.01,0.1
2020-06-25,1.55,1.6,1.55,1.59,2500,1.6,1.8,1.8,1.8,0.03,0.16,0.16,0.16
2020-06-26,1.6,1.6,1.6,1.6,508,1.74,1.6,1.78,1.8,0.09,0.0,0.11,0.12
2020-06-29,1.6,1.8,1.6,1.74,36472,1.8,1.8,1.8,1.8,0.12,0.12,0.12,0.12
2020-06-30,1.61,1.8,1.55,1.8,10929,1.6,1.78,1.8,1.91,-0.01,0.11,0.12,0.19
2020-07-01,1.8,1.8,1.6,1.6,20704,1.8,1.8,1.8,,0.0,0.0,0.0,
2020-07-02,1.79,1.8,1.79,1.8,12341,1.78,1.8,1.91,,-0.01,0.01,0.07,
2020-07-06,1.79,1.8,1.6,1.78,4200,1.8,1.8,,,0.01,0.01,,
2020-07-07,1.79,1.8,1.6,1.8,5600,1.8,1.91,,,0.01,0.07,,
2020-07-08,1.8,1.8,1.8,1.8,1700,1.8,,,,0.0,,,
2020-07-09,1.8,1.8,1.8,1.8,80,1.91,,,,0.06,,,
2020-07-10,1.6,2.0,1.6,1.91,14000,,,,,,,,
