date,open,high,low,close,volume,close_t+1,close_t+3,close_t+5,close_t+7,open_close_t+1_%chg,open_close_t+3_%chg,open_close_t+5_%chg,open_close_t+7_%chg
2020-06-18,10.95,11.5,10.7,10.8,474675,10.93,11.61,11.37,11.68,-0.0,0.06,0.04,0.07
2020-06-19,11.4,11.4,10.83,10.93,57368,11.36,11.25,11.28,11.75,-0.0,-0.01,-0.01,0.03
2020-06-22,11.11,12.82,10.9,11.36,526116,11.61,11.37,11.68,11.61,0.05,0.02,0.05,0.05
2020-06-23,11.65,12.23,11.25,11.61,321693,11.25,11.28,11.75,11.48,-0.03,-0.03,0.01,-0.01
2020-06-24,11.86,11.86,11.15,11.25,214841,11.37,11.68,11.61,11.4,-0.04,-0.02,-0.02,-0.04
2020-06-25,11.12,11.4,11.12,11.37,217788,11.28,11.75,11.48,11.4,0.01,0.06,0.03,0.03
2020-06-26,11.64,11.64,11.1,11.28,104128,11.68,11.61,11.4,11.45,0.0,-0.0,-0.02,-0.02
2020-06-29,11.39,12.07,11.36,11.68,305967,11.75,11.48,11.4,11.63,0.03,0.01,0.0,0.02
2020-06-30,12.09,12.09,11.6,11.75,395393,11.61,11.4,11.45,11.8,-0.04,-0.06,-0.05,-0.02
2020-07-01,11.75,11.8,11.61,11.61,264223,11.48,11.4,11.63,,-0.02,-0.03,-0.01,
2020-07-02,11.75,11.75,11.46,11.48,228203,11.4,11.45,11.8,,-0.03,-0.03,0.0,
2020-07-06,11.75,11.75,11.4,11.4,277700,11.4,11.63,,,-0.03,-0.01,,
2020-07-07,11.75,11.75,11.3,11.4,220000,11.45,11.8,,,-0.03,0.0,,
2020-07-08,11.57,11.57,11.3,11.45,206300,11.63,,,,0.01,,,
2020-07-09,11.7,11.74,11.55,11.63,167100,11.8,,,,0.01,,,
2020-07-10,11.75,11.8,11.6,11.8,433400,,,,,,,,
