date,open,high,low,close,volume,close_t+1,close_t+3,close_t+5,close_t+7,open_close_t+1_%chg,open_close_t+3_%chg,open_close_t+5_%chg,open_close_t+7_%chg
2019-03-28,10.05,10.06,10.03,10.03,752101,10.04,10.04,10.06,10.06,-0.0,-0.0,0.0,0.0
2019-03-29,10.04,10.04,10.02,10.04,58086,10.05,10.05,10.04,10.06,0.0,0.0,0.0,0.0
2019-04-01,10.04,10.06,10.04,10.05,86572,10.04,10.06,10.06,10.06,-0.0,0.0,0.0,0.0
2019-04-02,10.04,10.05,10.03,10.04,44314,10.05,10.04,10.06,10.05,0.0,0.0,0.0,0.0
2019-04-03,10.04,10.05,10.04,10.05,40900,10.06,10.06,10.06,10.06,0.0,0.0,0.0,0.0
2019-04-04,10.06,10.06,10.06,10.06,193,10.04,10.06,10.05,10.06,-0.0,0.0,-0.0,0.0
2019-04-05,10.05,10.05,10.04,10.04,50012,10.06,10.06,10.06,10.07,0.0,0.0,0.0,0.0
2019-04-08,10.06,10.06,10.06,10.06,904,10.06,10.05,10.06,10.07,0.0,-0.0,0.0,0.0
2019-04-09,10.06,10.06,10.06,10.06,10000,10.06,10.06,10.07,10.09,-0.0,0.0,0.0,0.0
2019-04-10,10.05,10.06,10.05,10.06,208,10.05,10.06,10.07,10.09,-0.0,0.0,0.0,0.0
2019-04-11,10.03,10.05,10.03,10.05,12501,10.06,10.07,10.09,10.08,0.0,0.0,0.01,0.0
2019-04-12,10.06,10.06,10.06,10.06,15000,10.06,10.07,10.09,10.08,0.0,0.0,0.0,0.0
2019-04-15,10.06,10.06,10.05,10.06,38310,10.07,10.09,10.08,10.07,0.0,0.0,0.0,0.0
2019-04-16,10.06,10.07,10.06,10.07,17189,10.07,10.09,10.08,10.07,0.0,0.0,0.0,0.0
2019-04-17,10.07,10.07,10.07,10.07,6575,10.09,10.08,10.07,10.07,0.0,0.0,0.0,0.0
2019-04-18,10.09,10.09,10.09,10.09,280,10.09,10.08,10.07,10.08,0.0,-0.0,-0.0,-0.0
2019-04-22,10.09,10.09,10.09,10.09,300,10.08,10.07,10.07,10.07,-0.0,-0.0,-0.0,-0.0
