date,open,high,low,close,volume,close_t+1,close_t+3,close_t+5,close_t+7,open_close_t+1_%chg,open_close_t+3_%chg,open_close_t+5_%chg,open_close_t+7_%chg
2018-02-26,9.65,9.65,9.65,9.65,10000,9.65,9.55,9.55,9.55,0.0,-0.01,-0.01,-0.01
2018-03-12,9.65,9.65,9.65,9.65,1,9.65,9.55,9.55,9.55,0.0,-0.01,-0.01,-0.01
2018-03-13,9.65,9.65,9.65,9.65,0,9.55,9.55,9.55,9.55,-0.01,-0.01,-0.01,-0.01
2018-03-14,9.57,9.57,9.55,9.55,14999,9.55,9.55,9.55,9.58,-0.0,-0.0,-0.0,0.0
2018-03-15,9.55,9.55,9.55,9.55,0,9.55,9.55,9.55,9.6,0.0,0.0,0.0,0.01
2018-03-16,9.55,9.55,9.55,9.55,0,9.55,9.55,9.58,9.6,0.0,0.0,0.0,0.01
2018-03-19,9.55,9.55,9.55,9.55,0,9.55,9.55,9.6,9.6,0.0,0.0,0.01,0.01
2018-03-20,9.55,9.55,9.55,9.55,841500,9.55,9.58,9.6,9.6,0.0,0.0,0.01,0.01
2018-03-21,9.55,9.55,9.55,9.55,0,9.55,9.6,9.6,9.65,0.0,0.01,0.01,0.01
2018-03-22,9.55,9.55,9.55,9.55,0,9.58,9.6,9.6,9.65,0.0,0.01,0.01,0.01
2018-03-23,9.55,9.58,9.55,9.58,1212,9.6,9.6,9.65,9.65,0.01,0.01,0.01,0.01
2018-03-26,9.55,9.6,9.55,9.6,44000,9.6,9.6,9.65,9.65,0.01,0.01,0.01,0.01
2018-03-27,9.6,9.65,9.56,9.6,10300,9.6,9.65,9.65,9.65,0.0,0.01,0.01,0.01
2018-03-28,9.6,9.6,9.6,9.6,0,9.6,9.65,9.65,9.65,0.0,0.01,0.01,0.01
2018-03-29,9.6,9.6,9.6,9.6,0,9.65,9.65,9.65,9.65,0.01,0.01,0.01,0.01
2018-04-02,9.65,9.65,9.65,9.65,800,9.65,9.65,9.65,9.65,0.0,0.0,0.0,0.0
2018-04-03,9.65,9.65,9.65,9.65,0,9.65,9.65,9.65,9.65,0.0,0.0,0.0,0.0
2018-04-04,9.65,9.65,9.65,9.65,0,9.65,9.65,9.65,9.65,0.0,0.0,0.0,0.0
2018-04-05,9.65,9.65,9.65,9.65,0,9.65,9.65,9.65,9.65,0.0,0.0,0.0,0.0
2018-04-06,9.65,9.65,9.65,9.65,0,9.65,9.65,9.65,9.65,0.0,0.0,0.0,0.0
2018-04-09,9.65,9.65,9.65,9.65,0,9.65,9.65,9.65,9.65,0.0,0.0,0.0,0.0
2018-04-10,9.65,9.65,9.65,9.65,0,9.65,9.65,9.65,9.65,0.0,0.0,0.0,0.0
2018-04-11,9.65,9.65,9.65,9.65,0,9.65,9.65,9.65,9.6,0.0,0.0,0.0,-0.01
2018-04-12,9.65,9.65,9.65,9.65,0,9.65,9.65,9.65,9.6,0.0,0.0,0.0,-0.01
2018-04-13,9.65,9.65,9.65,9.65,0,9.65,9.65,9.6,9.55,0.0,0.0,-0.01,-0.01
