date,open,high,low,close,volume,close_t+1,close_t+3,close_t+5,close_t+7,open_close_t+1_%chg,open_close_t+3_%chg,open_close_t+5_%chg,open_close_t+7_%chg
2020-06-17,0.13,0.15,0.12,0.12,125750,0.18,0.11,0.12,0.12,0.38,-0.17,-0.1,-0.08
2020-06-18,0.19,0.54,0.16,0.18,2663812,0.14,0.11,0.13,0.11,-0.26,-0.43,-0.34,-0.43
2020-06-19,0.2,0.2,0.12,0.14,818237,0.11,0.12,0.12,0.15,-0.46,-0.41,-0.4,-0.22
2020-06-22,0.13,0.14,0.1,0.11,616930,0.11,0.13,0.11,0.17,-0.17,-0.04,-0.17,0.31
2020-06-23,0.11,0.11,0.1,0.11,327008,0.12,0.12,0.15,0.15,0.06,0.09,0.41,0.36
2020-06-24,0.1,0.15,0.1,0.12,1066850,0.13,0.11,0.17,0.12,0.25,0.07,0.69,0.22
2020-06-25,0.15,0.15,0.12,0.13,381218,0.12,0.15,0.15,0.12,-0.19,0.04,0.01,-0.17
2020-06-26,0.13,0.14,0.1,0.12,94350,0.11,0.17,0.12,0.12,-0.16,0.33,-0.04,-0.07
2020-06-29,0.11,0.12,0.09,0.11,165667,0.15,0.15,0.12,0.15,0.41,0.36,0.13,0.34
2020-06-30,0.11,0.19,0.1,0.15,1647168,0.17,0.12,0.12,0.17,0.55,0.11,0.07,0.55
2020-07-01,0.15,0.21,0.14,0.17,4453816,0.15,0.12,0.15,,0.0,-0.17,-0.01,
2020-07-02,0.18,0.18,0.13,0.15,583521,0.12,0.12,0.17,,-0.3,-0.33,-0.03,
2020-07-06,0.13,0.14,0.11,0.12,458700,0.12,0.15,,,-0.05,0.14,,
2020-07-07,0.11,0.13,0.11,0.12,161000,0.12,0.17,,,0.06,0.52,,
2020-07-08,0.11,0.12,0.1,0.12,162400,0.15,,,,0.29,,,
2020-07-09,0.12,0.15,0.11,0.15,607700,0.17,,,,0.48,,,
2020-07-10,0.16,0.18,0.14,0.17,410400,,,,,,,,
