date,open,high,low,close,volume,close_t+1,close_t+3,close_t+5,close_t+7,open_close_t+1_%chg,open_close_t+3_%chg,open_close_t+5_%chg,open_close_t+7_%chg
2020-05-27,9.35,9.35,9.35,9.35,9100,9.35,10.69,9.61,9.61,0.0,0.14,0.03,0.03
2020-05-28,9.35,9.35,9.35,9.35,56,10.69,9.61,9.61,9.61,0.14,0.03,0.03,0.03
2020-05-29,11.0,11.0,10.69,10.69,334,10.69,9.61,9.61,9.61,-0.03,-0.13,-0.13,-0.13
2020-06-01,10.69,10.69,10.69,10.69,70,9.61,9.61,9.61,9.72,-0.1,-0.1,-0.1,-0.09
2020-06-02,9.61,9.61,9.61,9.61,205,9.61,9.61,9.61,9.75,0.0,0.0,0.0,0.01
2020-06-03,9.61,9.61,9.61,9.61,25,9.61,9.61,9.72,9.65,0.0,0.0,0.01,0.0
2020-06-04,9.61,9.61,9.61,9.61,70,9.61,9.61,9.75,9.75,0.0,0.0,0.01,0.01
2020-06-05,9.61,9.61,9.61,9.61,13,9.61,9.72,9.65,9.74,0.0,0.01,0.0,0.01
2020-06-08,9.61,9.61,9.61,9.61,0,9.61,9.75,9.75,9.74,0.0,0.01,0.01,0.01
2020-06-09,9.61,9.61,9.61,9.61,0,9.72,9.65,9.74,10.68,0.01,0.0,0.01,0.11
2020-06-10,9.74,9.74,9.72,9.72,338,9.75,9.75,9.74,10.68,0.0,0.0,-0.0,0.1
2020-06-11,9.75,9.75,9.75,9.75,200,9.65,9.74,10.68,9.95,-0.01,-0.0,0.1,0.02
2020-06-12,9.65,9.65,9.65,9.65,1356,9.75,9.74,10.68,9.95,0.01,0.01,0.11,0.03
2020-06-15,9.75,9.75,9.75,9.75,20220,9.74,10.68,9.95,9.95,-0.0,0.1,0.02,0.02
2020-06-16,9.75,9.75,9.73,9.74,353,9.74,10.68,9.95,9.95,-0.0,0.1,0.02,0.02
2020-06-17,9.74,9.74,9.74,9.74,47,10.68,9.95,9.95,9.95,0.1,0.02,0.02,0.02
2020-06-18,9.75,10.68,9.75,10.68,4635,10.68,9.95,9.95,9.96,0.1,0.02,0.02,0.02
2020-06-19,10.68,10.68,10.68,10.68,1,9.95,9.95,9.95,9.96,-0.07,-0.07,-0.07,-0.07
2020-06-22,10.0,10.0,9.95,9.95,2019,9.95,9.95,9.96,10.12,-0.01,-0.01,-0.0,0.01
2020-06-23,10.0,10.0,9.95,9.95,1401,9.95,9.95,9.96,9.99,-0.01,-0.01,-0.0,-0.0
2020-06-24,9.95,9.95,9.95,9.95,0,9.95,9.96,10.12,9.99,0.0,0.0,0.02,0.0
2020-06-25,9.95,9.95,9.95,9.95,0,9.95,9.96,9.99,9.99,0.0,0.0,0.0,0.0
2020-06-26,9.95,9.95,9.95,9.95,0,9.96,10.12,9.99,10.1,0.0,0.02,0.0,0.02
2020-06-29,10.7,10.7,9.96,9.96,321,9.96,9.99,9.99,9.98,-0.07,-0.07,-0.07,-0.07
2020-06-30,9.96,9.96,9.96,9.96,1,10.12,9.99,10.1,10.1,0.02,0.0,0.01,0.01
2020-07-01,10.08,10.12,10.08,10.12,1201,9.99,9.99,9.98,,-0.01,-0.01,-0.01,
2020-07-02,9.99,9.99,9.99,9.99,102,9.99,10.1,10.1,,0.0,0.01,0.01,
2020-07-06,9.99,9.99,9.99,9.99,260,9.99,9.98,,,0.0,-0.0,,
2020-07-07,9.99,9.99,9.99,9.99,0,10.1,10.1,,,0.01,0.01,,
2020-07-08,10.06,10.1,10.06,10.1,3000,9.98,,,,-0.01,,,
2020-07-09,9.98,9.98,9.98,9.98,110,10.1,,,,0.01,,,
2020-07-10,9.85,10.1,9.85,10.1,43700,,,,,,,,
