date,open,high,low,close,volume,close_t+1,close_t+3,close_t+5,close_t+7,open_close_t+1_%chg,open_close_t+3_%chg,open_close_t+5_%chg,open_close_t+7_%chg
2018-09-21,9.53,9.55,9.52,9.52,1871725,9.52,9.5,9.52,9.52,-0.0,-0.0,-0.0,-0.0
2018-09-24,9.52,9.52,9.52,9.52,14,9.52,9.52,9.52,9.52,0.0,0.0,0.0,0.0
2018-09-25,9.52,9.52,9.52,9.52,0,9.5,9.52,9.52,9.53,-0.0,0.0,0.0,0.0
2018-09-26,9.53,9.53,9.48,9.5,83400,9.52,9.52,9.52,9.55,-0.0,-0.0,-0.0,0.0
2018-09-27,9.53,9.53,9.51,9.52,75915,9.52,9.52,9.53,9.52,-0.0,-0.0,0.0,-0.0
2018-09-28,9.52,9.52,9.52,9.52,1,9.52,9.52,9.55,9.52,0.0,0.0,0.0,0.0
2018-10-01,9.53,9.53,9.51,9.52,1468800,9.52,9.53,9.52,9.53,-0.0,0.0,-0.0,0.0
2018-10-02,9.52,9.52,9.52,9.52,87,9.52,9.55,9.52,9.53,0.0,0.0,-0.0,0.0
2018-10-03,9.56,9.56,9.51,9.52,600,9.53,9.52,9.53,9.54,-0.0,-0.0,-0.0,-0.0
2018-10-04,9.52,9.54,9.51,9.53,607200,9.55,9.52,9.53,9.53,0.0,0.0,0.0,0.0
2018-10-05,9.6,9.6,9.55,9.55,2800,9.52,9.53,9.54,9.54,-0.01,-0.01,-0.01,-0.01
2018-10-08,9.53,9.53,9.52,9.52,33500,9.52,9.53,9.53,9.54,-0.0,0.0,0.0,0.0
2018-10-09,9.51,9.53,9.5,9.52,15100,9.53,9.54,9.54,9.54,0.0,0.0,0.0,0.0
2018-10-10,9.51,9.54,9.45,9.53,41100,9.53,9.53,9.54,9.54,0.0,0.0,0.0,0.0
2018-10-11,9.6,9.6,9.53,9.53,5400,9.54,9.54,9.54,9.53,-0.01,-0.01,-0.01,-0.01
2018-10-12,9.5,9.54,9.5,9.54,51509,9.53,9.54,9.54,9.52,0.0,0.0,0.0,0.0
2018-10-15,9.53,9.53,9.53,9.53,10284,9.54,9.54,9.53,9.53,0.0,0.0,0.0,0.0
2018-10-16,9.5,9.54,9.5,9.54,757,9.54,9.54,9.52,9.53,0.0,0.0,0.0,0.0
2018-10-17,9.54,9.54,9.54,9.54,31,9.54,9.53,9.53,9.5,0.0,-0.0,-0.0,-0.0
2018-10-18,9.54,9.54,9.54,9.54,0,9.54,9.52,9.53,9.5,0.0,-0.0,-0.0,-0.0
2018-10-19,9.52,9.54,9.52,9.54,7350,9.53,9.53,9.5,9.52,0.0,0.0,-0.0,0.0
2018-10-22,9.54,9.54,9.53,9.53,32727,9.52,9.53,9.5,9.53,-0.0,-0.0,-0.0,-0.0
2018-10-23,9.52,9.52,9.52,9.52,2150,9.53,9.5,9.52,9.54,0.0,-0.0,0.0,0.0
2018-10-24,9.54,9.54,9.5,9.53,114500,9.53,9.5,9.53,9.53,-0.0,-0.0,-0.0,-0.0
2018-10-25,9.54,9.54,9.53,9.53,3200,9.5,9.52,9.54,9.53,-0.0,-0.0,0.0,-0.0
2018-10-26,9.53,9.53,9.5,9.5,272104,9.5,9.53,9.53,9.53,-0.0,0.0,0.0,0.0
2018-10-29,9.5,9.5,9.5,9.5,4,9.52,9.54,9.53,9.53,0.0,0.0,0.0,0.0
2018-10-30,9.53,9.53,9.52,9.52,250500,9.53,9.53,9.53,9.53,0.0,0.0,0.0,0.0
2018-10-31,9.53,9.53,9.53,9.53,1600,9.54,9.53,9.53,9.53,0.0,0.0,0.0,0.0
2018-11-01,9.53,9.54,9.53,9.54,9217,9.53,9.53,9.53,9.53,-0.0,-0.0,-0.0,-0.0
2018-11-02,9.52,9.54,9.52,9.53,136502,9.53,9.53,9.53,9.53,0.0,0.0,0.0,0.0
2018-11-05,9.53,9.53,9.53,9.53,8,9.53,9.53,9.53,9.65,0.0,0.0,0.0,0.01
2018-11-06,9.53,9.53,9.53,9.53,0,9.53,9.53,9.53,9.65,0.0,0.0,0.0,0.01
2018-11-07,9.53,9.53,9.53,9.53,1,9.53,9.53,9.65,9.65,0.0,0.0,0.01,0.01
2018-11-08,9.53,9.53,9.53,9.53,2650,9.53,9.53,9.65,9.57,0.0,0.0,0.01,0.0
2018-11-09,9.53,9.53,9.53,9.53,0,9.53,9.65,9.65,9.56,0.0,0.01,0.01,0.0
2018-11-12,9.53,9.53,9.53,9.53,0,9.53,9.65,9.57,9.56,0.0,0.01,0.0,0.0
2018-11-13,9.53,9.53,9.53,9.53,0,9.65,9.65,9.56,9.56,0.01,0.01,0.0,0.0
2018-11-14,9.6,9.65,9.6,9.65,60962,9.65,9.57,9.56,9.56,0.01,-0.0,-0.0,-0.0
2018-11-15,9.65,9.65,9.65,9.65,0,9.65,9.56,9.56,9.56,0.0,-0.01,-0.01,-0.01
2018-11-16,9.65,9.65,9.65,9.65,5300,9.57,9.56,9.56,9.69,-0.01,-0.01,-0.01,0.0
2018-11-19,9.56,9.58,9.56,9.57,108250,9.56,9.56,9.56,9.69,0.0,0.0,0.0,0.01
2018-11-20,9.6,9.6,9.56,9.56,200000,9.56,9.56,9.69,9.69,-0.0,-0.0,0.01,0.01
2018-11-21,9.56,9.56,9.56,9.56,0,9.56,9.56,9.69,9.69,0.0,0.0,0.01,0.01
2018-11-26,9.56,9.56,9.56,9.56,0,9.56,9.69,9.69,9.69,0.0,0.01,0.01,0.01
2018-11-27,9.56,9.56,9.56,9.56,0,9.56,9.69,9.69,9.67,0.0,0.01,0.01,0.01
2018-11-28,9.56,9.56,9.56,9.56,0,9.69,9.69,9.69,9.67,0.01,0.01,0.01,0.01
2018-11-29,9.7,9.7,9.69,9.69,150100,9.69,9.69,9.67,9.69,-0.0,-0.0,-0.0,-0.0
2018-11-30,9.69,9.69,9.69,9.69,10,9.69,9.69,9.67,9.69,0.0,0.0,-0.0,0.0
2018-12-03,9.69,9.69,9.69,9.69,0,9.69,9.67,9.69,9.69,0.0,-0.0,0.0,0.0
2018-12-04,9.69,9.69,9.69,9.69,98,9.69,9.67,9.69,9.69,0.0,-0.0,0.0,0.0
2018-12-06,9.69,9.69,9.69,9.69,251215,9.67,9.69,9.69,9.69,-0.0,0.0,0.0,0.0
2018-12-07,9.68,9.68,9.67,9.67,1003,9.67,9.69,9.69,9.69,-0.0,0.0,0.0,0.0
2018-12-10,9.67,9.67,9.67,9.67,0,9.69,9.69,9.69,9.69,0.0,0.0,0.0,0.0
2018-12-11,9.69,9.69,9.69,9.69,300,9.69,9.69,9.69,9.62,0.0,0.0,0.0,-0.01
2018-12-12,9.69,9.75,9.68,9.69,21310,9.69,9.69,9.69,9.7,0.0,0.0,-0.0,0.0
2018-12-13,9.69,9.69,9.69,9.69,2,9.69,9.69,9.62,9.7,0.0,0.0,-0.01,0.0
2018-12-14,9.69,9.69,9.69,9.69,2,9.69,9.69,9.7,9.72,0.0,-0.0,0.0,0.0
2018-12-17,9.69,9.69,9.69,9.69,3,9.69,9.62,9.7,9.72,0.0,-0.01,0.0,0.0
2018-12-18,9.69,9.69,9.69,9.69,88290,9.69,9.7,9.72,9.7,-0.0,0.0,0.0,0.0
2018-12-19,9.68,9.7,9.68,9.69,23600,9.62,9.7,9.72,9.7,-0.01,0.0,0.0,0.0
2018-12-20,9.62,9.62,9.62,9.62,2601,9.7,9.72,9.7,9.7,0.01,0.01,0.01,0.01
2018-12-21,9.7,9.7,9.7,9.7,605,9.7,9.72,9.7,9.72,0.0,0.0,0.0,0.0
2018-12-24,9.7,9.7,9.67,9.7,56550,9.72,9.7,9.7,9.72,0.0,0.0,0.0,0.0
2018-12-26,9.72,9.72,9.68,9.72,10026,9.72,9.7,9.72,9.72,0.0,-0.0,0.0,0.0
2018-12-27,9.72,9.72,9.72,9.72,100,9.7,9.7,9.72,9.67,-0.0,-0.0,-0.0,-0.01
2018-12-28,9.72,9.72,9.7,9.7,260,9.7,9.72,9.72,9.72,-0.0,0.0,0.0,0.0
2018-12-31,9.7,9.7,9.7,9.7,6100,9.7,9.72,9.67,9.72,0.0,0.0,-0.0,0.0
2019-01-02,9.61,9.7,9.61,9.7,1035,9.72,9.72,9.72,9.74,0.01,0.01,0.01,0.01
2019-01-03,9.72,9.72,9.72,9.72,100,9.72,9.67,9.72,9.77,-0.0,-0.01,0.0,0.01
2019-01-04,9.67,9.72,9.67,9.72,1900,9.72,9.72,9.74,9.74,0.01,0.01,0.01,0.01
2019-01-07,9.71,9.72,9.71,9.72,1048,9.67,9.72,9.77,9.74,-0.0,0.0,0.01,0.0
2019-01-08,9.72,9.72,9.67,9.67,425,9.72,9.74,9.74,9.72,0.0,0.0,0.0,0.0
2019-01-09,9.72,9.72,9.72,9.72,100,9.72,9.77,9.74,9.72,0.0,0.01,0.0,0.0
2019-01-10,9.71,9.72,9.71,9.72,160187,9.74,9.74,9.72,9.72,0.0,0.0,0.0,0.0
2019-01-11,9.74,9.74,9.73,9.74,19800,9.77,9.74,9.72,9.72,0.0,0.0,-0.0,-0.0
2019-01-14,9.74,9.78,9.7,9.77,78818,9.74,9.72,9.72,9.72,0.0,-0.0,-0.0,-0.0
2019-01-15,9.78,9.78,9.71,9.74,534,9.74,9.72,9.72,9.77,-0.0,-0.01,-0.01,-0.0
2019-01-16,9.74,9.74,9.74,9.74,0,9.72,9.72,9.72,9.85,-0.0,-0.0,-0.0,0.01
2019-01-17,9.71,9.72,9.71,9.72,200100,9.72,9.72,9.77,9.85,0.0,0.0,0.01,0.01
2019-01-18,9.72,9.72,9.72,9.72,1351,9.72,9.72,9.85,9.85,0.0,0.0,0.01,0.01
2019-01-23,9.72,9.72,9.72,9.72,0,9.72,9.77,9.85,9.85,0.0,0.01,0.01,0.01
