date,open,high,low,close,volume,close_t+1,close_t+3,close_t+5,close_t+7,open_close_t+1_%chg,open_close_t+3_%chg,open_close_t+5_%chg,open_close_t+7_%chg
2018-02-27,0.6,0.65,0.6,0.65,114574,0.65,0.65,0.61,0.62,0.08,0.08,0.02,0.03
2018-03-05,0.65,0.65,0.65,0.65,24,0.65,0.64,0.69,0.62,0.0,-0.02,0.06,-0.05
2018-03-12,0.65,0.65,0.65,0.65,24,0.65,0.61,0.62,0.7,-0.0,-0.06,-0.05,0.08
2018-03-14,0.65,0.7,0.62,0.65,73630,0.64,0.69,0.62,0.65,-0.02,0.06,-0.05,0.0
2018-03-16,0.67,0.67,0.64,0.64,24069,0.61,0.62,0.7,0.7,-0.09,-0.07,0.04,0.04
2018-03-20,0.62,0.64,0.61,0.61,10600,0.69,0.62,0.65,0.68,0.11,0.0,0.05,0.1
2018-03-21,0.69,0.69,0.69,0.69,300,0.62,0.7,0.7,0.65,-0.1,0.01,0.01,-0.06
2018-03-22,0.62,0.62,0.62,0.62,90200,0.62,0.65,0.68,0.68,0.0,0.05,0.1,0.1
2018-04-05,0.62,0.62,0.62,0.62,100000,0.7,0.7,0.65,0.68,0.13,0.13,0.05,0.1
2018-04-11,0.7,0.7,0.7,0.7,2700,0.65,0.68,0.68,0.73,-0.07,-0.03,-0.03,0.04
2018-04-16,0.69,0.69,0.64,0.65,77800,0.7,0.65,0.68,0.7,0.01,-0.06,-0.01,0.01
2018-04-17,0.7,0.7,0.7,0.7,10600,0.68,0.68,0.73,0.75,-0.03,-0.03,0.04,0.07
2018-04-18,0.68,0.68,0.68,0.68,500,0.65,0.68,0.7,0.75,-0.04,0.0,0.03,0.1
2018-04-19,0.65,0.65,0.65,0.65,25000,0.68,0.73,0.75,0.71,0.05,0.12,0.15,0.09
2018-04-20,0.68,0.68,0.68,0.68,8300,0.68,0.7,0.75,0.7,0.0,0.03,0.1,0.03
2018-04-23,0.67,0.68,0.67,0.68,45500,0.73,0.75,0.71,0.7,0.09,0.12,0.06,0.04
2018-04-24,0.73,0.73,0.73,0.73,1000,0.7,0.75,0.7,0.7,-0.04,0.03,-0.04,-0.04
2018-04-27,0.7,0.7,0.69,0.7,35231,0.75,0.71,0.7,0.7,0.07,0.01,0.0,0.0
2018-04-30,0.75,0.75,0.75,0.75,1300,0.75,0.7,0.7,0.75,0.0,-0.07,-0.07,0.0
2018-05-02,0.75,0.75,0.75,0.75,11,0.71,0.7,0.7,0.67,-0.05,-0.07,-0.07,-0.11
2018-05-03,0.77,0.77,0.71,0.71,1610,0.7,0.7,0.75,0.76,-0.09,-0.09,-0.03,-0.01
2018-05-04,0.7,0.73,0.7,0.7,5800,0.7,0.7,0.67,0.67,0.0,0.0,-0.04,-0.04
2018-05-08,0.7,0.7,0.7,0.7,21,0.7,0.75,0.76,0.65,0.0,0.07,0.09,-0.07
2018-05-09,0.7,0.7,0.7,0.7,10000,0.7,0.67,0.67,0.75,0.0,-0.04,-0.04,0.07
