date,open,high,low,close,volume,close_t+1,close_t+3,close_t+5,close_t+7,open_close_t+1_%chg,open_close_t+3_%chg,open_close_t+5_%chg,open_close_t+7_%chg
2018-01-02,0.34,0.35,0.34,0.35,3500,0.36,0.36,0.4,0.4,0.06,0.06,0.14,0.14
2018-01-03,0.36,0.36,0.36,0.36,500,0.36,0.36,0.4,0.4,0.0,0.0,0.08,0.08
2018-01-04,0.36,0.36,0.36,0.36,0,0.36,0.4,0.4,0.4,0.0,0.08,0.08,0.1
2018-01-05,0.36,0.36,0.36,0.36,0,0.36,0.4,0.4,0.4,0.0,0.08,0.08,0.1
2018-01-08,0.36,0.36,0.36,0.36,0,0.4,0.4,0.4,0.4,0.08,0.08,0.1,0.1
2018-01-09,0.4,0.4,0.4,0.4,500,0.4,0.4,0.4,0.47,0.0,0.0,0.01,0.19
2018-01-10,0.4,0.4,0.4,0.4,0,0.4,0.4,0.4,0.47,0.0,0.01,0.01,0.19
2018-01-11,0.4,0.4,0.4,0.4,500,0.4,0.4,0.47,0.47,0.0,0.01,0.19,0.19
2018-01-12,0.4,0.4,0.4,0.4,0,0.4,0.4,0.47,0.47,0.01,0.01,0.19,0.19
2018-01-16,0.4,0.4,0.4,0.4,0,0.4,0.47,0.47,0.47,0.0,0.17,0.17,0.17
2018-01-17,0.4,0.4,0.4,0.4,5000,0.4,0.47,0.47,0.47,0.0,0.17,0.17,0.17
2018-01-18,0.4,0.4,0.4,0.4,0,0.47,0.47,0.47,0.47,0.17,0.17,0.17,0.17
2018-01-19,0.4,0.47,0.4,0.47,16000,0.47,0.47,0.47,0.47,0.17,0.17,0.17,0.17
2018-01-22,0.47,0.47,0.47,0.47,0,0.47,0.47,0.47,,0.0,0.0,0.0,
2018-01-23,0.47,0.47,0.47,0.47,0,0.47,0.47,0.47,,0.0,0.0,0.0,
2018-01-24,0.47,0.47,0.47,0.47,0,0.47,0.47,,,0.0,0.0,,
2018-01-25,0.47,0.47,0.47,0.47,0,0.47,0.47,,,0.0,0.0,,
2018-01-26,0.47,0.47,0.47,0.47,0,0.47,,,,0.0,,,
2018-01-29,0.47,0.47,0.47,0.47,0,0.47,,,,0.0,,,
2018-01-30,0.47,0.47,0.47,0.47,0,,,,,,,,
