open,high,low,close,volume,datetime,date,ticker,close_t+1,close_t+3,close_t+5,close_t+7,open_close_t+1_%chg,open_close_t+3_%chg,open_close_t+5_%chg,open_close_t+7_%chg
2.0,2.25,2.0,2.25,27220,2019-11-21 01:00:00.000000,2019-11-21,ACEL.WS,2.25,2.45,2.33,2.4,0.12,0.23,0.17,0.2
2.25,2.25,2.14,2.25,39925,2019-11-22 01:00:00.000000,2019-11-22,ACEL.WS,2.57,2.5,2.35,2.35,0.14,0.11,0.04,0.04
2.25,2.66,2.15,2.57,222262,2019-11-25 01:00:00.000000,2019-11-25,ACEL.WS,2.45,2.33,2.4,2.42,0.09,0.04,0.07,0.08
2.57,2.57,2.45,2.45,13600,2019-11-26 01:00:00.000000,2019-11-26,ACEL.WS,2.5,2.35,2.35,2.47,-0.03,-0.09,-0.09,-0.04
2.45,2.5,2.45,2.5,812315,2019-11-27 01:00:00.000000,2019-11-27,ACEL.WS,2.33,2.4,2.42,2.5,-0.05,-0.02,-0.01,0.02
2.45,2.45,2.01,2.33,113672,2019-11-29 01:00:00.000000,2019-11-29,ACEL.WS,2.35,2.35,2.47,2.52,-0.04,-0.04,0.01,0.03
2.32,2.37,2.32,2.35,8900,2019-12-02 01:00:00.000000,2019-12-02,ACEL.WS,2.4,2.42,2.5,2.69,0.03,0.04,0.08,0.16
2.44,2.5,2.4,2.4,20255,2019-12-03 01:00:00.000000,2019-12-03,ACEL.WS,2.35,2.47,2.52,2.7,-0.04,0.01,0.03,0.11
2.36,2.36,2.35,2.35,1588,2019-12-04 01:00:00.000000,2019-12-04,ACEL.WS,2.42,2.5,2.69,2.65,0.03,0.06,0.14,0.12
2.47,2.5,2.42,2.42,126320,2019-12-05 01:00:00.000000,2019-12-05,ACEL.WS,2.47,2.52,2.7,2.85,0.0,0.02,0.09,0.15
2.5,2.5,2.46,2.47,26322,2019-12-06 01:00:00.000000,2019-12-06,ACEL.WS,2.5,2.69,2.65,3.02,0.0,0.08,0.06,0.21
2.5,2.67,2.47,2.5,134450,2019-12-09 01:00:00.000000,2019-12-09,ACEL.WS,2.52,2.7,2.85,2.95,0.01,0.08,0.14,0.18
2.49,2.52,2.49,2.52,12800,2019-12-10 01:00:00.000000,2019-12-10,ACEL.WS,2.69,2.65,3.02,2.95,0.08,0.06,0.21,0.18
2.69,2.69,2.69,2.69,1601,2019-12-11 01:00:00.000000,2019-12-11,ACEL.WS,2.7,2.85,2.95,3.0,0.0,0.06,0.1,0.12
2.7,2.7,2.7,2.7,5000,2019-12-12 01:00:00.000000,2019-12-12,ACEL.WS,2.65,3.02,2.95,2.9,-0.02,0.12,0.09,0.07
2.7,2.7,2.65,2.65,67326,2019-12-13 01:00:00.000000,2019-12-13,ACEL.WS,2.85,2.95,3.0,2.85,0.06,0.09,0.11,0.06
2.81,2.85,2.8,2.85,21200,2019-12-16 01:00:00.000000,2019-12-16,ACEL.WS,3.02,2.95,2.9,2.98,0.07,0.05,0.03,0.06
2.9,3.07,2.86,3.02,72600,2019-12-17 01:00:00.000000,2019-12-17,ACEL.WS,2.95,3.0,2.85,2.95,0.02,0.03,-0.02,0.02
2.85,3.0,2.81,2.95,217500,2019-12-18 01:00:00.000000,2019-12-18,ACEL.WS,2.95,2.9,2.98,2.94,0.04,0.02,0.05,0.03
2.98,3.0,2.95,2.95,35966,2019-12-19 01:00:00.000000,2019-12-19,ACEL.WS,3.0,2.85,2.95,2.9,0.01,-0.04,-0.01,-0.03
2.92,3.07,2.92,3.0,14750,2019-12-20 01:00:00.000000,2019-12-20,ACEL.WS,2.9,2.98,2.94,2.94,-0.01,0.02,0.01,0.01
2.9,2.9,2.89,2.9,3500,2019-12-23 01:00:00.000000,2019-12-23,ACEL.WS,2.85,2.95,2.9,2.86,-0.02,0.02,0.0,-0.01
2.89,2.89,2.84,2.85,5093,2019-12-26 01:00:00.000000,2019-12-26,ACEL.WS,2.98,2.94,2.94,2.89,0.03,0.02,0.02,0.0
2.9,2.98,2.89,2.98,5800,2019-12-30 01:00:00.000000,2019-12-30,ACEL.WS,2.95,2.9,2.86,2.86,0.02,0.0,-0.01,-0.01
2.75,2.95,2.73,2.95,22871,2019-12-31 01:00:00.000000,2019-12-31,ACEL.WS,2.94,2.94,2.89,2.75,0.07,0.07,0.05,0.0
2.94,2.95,2.93,2.94,29100,2020-01-02 01:00:00.000000,2020-01-02,ACEL.WS,2.9,2.86,2.86,2.87,-0.01,-0.03,-0.03,-0.02
2.86,2.9,2.86,2.9,900,2020-01-03 01:00:00.000000,2020-01-03,ACEL.WS,2.94,2.89,2.75,2.93,0.03,0.01,-0.04,0.03
2.94,2.94,2.94,2.94,200,2020-01-06 01:00:00.000000,2020-01-06,ACEL.WS,2.86,2.86,2.87,2.8,-0.03,-0.03,-0.02,-0.05
2.85,3.3,2.85,2.86,26502,2020-01-08 01:00:00.000000,2020-01-08,ACEL.WS,2.89,2.75,2.93,2.89,0.01,-0.04,0.03,0.01
2.89,2.89,2.89,2.89,1113,2020-01-09 01:00:00.000000,2020-01-09,ACEL.WS,2.86,2.87,2.8,2.83,-0.01,-0.01,-0.03,-0.02
2.84,2.9,2.8,2.86,7444,2020-01-14 01:00:00.000000,2020-01-14,ACEL.WS,2.75,2.93,2.89,2.85,-0.03,0.03,0.02,0.0
2.75,2.8,2.75,2.75,6670,2020-01-15 01:00:00.000000,2020-01-15,ACEL.WS,2.87,2.8,2.83,2.96,0.04,0.02,0.03,0.08
2.87,2.87,2.87,2.87,100,2020-01-16 01:00:00.000000,2020-01-16,ACEL.WS,2.93,2.89,2.85,2.99,0.02,0.01,-0.01,0.04
2.93,2.93,2.93,2.93,1180,2020-01-17 01:00:00.000000,2020-01-17,ACEL.WS,2.8,2.83,2.96,2.96,-0.05,-0.03,0.01,0.01
2.8,2.8,2.8,2.8,1000,2020-01-22 01:00:00.000000,2020-01-22,ACEL.WS,2.89,2.85,2.99,2.86,0.03,0.02,0.07,0.02
2.86,2.89,2.78,2.89,3500,2020-01-23 01:00:00.000000,2020-01-23,ACEL.WS,2.83,2.96,2.96,3.0,-0.01,0.03,0.03,0.05
3.0,3.0,2.83,2.83,2000,2020-01-24 01:00:00.000000,2020-01-24,ACEL.WS,2.85,2.99,2.86,2.9,-0.05,-0.0,-0.05,-0.03
2.89,2.89,2.85,2.85,7100,2020-01-28 01:00:00.000000,2020-01-28,ACEL.WS,2.96,2.96,3.0,2.98,0.02,0.02,0.04,0.03
2.95,2.96,2.91,2.96,10322,2020-01-29 01:00:00.000000,2020-01-29,ACEL.WS,2.99,2.86,2.9,3.0,0.01,-0.03,-0.02,0.02
2.97,2.99,2.9,2.99,15400,2020-01-30 01:00:00.000000,2020-01-30,ACEL.WS,2.96,3.0,2.98,3.05,-0.0,0.01,0.01,0.03
2.96,2.96,2.96,2.96,8508,2020-02-03 01:00:00.000000,2020-02-03,ACEL.WS,2.86,2.9,3.0,3.05,-0.04,-0.02,0.01,0.03
2.93,2.95,2.86,2.86,1897,2020-02-04 01:00:00.000000,2020-02-04,ACEL.WS,3.0,2.98,3.05,3.15,0.02,0.02,0.04,0.08
2.92,3.0,2.92,3.0,12511,2020-02-05 01:00:00.000000,2020-02-05,ACEL.WS,2.9,3.0,3.05,3.2,-0.01,0.03,0.04,0.1
