open,high,low,close,volume,datetime,date,ticker,close_t+1,close_t+3,close_t+5,close_t+7,open_close_t+1_%chg,open_close_t+3_%chg,open_close_t+5_%chg,open_close_t+7_%chg
9.7,9.7,9.7,9.7,310000,2018-05-24 01:00:00.000000,2018-05-24,AHCO,9.7,9.7,9.65,9.75,0.0,0.0,-0.01,0.01
9.7,9.7,9.7,9.7,35000,2018-05-30 01:00:00.000000,2018-05-30,AHCO,9.7,9.75,9.8,9.62,0.0,0.01,0.01,-0.01
9.7,9.7,9.7,9.7,305000,2018-06-12 01:00:00.000000,2018-06-12,AHCO,9.7,9.65,9.75,9.61,0.0,-0.01,0.01,-0.01
9.7,9.71,9.7,9.7,278999,2018-06-13 01:00:00.000000,2018-06-13,AHCO,9.75,9.8,9.62,9.6,0.01,0.01,-0.01,-0.01
9.75,9.75,9.75,9.75,50000,2018-06-14 01:00:00.000000,2018-06-14,AHCO,9.65,9.75,9.61,9.6,-0.01,0.0,-0.01,-0.02
9.7,9.7,9.65,9.65,10000,2018-06-18 01:00:00.000000,2018-06-18,AHCO,9.8,9.62,9.6,9.6,0.01,-0.01,-0.01,-0.01
9.8,9.8,9.8,9.8,1000,2018-06-21 01:00:00.000000,2018-06-21,AHCO,9.75,9.61,9.6,9.61,-0.01,-0.02,-0.02,-0.02
9.73,9.75,9.7,9.75,10400,2018-06-27 01:00:00.000000,2018-06-27,AHCO,9.62,9.6,9.6,9.64,-0.01,-0.01,-0.01,-0.01
9.69,9.69,9.62,9.62,92899,2018-06-29 01:00:00.000000,2018-06-29,AHCO,9.61,9.6,9.61,9.63,-0.01,-0.01,-0.01,-0.01
9.8,9.8,9.61,9.61,500,2018-07-02 01:00:00.000000,2018-07-02,AHCO,9.6,9.6,9.64,9.7,-0.02,-0.02,-0.02,-0.01
9.6,9.6,9.6,9.6,100,2018-07-06 01:00:00.000000,2018-07-06,AHCO,9.6,9.61,9.63,9.7,0.0,0.0,0.0,0.01
9.6,9.6,9.6,9.6,61155,2018-07-16 01:00:00.000000,2018-07-16,AHCO,9.6,9.64,9.7,9.77,0.0,0.0,0.01,0.02
