open,high,low,close,volume,datetime,date,ticker,close_t+1,close_t+3,close_t+5,close_t+7,open_close_t+1_%chg,open_close_t+3_%chg,open_close_t+5_%chg,open_close_t+7_%chg
9.54,9.55,9.53,9.54,1694700,2018-08-13 01:00:00.000000,2018-08-13,ALGR,9.52,9.52,9.52,9.54,-0.0,-0.0,-0.0,0.0
9.56,9.58,9.52,9.52,427300,2018-08-14 01:00:00.000000,2018-08-14,ALGR,9.53,9.53,9.54,9.55,-0.0,-0.0,-0.0,-0.0
9.54,9.54,9.53,9.53,25100,2018-08-15 01:00:00.000000,2018-08-15,ALGR,9.52,9.52,9.54,9.56,-0.0,-0.0,0.0,0.0
9.52,9.52,9.52,9.52,266455,2018-08-16 01:00:00.000000,2018-08-16,ALGR,9.53,9.54,9.55,9.56,0.0,0.0,0.0,0.0
9.54,9.54,9.53,9.53,2500,2018-08-17 01:00:00.000000,2018-08-17,ALGR,9.52,9.54,9.56,9.55,-0.0,0.0,0.0,0.0
9.54,9.54,9.5,9.52,29656,2018-08-20 01:00:00.000000,2018-08-20,ALGR,9.54,9.55,9.56,9.56,0.0,0.0,0.0,0.0
9.53,9.54,9.53,9.54,748450,2018-08-21 01:00:00.000000,2018-08-21,ALGR,9.54,9.56,9.55,9.59,0.0,0.0,0.0,0.01
9.59,9.59,9.52,9.54,649446,2018-08-22 01:00:00.000000,2018-08-22,ALGR,9.55,9.56,9.56,9.59,-0.0,-0.0,-0.0,0.0
9.54,9.55,9.52,9.55,1104206,2018-08-23 01:00:00.000000,2018-08-23,ALGR,9.56,9.55,9.59,9.57,0.0,0.0,0.01,0.0
9.57,9.57,9.54,9.56,32058,2018-08-24 01:00:00.000000,2018-08-24,ALGR,9.56,9.56,9.59,9.57,-0.0,-0.0,0.0,0.0
9.55,9.56,9.52,9.56,1304,2018-08-27 01:00:00.000000,2018-08-27,ALGR,9.55,9.59,9.57,9.55,0.0,0.0,0.0,0.0
9.59,9.59,9.55,9.55,13712,2018-08-28 01:00:00.000000,2018-08-28,ALGR,9.56,9.59,9.57,9.58,-0.0,0.0,-0.0,-0.0
9.55,9.56,9.54,9.56,80843,2018-08-29 01:00:00.000000,2018-08-29,ALGR,9.59,9.57,9.55,9.54,0.0,0.0,0.0,-0.0
9.56,9.59,9.53,9.59,149593,2018-08-30 01:00:00.000000,2018-08-30,ALGR,9.59,9.57,9.58,9.55,0.0,0.0,0.0,-0.0
9.59,9.59,9.57,9.59,2600,2018-08-31 01:00:00.000000,2018-08-31,ALGR,9.57,9.55,9.54,9.55,-0.0,-0.0,-0.01,-0.0
9.5,9.59,9.5,9.57,32749,2018-09-04 01:00:00.000000,2018-09-04,ALGR,9.57,9.58,9.55,9.55,0.01,0.01,0.01,0.01
9.59,9.59,9.55,9.57,34088,2018-09-05 01:00:00.000000,2018-09-05,ALGR,9.55,9.54,9.55,9.56,-0.0,-0.01,-0.0,-0.0
