open,high,low,close,volume,datetime,date,ticker,close_t+1,close_t+3,close_t+5,close_t+7,open_close_t+1_%chg,open_close_t+3_%chg,open_close_t+5_%chg,open_close_t+7_%chg
0.65,0.68,0.65,0.68,1000,2020-06-18 01:00:00.000000,2020-06-18,CHAQ.WS,0.71,0.67,0.69,0.69,0.09,0.03,0.06,0.06
0.75,0.75,0.71,0.71,1400,2020-06-22 01:00:00.000000,2020-06-22,CHAQ.WS,0.71,0.71,0.57,0.68,-0.05,-0.05,-0.24,-0.09
0.71,0.71,0.71,0.71,4100,2020-06-23 01:00:00.000000,2020-06-23,CHAQ.WS,0.67,0.69,0.69,0.63,-0.06,-0.03,-0.03,-0.11
0.67,0.68,0.67,0.67,720,2020-06-24 01:00:00.000000,2020-06-24,CHAQ.WS,0.71,0.57,0.68,0.65,0.07,-0.14,0.02,-0.02
0.71,0.71,0.71,0.71,2000,2020-06-25 01:00:00.000000,2020-06-25,CHAQ.WS,0.69,0.69,0.63,0.65,-0.03,-0.03,-0.11,-0.08
0.68,0.7,0.68,0.69,440,2020-06-26 01:00:00.000000,2020-06-26,CHAQ.WS,0.57,0.68,0.65,0.65,-0.17,-0.0,-0.05,-0.05
0.71,0.71,0.57,0.57,12610,2020-06-29 01:00:00.000000,2020-06-29,CHAQ.WS,0.69,0.63,0.65,0.81,-0.03,-0.11,-0.08,0.14
0.57,0.7,0.57,0.69,10300,2020-06-30 01:00:00.000000,2020-06-30,CHAQ.WS,0.68,0.65,0.65,0.75,0.19,0.14,0.14,0.31
0.68,0.68,0.68,0.68,300,2020-07-01 01:00:00.000000,2020-07-01,CHAQ.WS,0.63,0.65,0.81,0.65,-0.08,-0.05,0.19,-0.05
0.63,0.63,0.63,0.63,1000,2020-07-02 01:00:00.000000,2020-07-02,CHAQ.WS,0.65,0.65,0.75,,0.03,0.03,0.19,
0.65,0.66,0.65,0.65,26600,2020-07-06 01:00:00.000000,2020-07-06,CHAQ.WS,0.65,0.81,0.65,,0.0,0.25,-0.0,
0.65,1.0,0.65,0.65,122400,2020-07-07 01:00:00.000000,2020-07-07,CHAQ.WS,0.65,0.75,,,-0.0,0.15,,
0.68,0.71,0.65,0.65,3700,2020-07-09 01:00:00.000000,2020-07-09,CHAQ.WS,0.81,0.65,,,0.19,-0.05,,
0.73,1.09,0.73,0.81,160727,2020-07-10 01:00:00.000000,2020-07-10,CHAQ.WS,0.75,,,,0.02,,,
0.72,0.81,0.71,0.75,33758,2020-07-13 01:00:00.000000,2020-07-13,CHAQ.WS,0.65,,,,-0.1,,,
0.73,0.73,0.65,0.65,22924,2020-07-14 01:00:00.000000,2020-07-14,CHAQ.WS,,,,,,,,
