open,high,low,close,volume,datetime,date,ticker,close_t+1,close_t+3,close_t+5,close_t+7,open_close_t+1_%chg,open_close_t+3_%chg,open_close_t+5_%chg,open_close_t+7_%chg
0.3,0.35,0.3,0.35,70000,2018-10-23 01:00:00.000000,2018-10-23,DDMXW,0.36,0.35,0.35,0.25,0.2,0.17,0.17,-0.17
0.36,0.36,0.36,0.36,70000,2018-11-30 01:00:00.000000,2018-11-30,DDMXW,0.35,0.35,0.32,0.21,-0.03,-0.03,-0.11,-0.42
0.36,0.36,0.35,0.35,40000,2018-12-03 01:00:00.000000,2018-12-03,DDMXW,0.35,0.35,0.25,0.21,-0.03,-0.03,-0.31,-0.42
0.35,0.35,0.35,0.35,25000,2018-12-10 01:00:00.000000,2018-12-10,DDMXW,0.35,0.32,0.21,0.21,0.0,-0.09,-0.4,-0.4
0.35,0.35,0.35,0.35,10000,2018-12-11 01:00:00.000000,2018-12-11,DDMXW,0.35,0.25,0.21,0.25,0.0,-0.29,-0.4,-0.29
0.35,0.35,0.35,0.35,10000,2018-12-21 01:00:00.000000,2018-12-21,DDMXW,0.32,0.21,0.21,0.25,-0.09,-0.4,-0.4,-0.29
0.32,0.32,0.31,0.32,1400,2019-01-31 01:00:00.000000,2019-01-31,DDMXW,0.25,0.21,0.25,0.23,-0.22,-0.35,-0.22,-0.28
0.29,0.3,0.25,0.25,20500,2019-02-13 01:00:00.000000,2019-02-13,DDMXW,0.21,0.21,0.25,0.24,-0.28,-0.28,-0.14,-0.17
0.21,0.21,0.21,0.21,100,2019-02-19 01:00:00.000000,2019-02-19,DDMXW,0.21,0.25,0.23,0.23,0.0,0.19,0.1,0.1
0.21,0.21,0.21,0.21,100,2019-02-22 01:00:00.000000,2019-02-22,DDMXW,0.21,0.25,0.24,0.23,-0.0,0.19,0.14,0.1
0.21,0.21,0.21,0.21,600,2019-02-26 01:00:00.000000,2019-02-26,DDMXW,0.25,0.23,0.23,0.25,0.19,0.1,0.1,0.19
0.22,0.25,0.22,0.25,41900,2019-02-27 01:00:00.000000,2019-02-27,DDMXW,0.25,0.24,0.23,0.29,0.14,0.09,0.05,0.32
0.25,0.25,0.25,0.25,15500,2019-02-28 01:00:00.000000,2019-02-28,DDMXW,0.23,0.23,0.25,0.28,-0.08,-0.08,-0.0,0.1
0.23,0.23,0.23,0.23,7000,2019-03-07 01:00:00.000000,2019-03-07,DDMXW,0.24,0.23,0.29,0.3,0.04,0.0,0.26,0.3
0.23,0.24,0.23,0.24,79700,2019-03-08 01:00:00.000000,2019-03-08,DDMXW,0.23,0.25,0.28,0.23,0.0,0.09,0.2,0.0
0.25,0.25,0.23,0.23,200,2019-03-13 01:00:00.000000,2019-03-13,DDMXW,0.23,0.29,0.3,0.3,-0.08,0.16,0.2,0.2
0.25,0.25,0.23,0.23,200,2019-03-14 01:00:00.000000,2019-03-14,DDMXW,0.25,0.28,0.23,0.25,0.0,0.1,-0.08,0.0
0.25,0.25,0.25,0.25,900,2019-03-15 01:00:00.000000,2019-03-15,DDMXW,0.29,0.3,0.3,0.3,0.16,0.2,0.2,0.2
0.27,0.29,0.27,0.29,3100,2019-03-28 01:00:00.000000,2019-03-28,DDMXW,0.28,0.23,0.25,0.3,0.02,-0.15,-0.07,0.11
0.28,0.28,0.28,0.28,118000,2019-03-29 01:00:00.000000,2019-03-29,DDMXW,0.3,0.3,0.3,0.27,0.09,0.09,0.09,-0.02
0.3,0.3,0.3,0.3,100000,2019-04-01 01:00:00.000000,2019-04-01,DDMXW,0.23,0.25,0.3,0.25,-0.23,-0.17,0.0,-0.17
0.23,0.23,0.23,0.23,345,2019-04-11 01:00:00.000000,2019-04-11,DDMXW,0.3,0.3,0.27,0.3,0.3,0.3,0.17,0.3
0.28,0.3,0.28,0.3,8491,2019-04-17 01:00:00.000000,2019-04-17,DDMXW,0.25,0.3,0.25,0.3,-0.11,0.07,-0.11,0.07
0.25,0.25,0.24,0.25,64700,2019-05-08 01:00:00.000000,2019-05-08,DDMXW,0.3,0.27,0.3,0.3,0.2,0.08,0.2,0.2
0.3,0.3,0.3,0.3,16300,2019-05-22 01:00:00.000000,2019-05-22,DDMXW,0.3,0.25,0.3,0.3,0.0,-0.17,0.0,0.0
0.3,0.3,0.3,0.3,300,2019-05-30 01:00:00.000000,2019-05-30,DDMXW,0.27,0.3,0.3,0.3,-0.1,0.0,0.0,0.0
0.2,0.28,0.2,0.27,8100,2019-06-06 01:00:00.000000,2019-06-06,DDMXW,0.25,0.3,0.3,0.3,0.25,0.5,0.5,0.5
0.25,0.25,0.25,0.25,5000,2019-06-07 01:00:00.000000,2019-06-07,DDMXW,0.3,0.3,0.3,0.3,0.2,0.2,0.2,0.2
