open,high,low,close,volume,datetime,date,ticker,close_t+1,close_t+3,close_t+5,close_t+7,open_close_t+1_%chg,open_close_t+3_%chg,open_close_t+5_%chg,open_close_t+7_%chg
20.49,20.75,17.6,19.35,11478787,2020-04-24 01:00:00.000000,2020-04-24,DKNG,19.52,19.4,20.12,21.61,-0.05,-0.05,-0.02,0.05
22.36,22.5,19.5,19.52,9594187,2020-04-27 01:00:00.000000,2020-04-27,DKNG,18.24,19.46,20.99,23.83,-0.18,-0.13,-0.06,0.07
19.86,19.9,18.0,18.24,5725702,2020-04-28 01:00:00.000000,2020-04-28,DKNG,19.4,20.12,21.61,23.51,-0.02,0.01,0.09,0.18
18.35,19.8,18.35,19.4,3649405,2020-04-29 01:00:00.000000,2020-04-29,DKNG,19.46,20.99,23.83,23.45,0.06,0.14,0.3,0.28
19.5,19.85,18.88,19.46,3974807,2020-04-30 01:00:00.000000,2020-04-30,DKNG,20.12,21.61,23.51,24.46,0.03,0.11,0.21,0.25
19.39,20.35,19.01,20.12,5242444,2020-05-01 01:00:00.000000,2020-05-01,DKNG,20.99,23.83,23.45,26.3,0.08,0.23,0.21,0.36
20.36,21.78,19.95,20.99,6358123,2020-05-04 01:00:00.000000,2020-05-04,DKNG,21.61,23.51,24.46,25.86,0.06,0.15,0.2,0.27
21.94,22.12,21.15,21.61,4574083,2020-05-05 01:00:00.000000,2020-05-05,DKNG,23.83,23.45,26.3,25.31,0.09,0.07,0.2,0.15
21.94,24.48,21.75,23.83,9024967,2020-05-06 01:00:00.000000,2020-05-06,DKNG,23.51,24.46,25.86,29.23,0.07,0.11,0.18,0.33
24.3,26.85,23.04,23.51,13208881,2020-05-07 01:00:00.000000,2020-05-07,DKNG,23.45,26.3,25.31,29.55,-0.03,0.08,0.04,0.22
24.35,24.75,23.18,23.45,5204174,2020-05-08 01:00:00.000000,2020-05-08,DKNG,24.46,25.86,29.23,29.57,0.0,0.06,0.2,0.21
23.52,25.16,23.5,24.46,7682440,2020-05-11 01:00:00.000000,2020-05-11,DKNG,26.3,25.31,29.55,29.69,0.12,0.08,0.26,0.26
26.15,28.15,24.8,26.3,17382258,2020-05-12 01:00:00.000000,2020-05-12,DKNG,25.86,29.23,29.57,28.55,-0.01,0.12,0.13,0.09
27.44,27.95,23.5,25.86,14175828,2020-05-13 01:00:00.000000,2020-05-13,DKNG,25.31,29.55,29.69,29.11,-0.08,0.08,0.08,0.06
26.85,27.25,25.02,25.31,12180030,2020-05-14 01:00:00.000000,2020-05-14,DKNG,29.23,29.57,28.55,33.39,0.09,0.1,0.06,0.24
25.89,29.4,25.35,29.23,24708088,2020-05-15 01:00:00.000000,2020-05-15,DKNG,29.55,29.69,29.11,35.15,0.14,0.15,0.12,0.36
31.7,31.78,28.5,29.55,17325181,2020-05-18 01:00:00.000000,2020-05-18,DKNG,29.57,28.55,33.39,37.25,-0.07,-0.1,0.05,0.18
29.54,30.41,28.23,29.57,8693950,2020-05-19 01:00:00.000000,2020-05-19,DKNG,29.69,29.11,35.15,39.7,0.01,-0.01,0.19,0.34
30.19,31.0,29.55,29.69,5878964,2020-05-20 01:00:00.000000,2020-05-20,DKNG,28.55,33.39,37.25,43.7,-0.05,0.11,0.23,0.45
29.85,29.89,27.53,28.55,7661183,2020-05-21 01:00:00.000000,2020-05-21,DKNG,29.11,35.15,39.7,41.27,-0.02,0.18,0.33,0.38
28.47,29.48,27.56,29.11,6474846,2020-05-22 01:00:00.000000,2020-05-22,DKNG,33.39,37.25,43.7,40.16,0.17,0.31,0.53,0.41
30.5,33.5,29.66,33.39,11200581,2020-05-26 01:00:00.000000,2020-05-26,DKNG,35.15,39.7,41.27,40.53,0.15,0.3,0.35,0.33
34.46,35.65,31.99,35.15,15697074,2020-05-27 01:00:00.000000,2020-05-27,DKNG,37.25,43.7,40.16,39.34,0.08,0.27,0.17,0.14
35.71,39.6,34.62,37.25,23220149,2020-05-28 01:00:00.000000,2020-05-28,DKNG,39.7,41.27,40.53,38.0,0.11,0.16,0.13,0.06
37.0,39.87,36.65,39.7,14948916,2020-05-29 01:00:00.000000,2020-05-29,DKNG,43.7,40.16,39.34,39.41,0.18,0.09,0.06,0.07
40.74,43.98,40.01,43.7,20525205,2020-06-01 01:00:00.000000,2020-06-01,DKNG,41.27,40.53,38.0,39.11,0.01,-0.01,-0.07,-0.04
44.54,44.79,39.8,41.27,27807785,2020-06-02 01:00:00.000000,2020-06-02,DKNG,40.16,39.34,39.41,36.28,-0.1,-0.12,-0.12,-0.19
41.51,42.48,38.55,40.16,20116729,2020-06-03 01:00:00.000000,2020-06-03,DKNG,40.53,38.0,39.11,36.88,-0.02,-0.08,-0.06,-0.11
39.01,42.48,38.8,40.53,14722156,2020-06-04 01:00:00.000000,2020-06-04,DKNG,39.34,39.41,36.28,41.79,0.01,0.01,-0.07,0.07
41.53,41.59,39.06,39.34,9699527,2020-06-05 01:00:00.000000,2020-06-05,DKNG,38.0,39.11,36.88,40.57,-0.08,-0.06,-0.11,-0.02
39.93,39.93,35.55,38.0,15236967,2020-06-08 01:00:00.000000,2020-06-08,DKNG,39.41,36.28,41.79,40.72,-0.01,-0.09,0.05,0.02
37.8,40.6,37.18,39.41,8798468,2020-06-09 01:00:00.000000,2020-06-09,DKNG,39.11,36.88,40.57,40.84,0.03,-0.02,0.07,0.08
40.06,40.8,38.39,39.11,7109989,2020-06-10 01:00:00.000000,2020-06-10,DKNG,36.28,41.79,40.72,42.0,-0.09,0.04,0.02,0.05
36.26,38.2,35.25,36.28,9994146,2020-06-11 01:00:00.000000,2020-06-11,DKNG,36.88,40.57,40.84,38.26,0.02,0.12,0.13,0.06
37.89,38.4,35.71,36.88,8143035,2020-06-12 01:00:00.000000,2020-06-12,DKNG,41.79,40.72,42.0,37.99,0.1,0.07,0.11,0.0
35.65,41.79,35.45,41.79,17166468,2020-06-15 01:00:00.000000,2020-06-15,DKNG,40.57,40.84,38.26,37.56,0.14,0.15,0.07,0.05
40.96,41.8,39.1,40.57,11135211,2020-06-16 01:00:00.000000,2020-06-16,DKNG,40.72,42.0,37.99,36.07,-0.01,0.03,-0.07,-0.12
38.68,42.08,38.5,40.72,18133005,2020-06-17 01:00:00.000000,2020-06-17,DKNG,40.84,38.26,37.56,33.34,0.06,-0.01,-0.03,-0.14
