open,high,low,close,volume,datetime,date,ticker,close_t+1,close_t+3,close_t+5,close_t+7,open_close_t+1_%chg,open_close_t+3_%chg,open_close_t+5_%chg,open_close_t+7_%chg
9.95,9.95,9.86,9.9,176099,2020-04-27 01:00:00.000000,2020-04-27,FEAC,9.9,9.85,9.84,9.86,-0.01,-0.01,-0.01,-0.01
9.93,9.96,9.81,9.9,1229853,2020-04-28 01:00:00.000000,2020-04-28,FEAC,9.9,9.85,9.84,9.86,-0.0,-0.01,-0.01,-0.01
9.9,9.97,9.9,9.9,9164,2020-04-29 01:00:00.000000,2020-04-29,FEAC,9.85,9.84,9.86,10.0,-0.01,-0.01,-0.0,0.01
9.9,9.9,9.85,9.85,83005,2020-04-30 01:00:00.000000,2020-04-30,FEAC,9.85,9.84,9.86,9.95,-0.01,-0.01,-0.0,0.01
9.9,9.9,9.83,9.85,255938,2020-05-01 01:00:00.000000,2020-05-01,FEAC,9.84,9.86,10.0,10.05,-0.01,-0.0,0.01,0.02
9.88,9.88,9.83,9.84,213481,2020-05-04 01:00:00.000000,2020-05-04,FEAC,9.84,9.86,9.95,10.15,-0.0,-0.0,0.01,0.03
9.88,9.88,9.84,9.84,789667,2020-05-05 01:00:00.000000,2020-05-05,FEAC,9.86,10.0,10.05,10.16,-0.0,0.01,0.02,0.03
10.04,10.04,9.86,9.86,1611,2020-05-06 01:00:00.000000,2020-05-06,FEAC,9.86,9.95,10.15,10.19,-0.02,-0.01,0.01,0.01
9.87,9.87,9.84,9.86,156626,2020-05-07 01:00:00.000000,2020-05-07,FEAC,10.0,10.05,10.16,10.2,0.01,0.02,0.03,0.03
9.85,10.0,9.85,10.0,349667,2020-05-08 01:00:00.000000,2020-05-08,FEAC,9.95,10.15,10.19,10.2,0.01,0.03,0.03,0.04
10.1,10.1,9.95,9.95,721489,2020-05-11 01:00:00.000000,2020-05-11,FEAC,10.05,10.16,10.2,10.25,-0.0,0.01,0.01,0.01
