open,high,low,close,volume,datetime,date,ticker,close_t+1,close_t+3,close_t+5,close_t+7,open_close_t+1_%chg,open_close_t+3_%chg,open_close_t+5_%chg,open_close_t+7_%chg
1.46,1.6,1.46,1.6,105326,2020-06-22 01:00:00.000000,2020-06-22,FVAC.WS,1.59,1.5,1.7,1.51,0.09,0.03,0.16,0.03
1.6,1.63,1.58,1.59,30409,2020-06-23 01:00:00.000000,2020-06-23,FVAC.WS,1.48,1.41,1.6,1.47,-0.08,-0.12,-0.0,-0.08
1.58,1.58,1.48,1.48,3909,2020-06-24 01:00:00.000000,2020-06-24,FVAC.WS,1.5,1.7,1.51,1.28,-0.05,0.08,-0.04,-0.19
1.49,1.5,1.45,1.5,416000,2020-06-25 01:00:00.000000,2020-06-25,FVAC.WS,1.41,1.6,1.47,1.48,-0.06,0.07,-0.02,-0.01
1.41,1.41,1.41,1.41,319,2020-06-29 01:00:00.000000,2020-06-29,FVAC.WS,1.7,1.51,1.28,1.6,0.21,0.07,-0.09,0.13
1.83,1.83,1.7,1.7,7295,2020-07-01 01:00:00.000000,2020-07-01,FVAC.WS,1.6,1.47,1.48,1.45,-0.13,-0.2,-0.19,-0.21
1.6,1.6,1.6,1.6,8229,2020-07-02 01:00:00.000000,2020-07-02,FVAC.WS,1.51,1.28,1.6,,-0.06,-0.2,0.0,
1.55,1.55,1.51,1.51,2550,2020-07-06 01:00:00.000000,2020-07-06,FVAC.WS,1.47,1.48,1.45,,-0.05,-0.05,-0.06,
1.48,1.54,1.47,1.47,1250,2020-07-07 01:00:00.000000,2020-07-07,FVAC.WS,1.28,1.6,,,-0.14,0.08,,
1.4,1.4,1.17,1.28,9931,2020-07-08 01:00:00.000000,2020-07-08,FVAC.WS,1.48,1.45,,,0.05,0.04,,
1.57,1.65,1.48,1.48,3632,2020-07-10 01:00:00.000000,2020-07-10,FVAC.WS,1.6,,,,0.02,,,
1.52,1.69,1.5,1.6,21678,2020-07-13 01:00:00.000000,2020-07-13,FVAC.WS,1.45,,,,-0.05,,,
1.52,1.55,1.45,1.45,2296,2020-07-14 01:00:00.000000,2020-07-14,FVAC.WS,,,,,,,,
