open,high,low,close,volume,datetime,date,ticker,close_t+1,close_t+3,close_t+5,close_t+7,open_close_t+1_%chg,open_close_t+3_%chg,open_close_t+5_%chg,open_close_t+7_%chg
9.9,10.0,9.9,10.0,1558,2020-06-22 01:00:00.000000,2020-06-22,FVAC,9.91,9.9,9.97,9.97,0.0,0.0,0.01,0.01
10.0,10.07,9.91,9.91,1097,2020-06-23 01:00:00.000000,2020-06-23,FVAC,9.78,9.94,9.97,10.0,-0.02,-0.01,-0.0,0.0
9.8,9.8,9.78,9.78,400100,2020-06-24 01:00:00.000000,2020-06-24,FVAC,9.9,9.97,9.97,9.9,0.01,0.02,0.02,0.01
9.8,9.9,9.8,9.9,143927,2020-06-25 01:00:00.000000,2020-06-25,FVAC,9.94,9.97,10.0,10.05,0.01,0.02,0.02,0.03
10.0,10.06,9.94,9.94,405,2020-06-26 01:00:00.000000,2020-06-26,FVAC,9.97,9.97,9.9,9.98,-0.0,-0.0,-0.01,-0.0
9.99,10.03,9.95,9.97,11361,2020-06-29 01:00:00.000000,2020-06-29,FVAC,9.97,10.0,10.05,10.0,-0.0,0.0,0.01,0.0
9.94,9.98,9.94,9.97,25221,2020-06-30 01:00:00.000000,2020-06-30,FVAC,9.97,9.9,9.98,10.02,0.0,-0.0,0.0,0.01
9.83,9.97,9.81,9.97,754979,2020-07-01 01:00:00.000000,2020-07-01,FVAC,10.0,10.05,10.0,10.0,0.02,0.02,0.02,0.02
10.17,10.17,9.97,10.0,151842,2020-07-02 01:00:00.000000,2020-07-02,FVAC,9.9,9.98,10.02,10.0,-0.03,-0.02,-0.01,-0.02
10.0,10.0,9.89,9.9,2936,2020-07-06 01:00:00.000000,2020-07-06,FVAC,10.05,10.0,10.0,,0.01,0.0,0.0,
9.97,10.05,9.97,10.05,4389,2020-07-07 01:00:00.000000,2020-07-07,FVAC,9.98,10.02,10.0,,0.0,0.01,0.0,
10.3,10.3,9.89,9.98,31841,2020-07-08 01:00:00.000000,2020-07-08,FVAC,10.0,10.0,,,-0.03,-0.03,,
10.0,10.0,10.0,10.0,608,2020-07-09 01:00:00.000000,2020-07-09,FVAC,10.02,10.0,,,0.0,0.0,,
10.0,10.21,10.0,10.02,13788,2020-07-10 01:00:00.000000,2020-07-10,FVAC,10.0,,,,0.0,,,
10.6,10.6,10.0,10.0,2971,2020-07-13 01:00:00.000000,2020-07-13,FVAC,10.0,,,,-0.06,,,
10.04,10.04,10.0,10.0,2139,2020-07-14 01:00:00.000000,2020-07-14,FVAC,,,,,,,,
