open,high,low,close,volume,datetime,date,ticker,close_t+1,close_t+3,close_t+5,close_t+7,open_close_t+1_%chg,open_close_t+3_%chg,open_close_t+5_%chg,open_close_t+7_%chg
4.2,4.3,3.5,4.2,538106,2018-09-12 01:00:00.000000,2018-09-12,GSMG,4.2,4.1,5.2,4.0,0.0,-0.02,0.24,-0.05
4.3,4.3,4.2,4.2,230,2018-09-13 01:00:00.000000,2018-09-13,GSMG,4.0,4.0,4.1,4.1,-0.07,-0.07,-0.05,-0.05
4.25,4.25,4.0,4.0,49041,2018-09-14 01:00:00.000000,2018-09-14,GSMG,4.1,5.2,4.0,4.0,-0.04,0.22,-0.06,-0.06
4.1,4.1,4.0,4.1,10520,2018-09-17 01:00:00.000000,2018-09-17,GSMG,4.0,4.1,4.1,4.0,-0.02,0.0,0.0,-0.02
4.0,4.0,4.0,4.0,6500,2018-09-18 01:00:00.000000,2018-09-18,GSMG,5.2,4.0,4.0,4.55,0.3,0.0,0.0,0.14
5.2,5.2,5.2,5.2,20,2018-09-19 01:00:00.000000,2018-09-19,GSMG,4.1,4.1,4.0,4.0,-0.21,-0.21,-0.23,-0.23
5.3,5.3,4.0,4.1,103310,2018-09-20 01:00:00.000000,2018-09-20,GSMG,4.0,4.0,4.55,4.0,-0.25,-0.25,-0.14,-0.25
4.0,4.0,4.0,4.0,180,2018-09-21 01:00:00.000000,2018-09-21,GSMG,4.1,4.0,4.0,4.0,0.02,0.0,0.0,0.0
4.0,4.1,4.0,4.1,382,2018-09-24 01:00:00.000000,2018-09-24,GSMG,4.0,4.55,4.0,4.0,0.0,0.14,0.0,0.0
4.0,4.0,4.0,4.0,5200,2018-09-25 01:00:00.000000,2018-09-25,GSMG,4.0,4.0,4.0,4.6,0.0,0.0,0.0,0.15
4.0,4.0,4.0,4.0,5000,2018-09-27 01:00:00.000000,2018-09-27,GSMG,4.55,4.0,4.0,4.0,0.14,0.0,0.0,0.0
4.8,4.8,4.0,4.55,10303,2018-09-28 01:00:00.000000,2018-09-28,GSMG,4.0,4.0,4.6,4.0,-0.17,-0.17,-0.04,-0.17
4.2,4.2,4.0,4.0,2640,2018-10-01 01:00:00.000000,2018-10-01,GSMG,4.0,4.0,4.0,4.1,-0.05,-0.05,-0.05,-0.02
4.0,4.0,4.0,4.0,30700,2018-10-03 01:00:00.000000,2018-10-03,GSMG,4.0,4.6,4.0,4.1,0.0,0.15,0.0,0.02
4.0,4.0,4.0,4.0,20,2018-10-09 01:00:00.000000,2018-10-09,GSMG,4.0,4.0,4.1,4.1,0.0,0.0,0.02,0.02
4.0,4.0,4.0,4.0,5500,2018-10-10 01:00:00.000000,2018-10-10,GSMG,4.6,4.0,4.1,3.8,0.15,0.0,0.02,-0.05
4.5,5.0,4.5,4.6,1133,2018-10-15 01:00:00.000000,2018-10-15,GSMG,4.0,4.1,4.1,4.1,-0.11,-0.09,-0.09,-0.09
4.1,4.1,4.0,4.0,8113,2018-10-16 01:00:00.000000,2018-10-16,GSMG,4.0,4.1,3.8,3.9,-0.02,0.0,-0.07,-0.05
4.1,4.1,4.0,4.0,5150,2018-10-18 01:00:00.000000,2018-10-18,GSMG,4.1,4.1,4.1,3.6,0.0,0.0,0.0,-0.12
4.1,4.1,4.1,4.1,10,2018-10-22 01:00:00.000000,2018-10-22,GSMG,4.1,3.8,3.9,3.8,0.0,-0.07,-0.05,-0.07
4.1,4.1,4.1,4.1,11000,2018-10-24 01:00:00.000000,2018-10-24,GSMG,4.1,4.1,3.6,4.5,0.0,0.0,-0.12,0.1
4.1,4.1,4.1,4.1,10,2018-10-29 01:00:00.000000,2018-10-29,GSMG,3.8,3.9,3.8,3.9,-0.07,-0.05,-0.07,-0.05
3.8,3.8,3.8,3.8,10,2018-10-30 01:00:00.000000,2018-10-30,GSMG,4.1,3.6,4.5,3.7,0.08,-0.05,0.18,-0.03
4.1,4.1,4.1,4.1,30,2018-10-31 01:00:00.000000,2018-10-31,GSMG,3.9,3.8,3.9,3.5,-0.05,-0.07,-0.05,-0.15
4.0,4.0,3.9,3.9,40,2018-11-06 01:00:00.000000,2018-11-06,GSMG,3.6,4.5,3.7,3.89,-0.1,0.12,-0.07,-0.03
3.6,3.6,3.6,3.6,40,2018-11-20 01:00:00.000000,2018-11-20,GSMG,3.8,3.9,3.5,3.5,0.06,0.08,-0.03,-0.03
3.8,3.8,3.8,3.8,10,2018-11-21 01:00:00.000000,2018-11-21,GSMG,4.5,3.7,3.89,3.7,0.18,-0.03,0.02,-0.03
4.5,4.5,4.5,4.5,10,2018-11-29 01:00:00.000000,2018-11-29,GSMG,3.9,3.5,3.5,3.9,-0.13,-0.22,-0.22,-0.13
4.0,4.0,3.7,3.9,100,2018-11-30 01:00:00.000000,2018-11-30,GSMG,3.7,3.89,3.7,3.89,-0.07,-0.03,-0.07,-0.03
3.9,3.9,3.7,3.7,30,2018-12-03 01:00:00.000000,2018-12-03,GSMG,3.5,3.5,3.9,3.8,-0.1,-0.1,0.0,-0.03
3.3,3.5,3.3,3.5,40,2018-12-04 01:00:00.000000,2018-12-04,GSMG,3.89,3.7,3.89,3.4,0.18,0.12,0.18,0.03
3.9,3.9,3.89,3.89,1300,2018-12-14 01:00:00.000000,2018-12-14,GSMG,3.5,3.9,3.8,3.5,-0.1,0.0,-0.03,-0.1
3.5,3.5,3.5,3.5,300,2018-12-17 01:00:00.000000,2018-12-17,GSMG,3.7,3.89,3.4,3.49,0.06,0.11,-0.03,-0.0
3.7,3.7,3.7,3.7,10,2018-12-21 01:00:00.000000,2018-12-21,GSMG,3.9,3.8,3.5,3.39,0.05,0.03,-0.05,-0.08
3.9,3.9,3.9,3.9,10,2018-12-24 01:00:00.000000,2018-12-24,GSMG,3.89,3.4,3.49,3.2,-0.0,-0.13,-0.11,-0.18
3.89,3.89,3.89,3.89,10,2018-12-26 01:00:00.000000,2018-12-26,GSMG,3.8,3.5,3.39,3.0,-0.02,-0.1,-0.13,-0.23
3.88,3.88,3.8,3.8,60,2018-12-27 01:00:00.000000,2018-12-27,GSMG,3.4,3.49,3.2,3.3,-0.12,-0.1,-0.18,-0.15
3.98,3.98,3.4,3.4,70,2018-12-28 01:00:00.000000,2018-12-28,GSMG,3.5,3.39,3.0,3.29,-0.12,-0.15,-0.25,-0.17
3.5,3.5,3.5,3.5,70,2018-12-31 01:00:00.000000,2018-12-31,GSMG,3.49,3.2,3.3,3.2,-0.0,-0.09,-0.06,-0.09
3.49,3.49,3.49,3.49,10,2019-01-02 01:00:00.000000,2019-01-02,GSMG,3.39,3.0,3.29,3.0,-0.03,-0.14,-0.06,-0.14
3.39,3.39,3.39,3.39,10,2019-01-03 01:00:00.000000,2019-01-03,GSMG,3.2,3.3,3.2,2.99,-0.06,-0.03,-0.06,-0.12
3.1,3.2,3.1,3.2,20,2019-01-04 01:00:00.000000,2019-01-04,GSMG,3.0,3.29,3.0,2.86,-0.03,0.06,-0.03,-0.08
3.0,3.0,3.0,3.0,10,2019-01-07 01:00:00.000000,2019-01-07,GSMG,3.3,3.2,2.99,2.9,0.1,0.07,-0.0,-0.03
3.3,3.3,3.3,3.3,10,2019-01-08 01:00:00.000000,2019-01-08,GSMG,3.29,3.0,2.86,2.4,-0.0,-0.09,-0.13,-0.27
3.29,3.29,3.29,3.29,10,2019-01-09 01:00:00.000000,2019-01-09,GSMG,3.2,2.99,2.9,2.2,-0.03,-0.09,-0.12,-0.33
3.27,3.27,3.0,3.2,30,2019-01-10 01:00:00.000000,2019-01-10,GSMG,3.0,2.86,2.4,2.7,-0.08,-0.12,-0.27,-0.17
3.0,3.0,3.0,3.0,10,2019-01-11 01:00:00.000000,2019-01-11,GSMG,2.99,2.9,2.2,2.5,-0.0,-0.03,-0.27,-0.17
2.99,2.99,2.99,2.99,10,2019-01-14 01:00:00.000000,2019-01-14,GSMG,2.86,2.4,2.7,2.5,-0.04,-0.2,-0.1,-0.16
