open,high,low,close,volume,datetime,date,ticker,close_t+1,close_t+3,close_t+5,close_t+7,open_close_t+1_%chg,open_close_t+3_%chg,open_close_t+5_%chg,open_close_t+7_%chg
0.58,0.58,0.5,0.5,4429124,2019-04-16 01:00:00.000000,2019-04-16,HCACW,0.52,0.51,0.58,0.55,-0.1,-0.12,-0.0,-0.05
0.52,0.54,0.51,0.52,525611,2019-04-17 01:00:00.000000,2019-04-17,HCACW,0.53,0.53,0.56,0.54,0.02,0.02,0.08,0.04
0.52,0.54,0.52,0.53,129100,2019-04-18 01:00:00.000000,2019-04-18,HCACW,0.51,0.58,0.55,0.52,-0.02,0.12,0.06,0.0
0.54,0.55,0.5,0.51,332986,2019-04-22 01:00:00.000000,2019-04-22,HCACW,0.53,0.56,0.54,0.52,-0.01,0.05,0.01,-0.03
0.54,0.54,0.53,0.53,36200,2019-04-23 01:00:00.000000,2019-04-23,HCACW,0.58,0.55,0.52,0.52,0.08,0.02,-0.03,-0.03
0.54,0.58,0.53,0.58,85500,2019-04-24 01:00:00.000000,2019-04-24,HCACW,0.56,0.54,0.52,0.51,0.04,0.0,-0.04,-0.06
0.57,0.57,0.56,0.56,5020,2019-04-25 01:00:00.000000,2019-04-25,HCACW,0.55,0.52,0.52,0.51,-0.04,-0.09,-0.09,-0.11
0.56,0.56,0.55,0.55,77142,2019-04-26 01:00:00.000000,2019-04-26,HCACW,0.54,0.52,0.51,0.5,-0.04,-0.07,-0.09,-0.11
0.55,0.55,0.52,0.54,28180,2019-04-29 01:00:00.000000,2019-04-29,HCACW,0.52,0.52,0.51,0.5,-0.05,-0.05,-0.06,-0.08
0.53,0.53,0.52,0.52,25100,2019-04-30 01:00:00.000000,2019-04-30,HCACW,0.52,0.51,0.5,0.51,-0.02,-0.04,-0.06,-0.04
0.52,0.52,0.52,0.52,50700,2019-05-01 01:00:00.000000,2019-05-01,HCACW,0.52,0.51,0.5,0.5,0.0,-0.02,-0.04,-0.04
0.5,0.52,0.5,0.52,23844,2019-05-02 01:00:00.000000,2019-05-02,HCACW,0.51,0.5,0.51,0.5,0.02,-0.0,0.02,-0.0
0.52,0.52,0.51,0.51,28840,2019-05-03 01:00:00.000000,2019-05-03,HCACW,0.51,0.5,0.5,0.5,-0.02,-0.04,-0.04,-0.04
0.5,0.51,0.5,0.51,870743,2019-05-06 01:00:00.000000,2019-05-06,HCACW,0.5,0.51,0.5,0.51,-0.0,0.02,-0.0,0.02
0.5,0.5,0.5,0.5,141686,2019-05-07 01:00:00.000000,2019-05-07,HCACW,0.5,0.5,0.5,0.51,0.0,0.0,0.0,0.02
0.48,0.5,0.48,0.5,181625,2019-05-08 01:00:00.000000,2019-05-08,HCACW,0.51,0.5,0.51,0.52,0.06,0.04,0.06,0.08
0.5,0.51,0.5,0.51,11200,2019-05-10 01:00:00.000000,2019-05-10,HCACW,0.5,0.5,0.51,0.55,0.0,0.0,0.02,0.1
0.51,0.51,0.5,0.5,49800,2019-05-13 01:00:00.000000,2019-05-13,HCACW,0.5,0.51,0.52,0.54,-0.02,0.0,0.02,0.06
0.5,0.51,0.5,0.5,46175,2019-05-14 01:00:00.000000,2019-05-14,HCACW,0.5,0.51,0.55,0.54,0.0,0.02,0.1,0.08
0.5,0.5,0.5,0.5,240100,2019-05-15 01:00:00.000000,2019-05-15,HCACW,0.51,0.52,0.54,0.53,0.02,0.04,0.08,0.06
0.51,0.51,0.51,0.51,300,2019-05-17 01:00:00.000000,2019-05-17,HCACW,0.51,0.55,0.54,0.54,0.0,0.08,0.06,0.06
0.5,0.51,0.5,0.51,23432,2019-05-22 01:00:00.000000,2019-05-22,HCACW,0.52,0.54,0.53,0.53,0.04,0.08,0.06,0.06
0.52,0.52,0.52,0.52,5000,2019-05-23 01:00:00.000000,2019-05-23,HCACW,0.55,0.54,0.54,0.53,0.06,0.04,0.04,0.02
0.52,0.55,0.51,0.55,46100,2019-05-24 01:00:00.000000,2019-05-24,HCACW,0.54,0.53,0.53,0.54,0.04,0.02,0.02,0.04
0.54,0.55,0.52,0.54,780116,2019-05-29 01:00:00.000000,2019-05-29,HCACW,0.54,0.54,0.53,0.57,0.0,0.0,-0.02,0.06
0.54,0.54,0.54,0.54,120000,2019-05-30 01:00:00.000000,2019-05-30,HCACW,0.53,0.53,0.54,0.59,-0.02,-0.02,0.0,0.1
