open,high,low,close,volume,datetime,date,ticker,close_t+1,close_t+3,close_t+5,close_t+7,open_close_t+1_%chg,open_close_t+3_%chg,open_close_t+5_%chg,open_close_t+7_%chg
10.05,10.06,10.03,10.03,752101,2019-03-28 01:00:00.000000,2019-03-28,JFKKU,10.04,10.04,10.06,10.06,-0.0,-0.0,0.0,0.0
10.04,10.04,10.02,10.04,58086,2019-03-29 01:00:00.000000,2019-03-29,JFKKU,10.05,10.05,10.04,10.06,0.0,0.0,0.0,0.0
10.04,10.06,10.04,10.05,86572,2019-04-01 01:00:00.000000,2019-04-01,JFKKU,10.04,10.06,10.06,10.06,-0.0,0.0,0.0,0.0
10.04,10.05,10.03,10.04,44314,2019-04-02 01:00:00.000000,2019-04-02,JFKKU,10.05,10.04,10.06,10.05,0.0,0.0,0.0,0.0
10.04,10.05,10.04,10.05,40900,2019-04-03 01:00:00.000000,2019-04-03,JFKKU,10.06,10.06,10.06,10.06,0.0,0.0,0.0,0.0
10.06,10.06,10.06,10.06,193,2019-04-04 01:00:00.000000,2019-04-04,JFKKU,10.04,10.06,10.05,10.06,-0.0,0.0,-0.0,0.0
10.05,10.05,10.04,10.04,50012,2019-04-05 01:00:00.000000,2019-04-05,JFKKU,10.06,10.06,10.06,10.07,0.0,0.0,0.0,0.0
10.06,10.06,10.06,10.06,904,2019-04-08 01:00:00.000000,2019-04-08,JFKKU,10.06,10.05,10.06,10.07,0.0,-0.0,0.0,0.0
10.06,10.06,10.06,10.06,10000,2019-04-09 01:00:00.000000,2019-04-09,JFKKU,10.06,10.06,10.07,10.09,-0.0,0.0,0.0,0.0
10.05,10.06,10.05,10.06,208,2019-04-10 01:00:00.000000,2019-04-10,JFKKU,10.05,10.06,10.07,10.09,-0.0,0.0,0.0,0.0
10.03,10.05,10.03,10.05,12501,2019-04-11 01:00:00.000000,2019-04-11,JFKKU,10.06,10.07,10.09,10.08,0.0,0.0,0.01,0.0
10.06,10.06,10.06,10.06,15000,2019-04-12 01:00:00.000000,2019-04-12,JFKKU,10.06,10.07,10.09,10.08,0.0,0.0,0.0,0.0
10.06,10.06,10.05,10.06,38310,2019-04-15 01:00:00.000000,2019-04-15,JFKKU,10.07,10.09,10.08,10.07,0.0,0.0,0.0,0.0
10.06,10.07,10.06,10.07,17189,2019-04-16 01:00:00.000000,2019-04-16,JFKKU,10.07,10.09,10.08,10.08,0.0,0.0,0.0,0.0
10.07,10.07,10.07,10.07,6575,2019-04-17 01:00:00.000000,2019-04-17,JFKKU,10.09,10.08,10.07,10.07,0.0,0.0,0.0,-0.0
10.09,10.09,10.09,10.09,280,2019-04-18 01:00:00.000000,2019-04-18,JFKKU,10.09,10.08,10.08,10.06,0.0,-0.0,-0.0,-0.0
10.09,10.09,10.09,10.09,300,2019-04-22 01:00:00.000000,2019-04-22,JFKKU,10.08,10.07,10.07,10.06,-0.0,-0.0,-0.0,-0.0
10.08,10.08,10.08,10.08,5000,2019-04-23 01:00:00.000000,2019-04-23,JFKKU,10.08,10.08,10.06,10.06,0.0,0.0,-0.0,-0.0
10.08,10.08,10.08,10.08,42010,2019-04-24 01:00:00.000000,2019-04-24,JFKKU,10.07,10.07,10.06,10.08,-0.0,-0.0,-0.0,-0.0
10.07,10.07,10.07,10.07,5128,2019-04-25 01:00:00.000000,2019-04-25,JFKKU,10.08,10.06,10.06,10.07,0.0,-0.0,-0.0,0.0
10.09,10.09,10.08,10.08,3205,2019-05-01 01:00:00.000000,2019-05-01,JFKKU,10.07,10.06,10.08,10.07,-0.0,-0.0,-0.0,-0.0
10.08,10.09,10.06,10.07,11110,2019-05-02 01:00:00.000000,2019-05-02,JFKKU,10.06,10.06,10.07,10.05,-0.0,-0.0,-0.0,-0.0
10.06,10.06,10.06,10.06,10004,2019-05-07 01:00:00.000000,2019-05-07,JFKKU,10.06,10.08,10.07,10.08,0.0,0.0,0.0,0.0
10.06,10.06,10.06,10.06,80000,2019-05-08 01:00:00.000000,2019-05-08,JFKKU,10.06,10.07,10.05,10.12,0.0,0.0,-0.0,0.01
10.06,10.06,10.06,10.06,1800,2019-05-09 01:00:00.000000,2019-05-09,JFKKU,10.08,10.07,10.08,10.14,0.0,0.0,0.0,0.01
10.09,10.09,10.08,10.08,1100,2019-05-10 01:00:00.000000,2019-05-10,JFKKU,10.07,10.05,10.12,10.17,-0.0,-0.0,0.0,0.01
10.07,10.07,10.07,10.07,1000,2019-05-13 01:00:00.000000,2019-05-13,JFKKU,10.07,10.08,10.14,10.17,0.0,0.0,0.01,0.01
10.07,10.09,10.07,10.07,32550,2019-05-14 01:00:00.000000,2019-05-14,JFKKU,10.05,10.12,10.17,10.17,-0.0,0.0,0.01,0.01
10.07,10.07,10.05,10.05,25180,2019-05-15 01:00:00.000000,2019-05-15,JFKKU,10.08,10.14,10.17,10.16,0.0,0.01,0.01,0.01
10.08,11.08,10.06,10.08,27952,2019-05-16 01:00:00.000000,2019-05-16,JFKKU,10.12,10.17,10.17,10.2,0.0,0.01,0.01,0.01
10.12,10.12,10.12,10.12,4000,2019-05-20 01:00:00.000000,2019-05-20,JFKKU,10.14,10.17,10.16,10.2,0.0,0.0,0.0,0.01
10.1,10.15,10.1,10.14,57800,2019-05-21 01:00:00.000000,2019-05-21,JFKKU,10.17,10.17,10.2,10.22,0.01,0.01,0.01,0.01
10.17,10.23,10.17,10.17,6580,2019-05-22 01:00:00.000000,2019-05-22,JFKKU,10.17,10.16,10.2,10.23,0.0,-0.0,0.0,0.01
10.17,10.17,10.17,10.17,800,2019-05-23 01:00:00.000000,2019-05-23,JFKKU,10.17,10.2,10.22,10.25,0.0,0.0,0.0,0.01
10.17,10.17,10.17,10.17,790,2019-05-28 01:00:00.000000,2019-05-28,JFKKU,10.16,10.2,10.23,10.28,-0.0,0.0,0.01,0.01
10.1,10.18,10.1,10.16,14300,2019-05-30 01:00:00.000000,2019-05-30,JFKKU,10.2,10.22,10.25,10.26,0.01,0.01,0.02,0.02
10.17,10.2,10.17,10.2,11000,2019-06-03 01:00:00.000000,2019-06-03,JFKKU,10.2,10.23,10.28,10.3,0.0,0.01,0.01,0.01
10.2,10.2,10.2,10.2,10000,2019-06-04 01:00:00.000000,2019-06-04,JFKKU,10.22,10.25,10.26,10.32,0.0,0.01,0.01,0.01
10.21,10.22,10.21,10.22,2715,2019-06-05 01:00:00.000000,2019-06-05,JFKKU,10.23,10.28,10.3,10.32,0.0,0.01,0.01,0.01
10.24,10.24,10.22,10.23,4000,2019-06-07 01:00:00.000000,2019-06-07,JFKKU,10.25,10.26,10.32,10.46,0.0,0.0,0.01,0.02
10.25,10.25,10.25,10.25,1500,2019-06-11 01:00:00.000000,2019-06-11,JFKKU,10.28,10.3,10.32,10.55,0.0,0.0,0.01,0.03
10.28,10.29,10.28,10.28,4100,2019-06-12 01:00:00.000000,2019-06-12,JFKKU,10.26,10.32,10.46,10.51,-0.0,0.0,0.02,0.02
