open,high,low,close,volume,datetime,date,ticker,close_t+1,close_t+3,close_t+5,close_t+7,open_close_t+1_%chg,open_close_t+3_%chg,open_close_t+5_%chg,open_close_t+7_%chg
0.06,0.06,0.06,0.06,399900,2020-04-30 01:00:00.000000,2020-04-30,NBACW,0.08,0.05,0.06,0.04,0.3,-0.13,0.08,-0.32
0.08,0.08,0.08,0.08,100,2020-05-01 01:00:00.000000,2020-05-01,NBACW,0.04,0.06,0.05,0.04,-0.49,-0.23,-0.36,-0.48
0.07,0.07,0.04,0.04,16403,2020-05-04 01:00:00.000000,2020-05-04,NBACW,0.05,0.06,0.04,0.05,-0.26,-0.07,-0.42,-0.29
0.05,0.05,0.05,0.05,200,2020-05-05 01:00:00.000000,2020-05-05,NBACW,0.06,0.05,0.04,0.05,0.15,-0.04,-0.21,-0.04
0.06,0.06,0.06,0.06,1200,2020-05-06 01:00:00.000000,2020-05-06,NBACW,0.06,0.04,0.05,0.04,0.08,-0.32,-0.17,-0.31
0.04,0.06,0.04,0.06,109066,2020-05-07 01:00:00.000000,2020-05-07,NBACW,0.05,0.04,0.05,0.04,0.19,-0.03,0.19,-0.03
0.07,0.07,0.05,0.05,10500,2020-05-08 01:00:00.000000,2020-05-08,NBACW,0.04,0.05,0.04,0.04,-0.42,-0.29,-0.42,-0.38
0.04,0.04,0.04,0.04,911,2020-05-12 01:00:00.000000,2020-05-12,NBACW,0.04,0.05,0.04,0.04,0.0,0.22,0.0,0.0
0.04,0.04,0.04,0.04,3189,2020-05-13 01:00:00.000000,2020-05-13,NBACW,0.05,0.04,0.04,0.04,0.22,0.01,0.08,0.1
0.05,0.05,0.05,0.05,82535,2020-05-19 01:00:00.000000,2020-05-19,NBACW,0.05,0.04,0.04,0.05,0.0,-0.18,-0.18,0.0
0.05,0.05,0.05,0.05,21690,2020-05-20 01:00:00.000000,2020-05-20,NBACW,0.04,0.04,0.04,0.08,-0.18,-0.12,-0.1,0.61
0.04,0.04,0.04,0.04,7000,2020-05-22 01:00:00.000000,2020-05-22,NBACW,0.04,0.04,0.05,0.13,0.0,0.0,0.22,2.18
0.05,0.05,0.04,0.04,14890,2020-05-26 01:00:00.000000,2020-05-26,NBACW,0.04,0.04,0.08,0.13,-0.2,-0.18,0.47,1.37
0.04,0.04,0.04,0.04,10000,2020-05-27 01:00:00.000000,2020-05-27,NBACW,0.04,0.05,0.13,0.2,-0.07,0.14,1.95,3.55
0.04,0.04,0.04,0.04,2270,2020-05-28 01:00:00.000000,2020-05-28,NBACW,0.04,0.08,0.13,0.14,0.1,0.97,2.18,2.42
0.05,0.05,0.04,0.04,7525,2020-06-03 01:00:00.000000,2020-06-03,NBACW,0.05,0.13,0.2,0.14,0.11,1.88,3.43,2.09
0.05,0.05,0.05,0.05,1000,2020-06-04 01:00:00.000000,2020-06-04,NBACW,0.08,0.13,0.14,0.14,0.61,1.59,1.79,1.79
0.06,0.1,0.06,0.08,35600,2020-06-08 01:00:00.000000,2020-06-08,NBACW,0.13,0.2,0.14,0.15,1.22,2.42,1.38,1.56
0.09,0.13,0.07,0.13,28975,2020-06-10 01:00:00.000000,2020-06-10,NBACW,0.13,0.14,0.14,0.14,0.41,0.52,0.52,0.52
0.13,0.13,0.13,0.13,575,2020-06-11 01:00:00.000000,2020-06-11,NBACW,0.2,0.14,0.15,0.13,0.54,0.07,0.15,0.0
0.15,0.2,0.13,0.2,4318,2020-06-12 01:00:00.000000,2020-06-12,NBACW,0.14,0.14,0.14,0.16,-0.07,-0.07,-0.07,0.1
0.2,0.2,0.14,0.14,2941,2020-06-15 01:00:00.000000,2020-06-15,NBACW,0.14,0.15,0.13,0.14,-0.3,-0.25,-0.35,-0.3
0.12,0.14,0.12,0.14,10758,2020-06-16 01:00:00.000000,2020-06-16,NBACW,0.14,0.14,0.16,0.17,0.18,0.18,0.39,0.42
0.18,0.21,0.14,0.14,63123,2020-06-17 01:00:00.000000,2020-06-17,NBACW,0.15,0.13,0.14,0.15,-0.17,-0.28,-0.23,-0.17
0.15,0.15,0.15,0.15,6000,2020-06-18 01:00:00.000000,2020-06-18,NBACW,0.14,0.16,0.17,0.14,-0.07,0.1,0.13,-0.07
0.17,0.19,0.14,0.14,34647,2020-06-19 01:00:00.000000,2020-06-19,NBACW,0.13,0.14,0.15,0.16,-0.24,-0.18,-0.12,-0.06
0.15,0.18,0.13,0.13,47322,2020-06-22 01:00:00.000000,2020-06-22,NBACW,0.16,0.17,0.14,0.18,0.1,0.13,-0.07,0.2
0.16,0.16,0.16,0.16,101,2020-06-23 01:00:00.000000,2020-06-23,NBACW,0.14,0.15,0.16,0.14,-0.15,-0.09,-0.03,-0.15
0.12,0.14,0.1,0.14,9481,2020-06-24 01:00:00.000000,2020-06-24,NBACW,0.17,0.14,0.18,0.16,0.41,0.17,0.5,0.33
0.17,0.17,0.17,0.17,8040,2020-06-25 01:00:00.000000,2020-06-25,NBACW,0.15,0.16,0.14,0.2,-0.12,-0.06,-0.18,0.18
0.1,0.15,0.1,0.15,2310,2020-06-26 01:00:00.000000,2020-06-26,NBACW,0.14,0.18,0.16,0.19,0.4,0.8,0.6,0.9
0.15,0.15,0.12,0.14,59110,2020-06-29 01:00:00.000000,2020-06-29,NBACW,0.16,0.14,0.2,0.2,0.07,-0.07,0.33,0.32
0.15,0.17,0.12,0.16,42568,2020-06-30 01:00:00.000000,2020-06-30,NBACW,0.18,0.16,0.19,0.2,0.2,0.07,0.27,0.33
0.19,0.21,0.13,0.18,28463,2020-07-01 01:00:00.000000,2020-07-01,NBACW,0.14,0.2,0.2,0.26,-0.26,0.05,0.04,0.37
0.14,0.18,0.14,0.14,5350,2020-07-02 01:00:00.000000,2020-07-02,NBACW,0.16,0.19,0.2,0.2,0.14,0.36,0.43,0.45
0.14,0.18,0.14,0.16,57017,2020-07-06 01:00:00.000000,2020-07-06,NBACW,0.2,0.2,0.26,,0.43,0.41,0.86,
0.16,0.21,0.16,0.2,32290,2020-07-07 01:00:00.000000,2020-07-07,NBACW,0.19,0.2,0.2,,0.23,0.29,0.31,
0.19,0.19,0.19,0.19,2454,2020-07-08 01:00:00.000000,2020-07-08,NBACW,0.2,0.26,,,0.04,0.37,,
0.2,0.2,0.19,0.2,11610,2020-07-09 01:00:00.000000,2020-07-09,NBACW,0.2,0.2,,,0.0,0.01,,
0.19,0.21,0.19,0.2,9689,2020-07-10 01:00:00.000000,2020-07-10,NBACW,0.26,,,,0.37,,,
0.23,0.26,0.22,0.26,9415,2020-07-13 01:00:00.000000,2020-07-13,NBACW,0.2,,,,-0.12,,,
0.26,0.26,0.2,0.2,4310,2020-07-14 01:00:00.000000,2020-07-14,NBACW,,,,,,,,
